日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=12.6700,=12.6700,=12.6700,=12.6700,=167987265278.0,=115955845068.0,=19467178692.64,,=1.1678,,,,
2026-07-02,=12.5900,=12.5900,=12.5900,=12.5900,=166926572206.0,=115223685036.0,=19344260437.28,,=1.1604,,,,
2026-07-01,=12.6200,=12.6200,=12.6200,=12.6200,=167324332108.0,=115498245048.0,=19390354783.04,,=1.1632,,,,
2026-06-30,=12.1800,=12.1800,=12.1800,=12.1800,=161490520212.0,=111471364872.0,=18714304378.56,,=1.1226,,,,
2026-06-29,=12.7900,=12.7900,=12.7900,=12.7900,=169578304886.0,=117054085116.0,=19651556075.68,,=1.1788,,,,
2026-06-26,=12.5100,=12.5100,=12.5100,=12.5100,=165865879134.0,=114491525004.0,=19221342181.92,,=1.1530,,,,
2026-06-25,=12.8500,=12.8500,=12.8500,=12.8500,=170373824690.0,=117603205140.0,=19743744767.2,,=1.1844,,,,
2026-06-24,=13.3000,=13.3000,=13.3000,=13.3000,=176340223220.0,=121721605320.0,=20435159953.6,,=1.2258,,,,
2026-06-23,=13.4600,=13.4600,=13.4600,=13.4600,=178461609364.0,=123185925384.0,=20680996464.32,,=1.2406,,,,
2026-06-22,=13.7300,=13.7300,=13.7300,=13.7300,=182041448482.0,=125656965492.0,=21095845576.16,,=1.2655,,,,
2026-06-18,=13.5000,=13.5000,=13.5000,=13.5000,=178991955900.0,=123552005400.0,=20742455592.0,,=1.2443,,,,
2026-06-17,=14.0000,=14.0000,=14.0000,=14.0000,=185621287600.0,=128128005600.0,=21510694688.0,,=1.2903,,,,
2026-06-16,=14.3500,=14.3500,=14.3500,=14.3500,=190261819790.0,=131331205740.0,=22048462055.2,,=1.3226,,,,
2026-06-15,=14.7700,=14.7700,=14.7700,=14.7700,=195830458418.0,=135175045908.0,=22693782895.84,,=1.3613,,,,
2026-06-12,=16.1800,=16.1800,=16.1800,=16.1800,=214525173812.0,=148079366472.0,=24860217146.56,,=1.4913,,,,
2026-06-11,=16.3100,=16.3100,=16.3100,=16.3100,=216248800054.0,=149269126524.0,=25059959311.52,,=1.5033,,,,
2026-06-10,=15.8400,=15.8400,=15.8400,=15.8400,=210017228256.0,=144967686336.0,=24337814561.28,,=1.4599,,,,
2026-06-09,=16.2800,=16.2800,=16.2800,=16.2800,=215851040152.0,=148994566512.0,=25013864965.76,,=1.5005,,,,
2026-06-08,=17.0900,=17.0900,=17.0900,=17.0900,=226590557506.0,=156407686836.0,=26258412301.28,,=1.5751,,,,
2026-06-05,=16.8400,=16.8400,=16.8400,=16.8400,=223275891656.0,=154119686736.0,=25874292753.28,,=1.5521,,,,
