date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,226590557506.0,1.5751,0.9872,1.0547,0.6777,0.4946,0.0224,1.3815,0.9802,1.0503,0.8821,0.6916,12.7656,0.5747,21.2319,11.3433,7.6266
2026-06-05,223275891656.0,1.5521,0.9806,1.0549,0.6786,0.4946,0.0227,1.3613,0.9790,1.0503,0.8820,0.6916,12.5789,0.5627,21.2344,11.3433,7.6266
2026-06-04,228049010480.0,1.5853,0.9922,1.0549,0.6781,0.4946,0.0223,1.3904,0.9827,1.0500,0.8820,0.6916,12.8478,0.5810,21.2344,11.3433,7.6266
2026-06-03,226723144140.0001,1.5761,0.9897,1.0547,0.6777,0.4946,0.0224,1.3823,0.9818,1.0497,0.8820,0.6916,12.7731,0.5751,21.2344,11.3433,7.6266
2026-06-02,217442079760.0,1.5115,0.9744,1.0547,0.6777,0.4946,0.0234,1.3258,0.9761,1.0493,0.8820,0.6916,12.2502,0.5487,21.2344,11.3433,7.6266
2026-06-01,223938824826.0,1.5567,0.9839,1.0547,0.6777,0.4946,0.0227,1.3654,0.9802,1.0493,0.8820,0.6916,12.6162,0.5644,21.2413,11.3433,7.6266
2026-05-29,207895842112.0,1.4452,0.9596,1.0549,0.6786,0.4946,0.0244,1.2676,0.9654,1.0488,0.8807,0.6916,11.7124,0.5305,21.3088,11.3433,7.6266
2026-05-28,205111522798.0,1.4258,0.9546,1.0547,0.6781,0.4946,0.0248,1.2506,0.9600,1.0487,0.8807,0.6916,11.5555,0.5184,21.3088,11.3433,7.6266
2026-05-27,204713762896.0,1.4231,0.9534,1.0532,0.6777,0.4946,0.0248,1.2482,0.9600,1.0487,0.8807,0.6916,11.5331,0.5173,21.3088,11.3433,7.6266
2026-05-26,204183416360.0,1.4194,0.9530,1.0532,0.6777,0.4946,0.0249,1.2449,0.9596,1.0485,0.8806,0.6916,11.5033,0.5149,21.3088,11.3433,7.6266
2026-05-25,205907042602.0,1.4314,0.9563,1.0532,0.6777,0.4946,0.0247,1.2554,0.9625,1.0478,0.8806,0.6916,11.6004,0.5206,21.3460,11.3433,7.6266
2026-05-22,206569975772.0,1.4360,0.9575,1.0532,0.6786,0.4946,0.0246,1.2595,0.9633,1.0473,0.8806,0.6916,11.6377,0.5231,21.3576,11.3433,7.6266
2026-05-21,215851040152.0,1.5005,0.9740,1.0529,0.6781,0.4946,0.0235,1.3161,0.9753,1.0460,0.8804,0.6916,12.1606,0.5427,21.3576,11.3433,7.6266
2026-05-20,226590557506.0,1.5751,0.9884,1.0527,0.6777,0.4946,0.0224,1.3815,0.9814,1.0451,0.8803,0.6916,12.7656,0.5705,21.3576,11.3433,7.6266
2026-05-19,228711943650.0,1.5899,0.9930,1.0524,0.6777,0.4946,0.0222,1.3945,0.9831,1.0448,0.8803,0.6916,12.8851,0.5776,21.3832,11.3433,7.6266
2026-05-18,230833329794.0,1.6046,0.9963,1.0515,0.6777,0.4946,0.0220,1.4074,0.9843,1.0448,0.8801,0.6916,13.0047,0.5850,21.3832,11.3433,7.6266
2026-05-15,222878131754.0,1.5493,0.9827,1.0524,0.6786,0.4946,0.0228,1.3589,0.9815,1.0440,0.8801,0.6916,12.5565,0.5561,21.3963,11.3433,7.6266
