date,资产负债率,流动资产合计,长期负债合计,资产合计,货币资金,速动比率,流动比率,所有者权益合计,应收账款,流动负债合计,有息负债率,负债合计
2026-03-31,0.4531,3156562000,43492048000,374333201000,228049010480,1.0276,1.1528,204722047000,9158885000,2737445000,0.1934,169611154000
2025-12-31,0.4582,2457022000,37574170000,370254237000,164937772696,0.9595,1.0689,200615829000,7251488000,2362835000,0.1919,169638408000
2025-09-30,0.4582,3572659000,34318551000,366801669000,150618416224,0.9409,1.0698,198738528000,8645689000,3662994000,0.1881,168063141000
2025-06-30,0.4502,3178652000,34425754000,356961533000,145049777596,0.9237,1.048,196254831000,9244907000,2274877000,0.1845,160706702000
2025-03-31,0.448,2999465000,37651615000,355673905000,133116980536,1.007,1.1476,196346365000,9717494000,2598887000,0.1873,159327540000
2024-12-31,0.4629,2389502000,40345761000,357964555000,161490520212,0.9848,1.1066,192246181000,8401695000,3408804000,0.1793,165718374000
2024-09-30,0.4708,2987359000,44726706000,360629392000,195565285150,1.0997,1.2636,190858742000,8959546000,4985065000,0.1802,169770650000
2024-06-30,0.4797,2551962000,47361040000,361378832000,165468119232,1.1046,1.2435,188014346000,8836991000,3551810000,0.1919,173364486000
2024-03-31,0.4615,2537535000,45052517000,351793888000,151679109296,1.1869,1.3481,189444797000,10757296000,4011040000,0.2031,162349091000
2023-12-31,0.4768,2336249000,42369253000,349359919000,128476448346,1.0812,1.2191,182782141000,7116996000,5040221000,0.2088,166577778000
2023-09-30,0.4778,2506047000,45549498000,345673900000,115880718116,1.1662,1.3339,180500512000,9563056000,5465443000,0.2144,165173388000
2023-06-30,0.4988,2114860000,43318610000,347360080000,111903119096,1.1438,1.2949,174088183000,10051969000,4132700000,0.2284,173271897000
2023-03-31,0.4994,2251764000,42507081000,348420972000,104743440860,1.167,1.3112,174426674000,11184631000,4453093000,0.2386,173994298000
2022-12-31,0.5147,1972141000,39506539000,340109262000,114289678508,1.0491,1.1801,165058520000,8239265000,6236819000,0.2477,175050742000
2022-09-30,0.5104,2270637000,39989626000,343264793000,141072178576,1.0699,1.2159,168076725000,7775987000,7123040000,0.2487,175188068000
2022-06-30,0.5225,1899062000,45766480000,333041260000,137624926092,1.0683,1.2131,159032748000,8917244000,4320200000,0.261,174008512000
2022-03-31,0.547,1917137000,55482238000,338020879000,107262586906,1.1007,1.2328,153116657000,12330500000,5416189000,0.2903,184904222000
2021-12-31,0.5574,1662944000,60442685000,321738497000,83396992786,1.0583,1.1965,142402768000,7545912000,5176923000,0.3025,179335729000
2021-09-30,0.5553,1889503000,61917852000,314053483000,119593143868,1.0227,1.1736,139655077000,9784924000,6986599000,0.3112,174398406000
2021-06-30,0.5584,1830260000,62611084000,301340286000,94799443310,0.9705,1.1185,133075577000,8243677000,3278603000,0.3308,168264709000
2021-03-31,0.554,1657762000,57402298000,289709012000,81540779910,0.9113,1.0771,129203689000,10016570000,3000999000,0.3355,160505323000
2020-12-31,0.5603,1482759000,50994610000,281686377000,59001052130,0.7524,0.8999,123853702000,7241095000,3605775000,0.3384,157832675000
2020-09-30,0.5703,1460841000,50060144000,283995572000,52106547162,0.744,0.8908,122021455000,8768442000,3260132000,0.3393,161974117000
2020-06-30,0.5758,1242968000,41310784000,282429330000,50382920920,0.6712,0.7982,119793275000,8717045000,1661279000,0.3588,162636055000
2020-03-31,0.5717,1339274000,37821428000,278329651000,52902066966,0.6321,0.7692,119218059000,7520199000,1611699000,0.3585,159111592000
2019-12-31,0.5693,953581000,34242915000,272483169000,66558490268,0.5333,0.6576,117369079000,7316222000,2588765000,0.3466,155114090000
2019-09-30,0.5692,984451000,34987475000,276679168000,65232623928,0.6105,0.7333,119191069000,8704574000,2799333000,0.3601,157488099000
2019-06-30,0.5742,910438000,33830265000,271974954000,63641584320,0.6063,0.7336,115797327000,7529251000,1966784000,0.3663,156177627000
2019-03-31,0.5794,1162144000,49523462000,269182580000,67884356608,0.7318,0.902,113230264000,6614942000,1522018000,0.3751,155952316000
2018-12-31,0.5818,1014869000,45317056000,264658469000,61652784810,0.6452,0.8023,110681929000,0,2478903000,0.3679,153976540000
2018-09-30,0.577,506463000,47301024000,261722487000,70005742752,0.7149,0.8716,110707670000,7319169000,3314283000,0.3802,151014817000
2018-06-30,0.5758,422485000,49508103000,256228099000,64039344222,0.7496,0.9153,108694409000,6897302000,1761590000,0.379,147533690000
2018-03-31,0.5641,0,46854955000,249427666000,67751769974,0.6755,0.846,108714600000,7760277000,0,0.3652,140713066000
2017-12-31,0.5737,0,43083827000,248838946000,75839554648,0.6371,0.7766,106084548000,6516966000,0,0.3641,142754398000
2017-09-30,0.5721,0,46166757000,247885302000,81938539812,0.6989,0.8648,106081283000,7858504000,0,0.3746,141804019000
2017-06-30,0.5703,0,42155329000,243342909000,77960940792,0.6414,0.7815,104575190000,7940025000,0,0.3799,138767719000
2017-03-31,0.5729,0,43865718000,243635970000,81010433374,0.6304,0.7712,104053481000,8426591000,0,0.3822,139582489000
2016-12-31,0.5784,0,43496933000,241848785000,77032834354,0.5843,0.7252,101960485000,7658899000,0,0.3809,139888300000
2016-09-30,0.5805,0,45669979000,240324865000,74911448210,0.5982,0.7378,100805412000,9521211000,0,0.3854,139519453000
