date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.29,-0.0333,3844352000,34188624000
2025-12-31,1.35,-0.069,17883577000,148056698000
2025-09-30,0.94,-0.1455,12484630000,110584315000
2025-06-30,0.58,-0.2162,7704701000,74435996000
2025-03-31,0.3,-0.1892,3977869000,38391521000
2024-12-31,1.46,-0.0068,19322936000,189398754000
2024-09-30,1.1,-0.127,14614069000,140412180000
2024-06-30,0.74,-0.1685,9787792000,92983870000
2024-03-31,0.37,-0.3148,4969520000,45394500000
2023-12-31,1.47,0.0652,19534049000,192968833000
2023-09-30,1.26,-0.137,16688039000,156208514000
2023-06-30,0.89,-0.1188,11834895000,109356726000
2023-03-31,0.54,0.0588,7155268000,59158383000
2022-12-31,1.38,0.3269,18240535000,220576859000
2022-09-30,1.46,0.6222,19328210000,175344940000
2022-06-30,1.01,0.7719,13376767000,118038729000
2022-03-31,0.51,0.8889,6792681000,61729684000
2021-12-31,1,1.2222,13281908000,231127302000
2021-09-30,0.89,1.871,11855946000,161738815000
2021-06-30,0.57,2.3529,7585981000,98719897000
2021-03-31,0.26,4.2,3509206000,44442528000
2020-12-31,0.45,0.0714,5904167000,140961304000
2020-09-30,0.31,-0.2791,4154393000,100244308000
2020-06-30,0.17,-0.4138,2309554000,61393186000
2020-03-31,0.05,-0.5833,648488000,27512225000
2019-12-31,0.42,0.68,5626437000,129293733000
2019-09-30,0.43,0.3871,5761125000,94238593000
2019-06-30,0.29,0.45,3787728000,61031699000
2019-03-31,0.116,0.1048,1541065000,29552412000
2018-12-31,0.26,0.5294,3434578000,104140066000
2018-09-30,0.31,0.7222,4124682000,77137407000
2018-06-30,0.21,0.75,2756161000,50209981000
2018-03-31,0.11,0.25,1410828000,25764695000
2017-12-31,0.18,0.2,2414426000,81123232000
2017-09-30,0.18,1.5714,2432452000,59793093000
2017-06-30,0.13,1.6,1696137000,37103957000
2017-03-31,0.088,6.1765,1170967000,17864765000
2016-12-31,0.15,-0.2105,2026530000,60631613000
2016-09-30,0.07,1.5385,893691000,41489247000
2016-06-30,0.05,1.7143,616407000,26300798000
