date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,14849600000,5747394000,15.0124,1.6419
2025-12-31,8118483000,29791934000,-0.1274,1.3641
2025-09-30,6734710000,21110314000,-0.1804,1.3952
2025-06-30,5078435000,7665547000,-0.4852,1.2476
2025-03-31,9544062000,376151000,-0.8895,1.3403
2024-12-31,16123383000,34139934000,-0.2054,1.3681
2024-09-30,18917222000,25756764000,-0.0916,1.7545
2024-06-30,21212552000,14890089000,-0.1259,1.7828
2024-03-31,17626182000,3405180000,-0.6932,1.5366
2023-12-31,25447457000,42965340000,-0.0153,1.6686
2023-09-30,23815879000,28355172000,-0.2502,1.6795
2023-06-30,30688322000,17035311000,-0.1534,1.7965
2023-03-31,35001596000,11098196000,0.1132,1.763
2022-12-31,33996576000,43634064000,-0.0928,1.7194
2022-09-30,42162596000,37817926000,0.1599,1.8212
2022-06-30,36664007000,20122182000,-0.02,1.7581
2022-03-31,41816166000,9969791000,0.6266,2.2031
2021-12-31,37794000000,48106335000,1.1256,2.5316
2021-09-30,27191553000,32213327000,0.6556,1.8925
2021-06-30,24401796000,20410496000,1.2238,2.2059
2021-03-31,13815615000,5835827000,0.2696,1.9535
2020-12-31,12435780000,22631996000,0.0296,2.5356
2020-09-30,14358397000,19456904000,0.1511,3.859
2020-06-30,9749916000,9178260000,-0.1035,3.2295
2020-03-31,11245614000,4593577000,0.1112,3.0296
2019-12-31,11112221000,21983917000,0.0763,2.5584
2019-09-30,12233256000,16906475000,0.0083,2.3805
2019-06-30,14406834000,10240536000,0.2396,2.8553
2019-03-31,15192270000,4133840000,3.9679,3.5908
2018-12-31,11075273000,20414373000,0.1631,3.2781
2018-09-30,13516701000,16819927000,0.5732,3.6095
2018-06-30,9457200000,8255938000,0.5286,3.5087
2018-03-31,7510372000,820793000,-0.6336,3.4029
2017-12-31,10083870000,17807406000,0.4755,4.0052
2017-09-30,7966348000,10640243000,0.7477,2.8682
2017-06-30,8418022000,5336232000,0.7907,2.9391
2017-03-31,8718315000,2240172000,3.2092,3.1183
2016-12-31,4527315000,12067759000,0.6566,4.1163
2016-09-30,4183526000,6088211000,3.7618,20.6292
