日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=43.2800,=43.2800,=43.2800,=43.2800,=149866928648.4001,=89816707688.0,=37643571807.6,,=15.2955,,,,
2026-07-02,=41.9200,=41.9200,=41.9200,=41.9200,=145157616657.6001,=86994371218.0,=36460686926.4,,=14.8149,,,,
2026-07-01,=42.7800,=42.7800,=42.7800,=42.7800,=148135563945.9001,=88779083986.0,=37208687660.1,,=15.1188,,,,
2026-06-30,=43.3000,=43.3000,=43.3000,=43.3000,=149936183236.5,=89858212637.0,=37660967173.5,,=15.3026,,,,
2026-06-29,=44.4900,=44.4900,=44.4900,=44.4900,=154056831228.4501,=92327757048.0,=38695991444.55,,=15.7231,,,,
2026-06-26,=42.3900,=42.3900,=42.3900,=42.3900,=146785099477.9501,=87969737498.0,=36869478025.05,,=14.9810,,,,
2026-06-25,=45.4300,=45.4300,=45.4300,=45.4300,=157311796869.1501,=94278489609.0,=39513573641.85,,=16.0553,,,,
2026-06-24,=47.3300,=47.3300,=47.3300,=47.3300,=163890982738.65,=98221459679.0,=41166133402.35,,=16.7268,,,,
2026-06-23,=49.3700,=49.3700,=49.3700,=49.3700,=170954950724.8501,=102454964385.0,=42940460724.15,,=17.4478,,,,
2026-06-22,=54.8600,=54.8600,=54.8600,=54.8600,=189965335158.3001,=113848072638.0,=47715488663.7,,=19.3880,,,,
2026-06-18,=53.3100,=53.3100,=53.3100,=53.3100,=184598104580.5501,=110631439161.0,=46367347806.45,,=18.8402,,,,
2026-06-17,=48.4600,=48.4600,=48.4600,=48.4600,=167803866966.3001,=100566489246.0,=42148971575.7,,=17.1262,,,,
2026-06-16,=46.5000,=46.5000,=46.5000,=46.5000,=161016917332.5,=96499004333.0,=40444225717.5,,=16.4335,,,,
2026-06-15,=47.3600,=47.3600,=47.3600,=47.3600,=163994864620.8001,=98283717101.0,=41192226451.2,,=16.7374,,,,
2026-06-12,=43.0500,=43.0500,=43.0500,=43.0500,=149070500885.25,=89339400785.0,=37443525099.75,,=15.2142,,,,
2026-06-11,=40.1400,=40.1400,=40.1400,=40.1400,=138993958316.7001,=83300430837.0,=34912499361.3,,=14.1858,,,,
2026-06-10,=40.4900,=40.4900,=40.4900,=40.4900,=140205913608.4501,=84026767428.0,=35216918264.55,,=14.3095,,,,
2026-06-09,=41.3600,=41.3600,=41.3600,=41.3600,=143218488190.8001,=85832232671.0,=35973616681.2,,=14.6170,,,,
2026-06-08,=40.8700,=40.8700,=40.8700,=40.8700,=141521750782.3501,=84815361442.0,=35547430216.65,,=14.4438,,,,
