date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,149866928648.4001,18.7443,,,,,15.2955,,,,,1.7818,,,,,0.0231,1.8102,,,,,0.2619,,,,
2026-07-02,145157616657.6001,18.1553,,,,,14.8149,,,,,1.7258,,,,,0.0239,1.7533,,,,,0.2537,,,,
2026-07-01,148135563945.9001,18.5278,,,,,15.1188,,,,,1.7612,,,,,0.0234,1.7892,,,,,0.2589,,,,
2026-06-30,149936183236.5,18.7530,,,,,15.3026,,,,,1.7826,,,,,0.0231,1.8110,,,,,0.2621,,,,
2026-06-29,154056831228.4501,19.2684,,,,,15.7231,,,,,1.8316,,,,,0.0225,1.8608,,,,,0.2693,,,,
2026-06-26,146785099477.9501,18.3589,,,,,14.9810,,,,,1.7452,,,,,0.0236,1.7729,,,,,0.2566,,,,
2026-06-25,157311796869.1501,19.6755,,,,,16.0553,,,,,1.8703,,,,,0.0220,1.9001,,,,,0.2750,,,,
2026-06-24,163890982738.65,20.4984,,,,,16.7268,,,,,1.9485,,,,,0.0211,1.9795,,,,,0.2865,,,,
2026-06-23,170954950724.8501,21.3819,,,,,17.4478,,,,,2.0325,,,,,0.0203,2.0649,,,,,0.2988,,,,
2026-06-22,189965335158.3001,23.7596,,,,,19.3880,,,,,2.2585,,,,,0.0182,2.2945,,,,,0.3320,,,,
2026-06-18,184598104580.5501,23.0883,,,,,18.8402,,,,,2.1947,,,,,0.0188,2.2297,,,,,0.3226,,,,
2026-06-17,167803866966.3001,20.9878,,,,,17.1262,,,,,1.9950,,,,,0.0206,2.0268,,,,,0.2933,,,,
2026-06-16,161016917332.5,20.1389,,,,,16.4335,,,,,1.9144,,,,,0.0215,1.9448,,,,,0.2814,,,,
2026-06-15,163994864620.8001,20.5113,,,,,16.7374,,,,,1.9498,,,,,0.0211,1.9808,,,,,0.2866,,,,
2026-06-12,149070500885.25,18.6447,,,,,15.2142,,,,,1.7723,,,,,0.0232,1.8005,,,,,0.2606,,,,
2026-06-11,138993958316.7001,17.3844,,,,,14.1858,,,,,1.6525,,,,,0.0249,1.6788,,,,,0.2429,,,,
2026-06-10,140205913608.4501,17.5360,,,,,14.3095,,,,,1.6669,,,,,0.0247,1.6935,,,,,0.2451,,,,
2026-06-09,143218488190.8001,17.9128,,,,,14.6170,,,,,1.7027,,,,,0.0242,1.7299,,,,,0.2503,,,,
2026-06-08,141521750782.3501,17.7006,,,,,14.4438,,,,,1.6826,,,,,0.0245,1.7094,,,,,0.2474,,,,
2026-06-05,153606676405.8001,19.2121,,,,,15.6772,,,,,1.8263,,,,,0.0225,1.8553,,,,,0.2685,,,,
2026-06-04,159458689100.25,19.9440,,,,,16.2744,,,,,1.8958,,,,,0.0217,1.9260,,,,,0.2787,,,,
2026-06-03,166280266028.1001,20.7972,,,,,16.9707,,,,,1.9769,,,,,0.0208,2.0084,,,,,0.2906,,,,
2026-06-02,164410392149.4,20.5633,,,,,16.7798,,,,,1.9547,,,,,0.0211,1.9858,,,,,0.2874,,,,
2026-06-01,149451401119.8,18.6924,,,,,15.2531,,,,,1.7769,,,,,0.0232,1.8051,,,,,0.2612,,,,
2026-05-29,150628729117.5,18.8396,,,,,15.3733,,,,,1.7908,,,,,0.0230,1.8194,,,,,0.2633,,,,
2026-05-28,150524847235.3501,18.8266,,,,,15.3627,,,,,1.7896,,,,,0.0230,1.8181,,,,,0.2631,,,,
2026-05-27,152775621348.6001,19.1081,,,,,15.5924,,,,,1.8164,,,,,0.0227,1.8453,,,,,0.2670,,,,
2026-05-26,161155426508.7001,20.1562,,,,,16.4476,,,,,1.9160,,,,,0.0215,1.9465,,,,,0.2817,,,,
2026-05-25,155926705107.1501,19.5022,,,,,15.9140,,,,,1.8538,,,,,0.0222,1.8834,,,,,0.2725,,,,
2026-05-22,156792387458.4001,19.6105,,,,,16.0023,,,,,1.8641,,,,,0.0221,1.8938,,,,,0.2740,,,,
2026-05-21,150559474529.4,18.8309,,,,,15.3662,,,,,1.7900,,,,,0.0230,1.8185,,,,,0.2632,,,,
2026-05-20,155684314048.8001,19.4719,,,,,15.8892,,,,,1.8510,,,,,0.0222,1.8804,,,,,0.2721,,,,
2026-05-19,152775621348.6001,19.1081,,,,,15.5924,,,,,1.8164,,,,,0.0227,1.8453,,,,,0.2670,,,,
2026-05-18,157346424163.2001,19.6798,,,,,16.0589,,,,,1.8707,,,,,0.0220,1.9005,,,,,0.2750,,,,
2026-05-15,160566762509.8501,20.0826,,,,,16.3875,,,,,1.9090,,,,,0.0216,1.9394,,,,,0.2806,,,,
2026-05-14,167596103202.0,20.9618,,,,,17.1050,,,,,1.9926,,,,,0.0207,2.0243,,,,,0.2929,,,,
2026-05-13,173344234014.3001,21.6807,,,,,17.6916,,,,,2.0609,,,,,0.0200,2.0937,,,,,0.3030,,,,
2026-05-12,170158522961.7001,21.2823,,,,,17.3665,,,,,2.0230,,,,,0.0204,2.0553,,,,,0.2974,,,,
2026-05-11,167145948379.3501,20.9055,,,,,17.0590,,,,,1.9872,,,,,0.0207,2.0189,,,,,0.2921,,,,
2026-05-08,168842685787.8001,21.1177,,,,,17.2322,,,,,2.0074,,,,,0.0205,2.0394,,,,,0.2951,,,,
2026-05-07,164825919678.0001,20.6153,,,,,16.8222,,,,,1.9596,,,,,0.0210,1.9908,,,,,0.2881,,,,
2026-05-06,162505890976.6501,20.3251,,,,,16.5854,,,,,1.9321,,,,,0.0213,1.9628,,,,,0.2840,,,,
2026-04-30,157415678751.3001,19.6885,,,,,16.0659,,,,,1.8715,,,,,0.0220,1.9013,,,,,0.2751,,,,
2026-04-29,160601389803.9001,20.0869,,,,,16.3911,,,,,1.9094,,,,,0.0216,1.9398,,,,,0.2807,,,,
2026-04-28,153329658053.4001,21.5043,,,,,16.7611,,,,,1.8865,,,,,0.0226,1.9176,,,,,0.2815,,,,
2026-04-27,155095650049.9501,21.7520,,,,,16.9541,,,,,1.9083,,,,,0.0223,1.9397,,,,,0.2848,,,,
2026-04-24,155095650049.9501,21.7520,,,,,16.9541,,,,,1.9083,,,,,0.0223,1.9397,,,,,0.2848,,,,
2026-04-23,154645495227.3,21.6888,,,,,16.9049,,,,,1.9027,,,,,0.0224,1.9341,,,,,0.2839,,,,
2026-04-22,159112416159.7501,22.3153,,,,,17.3932,,,,,1.9577,,,,,0.0218,1.9900,,,,,0.2922,,,,
2026-04-21,160047353099.1001,22.4464,,,,,17.4954,,,,,1.9692,,,,,0.0216,2.0017,,,,,0.2939,,,,
2026-04-20,161570954037.3,22.6601,,,,,17.6620,,,,,1.9879,,,,,0.0214,2.0207,,,,,0.2967,,,,
2026-04-17,161882599683.75,22.7038,,,,,17.6961,,,,,1.9918,,,,,0.0214,2.0246,,,,,0.2972,,,,
2026-04-16,163510082504.1001,22.9321,,,,,17.8740,,,,,2.0118,,,,,0.0212,2.0450,,,,,0.3002,,,,
2026-04-15,162298127212.3501,22.7621,,,,,17.7415,,,,,1.9969,,,,,0.0213,2.0298,,,,,0.2980,,,,
2026-04-14,160462880627.7001,22.5047,,,,,17.5409,,,,,1.9743,,,,,0.0216,2.0069,,,,,0.2946,,,,
2026-04-13,157692697103.7001,22.1162,,,,,17.2380,,,,,1.9402,,,,,0.0220,1.9722,,,,,0.2895,,,,
2026-04-10,155476550284.5,21.8054,,,,,16.9958,,,,,1.9130,,,,,0.0223,1.9445,,,,,0.2855,,,,
2026-04-09,155995959695.25,21.8782,,,,,17.0526,,,,,1.9193,,,,,0.0222,1.9510,,,,,0.2864,,,,
2026-04-08,158038970044.2001,22.1648,,,,,17.2759,,,,,1.9445,,,,,0.0219,1.9765,,,,,0.2902,,,,
2026-04-07,148343327710.2001,20.8050,,,,,16.2160,,,,,1.8252,,,,,0.0233,1.8553,,,,,0.2724,,,,
2026-04-03,147027490536.3001,20.6204,,,,,16.0722,,,,,1.8090,,,,,0.0236,1.8388,,,,,0.2700,,,,
2026-04-02,149797674060.3001,21.0089,,,,,16.3750,,,,,1.8431,,,,,0.0231,1.8735,,,,,0.2750,,,,
2026-04-01,154264594992.75,21.6354,,,,,16.8633,,,,,1.8980,,,,,0.0224,1.9293,,,,,0.2832,,,,
2026-03-31,148897364415.0,20.8827,,,,,16.2766,,,,,1.8320,,,,,0.0233,1.8622,,,,,0.2734,,,,
2026-03-30,151598293350.9001,21.2615,,,,,16.5718,,,,,1.8652,,,,,0.0228,1.8960,,,,,0.2784,,,,
2026-03-27,151979193585.4501,21.3149,,,,,16.6135,,,,,1.8699,,,,,0.0228,1.9008,,,,,0.2791,,,,
2026-03-26,153087266995.0501,19.1326,,,,,17.8564,,,,,1.9066,,,,,0.0249,1.9384,,,,,0.2941,,,,
2026-03-25,154922513579.7001,19.3619,,,,,18.0705,,,,,1.9295,,,,,0.0246,1.9617,,,,,0.2976,,,,
2026-03-24,151425156880.65,18.9249,,,,,17.6626,,,,,1.8859,,,,,0.0252,1.9174,,,,,0.2909,,,,
2026-03-23,146992863242.2501,18.3709,,,,,17.1456,,,,,1.8307,,,,,0.0259,1.8613,,,,,0.2823,,,,
2026-03-20,155822823225.0,19.4745,,,,,18.1755,,,,,1.9407,,,,,0.0244,1.9731,,,,,0.2993,,,,
2026-03-19,158142851926.3501,19.7644,,,,,18.4461,,,,,1.9696,,,,,0.0241,2.0025,,,,,0.3038,,,,
2026-03-18,167111321085.3001,20.8853,,,,,19.4922,,,,,2.0813,,,,,0.0228,2.1160,,,,,0.3210,,,,
2026-03-17,168011630730.6001,20.9978,,,,,19.5972,,,,,2.0925,,,,,0.0227,2.1274,,,,,0.3227,,,,
2026-03-16,170539423196.2501,21.3137,,,,,19.8921,,,,,2.1240,,,,,0.0223,2.1594,,,,,0.3276,,,,
2026-03-13,175698890009.7001,21.9585,,,,,20.4939,,,,,2.1882,,,,,0.0217,2.2248,,,,,0.3375,,,,
2026-03-12,178503700827.75,22.3091,,,,,20.8211,,,,,2.2232,,,,,0.0213,2.2603,,,,,0.3429,,,,
2026-03-11,180338947412.4001,22.5384,,,,,21.0351,,,,,2.2460,,,,,0.0211,2.2835,,,,,0.3464,,,,
2026-03-10,181585529998.2001,22.6942,,,,,21.1805,,,,,2.2616,,,,,0.0210,2.2993,,,,,0.3488,,,,
2026-03-09,179265501296.8501,22.4043,,,,,20.9099,,,,,2.2327,,,,,0.0212,2.2699,,,,,0.3443,,,,
2026-03-06,185567668813.9501,23.1919,,,,,21.6450,,,,,2.3112,,,,,0.0205,2.3497,,,,,0.3564,,,,
2026-03-05,190727135627.4001,23.8367,,,,,22.2468,,,,,2.3754,,,,,0.0200,2.4151,,,,,0.3664,,,,
2026-03-04,189965335158.3001,23.7415,,,,,22.1580,,,,,2.3659,,,,,0.0201,2.4054,,,,,0.3649,,,,
2026-03-03,193289555387.1001,24.1570,,,,,22.5457,,,,,2.4073,,,,,0.0197,2.4475,,,,,0.3713,,,,
2026-03-02,206413299832.0501,25.7972,,,,,24.0765,,,,,2.5708,,,,,0.0185,2.6137,,,,,0.3965,,,,
2026-02-27,200976814666.2001,25.1177,,,,,23.4424,,,,,2.5031,,,,,0.0190,2.5448,,,,,0.3860,,,,
2026-02-26,197029303144.5001,24.6244,,,,,22.9819,,,,,2.4539,,,,,0.0193,2.4949,,,,,0.3785,,,,
2026-02-25,199591722904.2001,24.9446,,,,,23.2808,,,,,2.4858,,,,,0.0191,2.5273,,,,,0.3834,,,,
2026-02-24,197756476319.5501,24.7153,,,,,23.0668,,,,,2.4630,,,,,0.0193,2.5041,,,,,0.3799,,,,
2026-02-13,190553999157.1501,23.8151,,,,,22.2266,,,,,2.3733,,,,,0.0200,2.4129,,,,,0.3660,,,,
2026-02-12,195955857028.9501,24.4902,,,,,22.8567,,,,,2.4405,,,,,0.0194,2.4813,,,,,0.3764,,,,
2026-02-11,195540329500.3501,24.4383,,,,,22.8083,,,,,2.4354,,,,,0.0195,2.4760,,,,,0.3756,,,,
2026-02-10,192527754918.0001,24.0618,,,,,22.4569,,,,,2.3978,,,,,0.0198,2.4379,,,,,0.3698,,,,
2026-02-09,192042972801.3001,24.0012,,,,,22.4003,,,,,2.3918,,,,,0.0198,2.4317,,,,,0.3689,,,,
