date,货币资金,资产合计,有息负债率,流动负债合计,速动比率,长期负债合计,应收账款,所有者权益合计,流动资产合计,流动比率,负债合计,资产负债率
2026-03-31,69667980692.76,1176037123943,0.2913,243016827373,0.571,214075897014,9050793102,330461318176,218425349,1.7197,845575805767,0.719
2025-12-31,73019704849.8,1188292419390,0.2895,246331624986,0.5538,207369020266,7621995860,329635870114,195984248,1.726,858656549276,0.7226
2025-09-30,94087685265.48,1287392749339,0.2721,322568859378,0.511,211115724236,7098532869,344171268788,203564571,1.6661,943221480552,0.7327
2025-06-30,96960591685.8,1305488541785,0.267,333631867208,0.509,209965872779,6008161327,345596784921,176238195,1.6579,959891756864,0.7353
2025-03-31,98875862632.68,1330665490606,0.2769,339216833426,0.5133,226290985004,6292238951,345236051413,224202931,1.6626,985429439193,0.7406
2024-12-31,106058128683.48,1335108015600,0.2643,334482053761,0.4763,208132329770,4932340666,342529827152,246791555,1.6151,992578188447,0.7434
2024-09-30,132033990900.54,1373944238564,0.261,372838991545,0.4695,239904368050,5561878471,345003606388,236273658,1.6383,1028940632176,0.7489
2024-06-30,104861084341.68,1389984322560,0.2678,357376754392,0.493,247888745229,4919445706,343208505619,226052536,1.6415,1046775816941,0.7531
2024-03-31,109290148406.34,1424355777655,0.2623,377431786108,0.4684,253113583251,5021132678,343545948931,226544365,1.6274,1080809828724,0.7588
2023-12-31,118507389838.2,1436911790321,0.2492,377215008557,0.4635,235251412086,3821376508,337026644221,229562215,1.5589,1099885146100,0.7655
2023-09-30,152503449145.32,1438217697691,0.2453,446382485322,0.4499,230955900715,5062500692,334264460503,315828684,1.5467,1103953237188,0.7676
2023-06-30,155974877736.54,1431839038983,0.2488,441768565641,0.4575,241083274740,4477773403,329498942982,304980799,1.565,1102340096001,0.7699
2023-03-31,169142365496.34,1448024732283,0.2591,440113872279,0.4533,242683257985,4532277144,320686501062,418212182,1.5555,1127338231221,0.7785
2022-12-31,181112808914.34,1470464408452,0.2628,412019287766,0.4745,242482459001,4043629595,322191507790,273379642,1.5439,1148272900661,0.7809
2022-09-30,215467981524,1448060443420,0.2556,456997229117,0.4645,243336167407,4305456526,319822725635,478823983,1.562,1128237717785,0.7791
2022-06-30,209001153262.32,1432582122443,0.2581,434330495173,0.4694,236693915762,4035838657,321827420587,412579991,1.5598,1110754701856,0.7754
2022-03-31,211874021348.4,1429792170959,0.2562,436611770398,0.445,254223116457,3075690380,311884357424,624958292,1.5536,1117907813535,0.7819
2021-12-31,187092781522.29,1399933052853,0.2445,416016905480,0.4818,231903603560,3178646785,302914461403,478436378,1.5233,1097018591450,0.7836
2021-09-30,167940609389.49,1399882859172,0.2474,459899021672,0.4571,247146802080,3305094132,308925546408,1919750595,1.5782,1090957312764,0.7793
2021-06-30,144112699187.52,1382621705882,0.2457,442519637677,0.4904,238421022804,2901810706,304276239548,1934560889,1.5671,1078345466334,0.7799
2021-03-31,170325889488.24,1314170268881,0.2521,413346239683,0.4733,239691117178,2493982941,280476262998,1629556048,1.5748,1033694005883,0.7866
2020-12-31,189327680231.62,1251374919086,0.2372,365630822437,0.4669,207160409823,2450315094,266637883989,1543531347,1.5114,984737035098,0.7869
2020-09-30,190153882306.57,1147900080950,0.2632,379704729470,0.4928,209452948693,2441064185,253159205042,0,1.5995,894740875908,0.7795
2020-06-30,176364938864.8,1095165010942,0.2758,344317141290,0.5113,208829521984,2627250052,244660256804,0,1.6303,850504754138,0.7766
2020-03-31,177438879629.2,1058354273689,0.2739,316072566805,0.5326,201664332196,2331202788,235801541721,0,1.6355,822552731968,0.7772
2019-12-31,193070684088.8,1033208719569,0.2614,936731857,0.5172,172072334404,1845278032,229522008578,0,1.5623,803686710992,0.7779
2019-09-30,170614693535,975199897978,0.2829,0,0.5235,195698034914,2474245586,198508722451,0,1.6337,776691175527,0.7964
2019-06-30,151780571316,933097455457,0.2904,0,0.5442,192649871637,2444434567,193417026724,0,1.659,739680428733,0.7927
2019-03-31,169385214384,901215417696,0.3199,0,0.6184,209248676123,2186221538,189763754376,0,1.7774,711451663321,0.7894
2018-12-31,140242393089,846493923180,0.3115,0,0.5977,181873951986,2005854498,186494356029,0,1.7228,659999567151,0.7797
2018-09-30,144728858113.1,857027109023,0.3161,0,0.5491,199461152609,1473963738,172507607153,0,1.7727,684519501870,0.7987
2018-06-30,144672980932,813860729027,0.3127,0,0.5017,190749322145,1479131216,168335262448,0,1.7848,645525466579,0.7932
2018-03-31,159733201078.2,761186802128,0.314,0,0.4794,181755246350,2210832577,164056067130,0,1.8464,597130734998,0.7845
2017-12-31,167796940999,696451750899,0.2938,0,0.4215,147653850793,1855010484,158239665743,0,1.7803,538212085157,0.7728
2017-09-30,123327787024,632623917278,0.3087,0,0.4473,149034143156,1018501012,126910513293,0,1.7794,505713403985,0.7994
2017-06-30,118228657368.2,582266004907,0.2938,0,0.4129,123427442880,1549882181,123275807806,0,1.7583,458990197101,0.7883
2017-03-31,113010943301.8,512751772876,0.2783,0,0.4187,97875445458,1432063523,120935959475,0,1.813,391815813401,0.7641
2016-12-31,108261824290.4,467996774750,0.2399,0,0.3688,68866552071,1611632099,118101947228,0,1.735,349894827522,0.7476
2016-09-30,113834995968,438128751425,0.2313,0,0.3877,62731655534,1665798414,111355425310,0,1.7331,326773326114,0.7458
