date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,915698691,-0.5706,0.08,45730241134
2025-12-31,1034698076,-0.7931,0.09,308144189553
2025-09-30,1928577902,-0.7531,0.16,173721678722
2025-06-30,2710753720,-0.6347,0.23,116856717231
2025-03-31,1950800655,-0.1227,0.16,54271790192
2024-12-31,5001183340,-0.5856,0.42,311666319879
2024-09-30,7812547489,-0.4123,0.66,182774387215
2024-06-30,7419875269,-0.3929,0.62,139249180718
2024-03-31,2223606556,-0.1828,0.19,49748497475
2023-12-31,12067156752,-0.3413,1.01,346828132946
2023-09-30,13292640398,0.0133,1.11,192506461880
2023-06-30,12222473408,0.1265,1.02,136978208009
2023-03-31,2720901863,0.0752,0.23,39955547790
2022-12-31,18346819483,-0.3301,1.53,281016698162
2022-09-30,13093991406,-0.0361,1.09,156375983036
2022-06-30,10825861773,0.0511,0.9,110723030329
2022-03-31,2530713856,0.0118,0.21,33536633835
2021-12-31,27387836594,-0.0539,2.29,284933136294
2021-09-30,13583432160,0.0288,1.13,138387057795
2021-06-30,10298106798,0.0172,0.86,89913999296
2021-03-31,2500698692,0.051,0.21,25054589433
2020-12-31,28948429857,0.0354,2.42,243094868537
2020-09-30,13203563865,0.0288,1.11,117404057037
2020-06-30,10123675707,0.0169,0.85,73677439925
2020-03-31,2379343780,0.0255,0.2,23822994137
2019-12-31,27959019793,0.479,2.35,235933564582
2019-09-30,12833373316,0.3408,1.08,111794012016
2019-06-30,9955212667,0.5328,0.84,71121404322
2019-03-31,2320082143,0.2251,0.2,22577846857
2018-12-31,18903715264,0.2092,1.59,194513842492
2018-09-30,9595629317,0.1604,0.81,94920538372
2018-06-30,6505443307,0.1513,0.55,59513919369
2018-03-31,1896369463,0.0026,0.16,20125236984
2017-12-31,15625886184,0.258,1.32,146306235169
2017-09-30,8269238759,0.1631,0.7,75540481480
2017-06-30,5650555267,0.1392,0.48,54458620432
2017-03-31,1891441835,0.3873,0.16,17903749297
2016-12-31,12421551065,0.006,1.1,154752138130
2016-09-30,7109935661,0.099,0.64,87141490074
2016-06-30,4960228319,0.0021,0.46,55146607342
