日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=6.6500,=6.6500,=6.6500,=6.6500,=59956613937.15,=55950330501.0,=25314445840.25,,=0.6145,,,,
2026-07-02,=6.6200,=6.6200,=6.6200,=6.6200,=59686132972.02,=55697922995.0,=25200245332.7,,=0.6117,,,,
2026-07-01,=6.5700,=6.5700,=6.5700,=6.5700,=59235331363.47,=55277243818.0,=25009911153.45,,=0.6071,,,,
2026-06-30,=6.4300,=6.4300,=6.4300,=6.4300,=57973086859.53,=54099342124.0,=24476975451.55,,=0.5942,,,,
2026-06-29,=6.5200,=6.5200,=6.5200,=6.5200,=58784529754.92,=54856564642.0,=24819576974.2,,=0.6025,,,,
2026-06-26,=6.5400,=6.5400,=6.5400,=6.5400,=58964850398.34,=55024836312.0,=24895710645.9,,=0.6043,,,,
2026-06-25,=6.6900,=6.6900,=6.6900,=6.6900,=60317255223.99,=56286873842.0,=25466713183.65,,=0.6182,,,,
2026-06-24,=6.7400,=6.7400,=6.7400,=6.7400,=60768056832.54,=56707553019.0,=25657047362.9,,=0.6228,,,,
2026-06-23,=7.0000,=7.0000,=7.0000,=7.0000,=63112225197.0,=58895084738.0,=26646785095.0,,=0.6468,,,,
2026-06-22,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=0.6699,,,,
2026-06-18,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=0.6699,,,,
2026-06-17,=7.5300,=7.5300,=7.5300,=7.5300,=67890722247.63,=63354284011.0,=28664327395.05,,=0.6958,,,,
2026-06-16,=7.5600,=7.5600,=7.5600,=7.5600,=68161203212.76,=63606691517.0,=28778527902.6,,=0.6986,,,,
2026-06-15,=8.0100,=8.0100,=8.0100,=8.0100,=72218417689.71,=67392804107.0,=30491535515.85,,=0.7401,,,,
2026-06-12,=8.1600,=8.1600,=8.1600,=8.1600,=73570822515.36,=68654841637.0,=31062538053.6,,=0.7540,,,,
2026-06-11,=8.2700,=8.2700,=8.2700,=8.2700,=74562586054.17,=69580335826.0,=31481273247.95,,=0.7642,,,,
2026-06-10,=8.1800,=8.1800,=8.1800,=8.1800,=73751143158.78,=68823113308.0,=31138671725.3,,=0.7559,,,,
2026-06-09,=8.2400,=8.2400,=8.2400,=8.2400,=74292105089.04,=69327928320.0,=31367072740.4,,=0.7614,,,,
2026-06-08,=8.2400,=8.2400,=8.2400,=8.2400,=74292105089.04,=69327928320.0,=31367072740.4,,=0.7614,,,,
2026-06-05,=8.4500,=8.4500,=8.4500,=8.4500,=76185471844.95,=71094780862.0,=32166476293.25,,=0.7808,,,,
