date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,39118628,-0.9122,23666898476,0.004
2025-12-31,1023784321,-0.7465,154727977006,0.08
2025-09-30,2496969925,-0.0399,89766442396,0.25
2025-06-30,1448186676,0.0218,51485077367,0.14
2025-03-31,445439544,0.3402,20447728414,0.04
2024-12-31,4038571564,-0.3609,178947546569,0.37
2024-09-30,2600671368,-0.31,78009431300,0.22
2024-06-30,1417272189,-0.3417,51272627223,0.11
2024-03-31,332380305,0.2222,23747478780,0.01
2023-12-31,6319420453,0.482,175007558097,0.65
2023-09-30,3769074170,0.2745,75828913859,0.39
2023-06-30,2152800276,0.1409,51442432801,0.22
2023-03-31,271957204,-0.3872,15008808510,0.004
2022-12-31,4264079663,-0.5889,183002659096,0.41
2022-09-30,2957361749,-0.5344,89484281330,0.27
2022-06-30,1886912381,-0.5561,57562502713,0.16
2022-03-31,443787572,-0.3372,18800930984,0.01
2021-12-31,10372254169,-0.1535,160643413000,1.16
2021-09-30,6351074888,1.8976,81757575014,0.69
2021-06-30,4250617518,3.6532,44656752776,0.47
2021-03-31,669517351,0.2425,12672233510,0.05
2020-12-31,12252864765,-0.2358,129620818395,1.46
2020-09-30,2191814938,-0.5696,50117791947,0.19
2020-06-30,913483030,-0.8135,24319610426,0.05
2020-03-31,538852655,-0.7948,11797130981,0.03
2019-12-31,16033175796,0.052,97672181192,1.99
2019-09-30,5092902654,-0.3846,25542574359,0.6
2019-06-30,4898374405,-0.3117,16686527672,0.6
2019-03-31,2626449063,-0.5503,4350456685,0.32
2018-12-31,15240053237,0.2042,88277854683,1.89
2018-09-30,8275161990,1.1442,33780048472,1.02
2018-06-30,7116802990,0.9754,20987800639,0.88
2018-03-31,5778048976,1.7231,9163124896,0.731
2017-12-31,12220308173,0.2754,75454682170,1.55
2017-09-30,3718101610,-0.3373,26485640246,0.47
2017-06-30,3466437542,-0.0949,19395661327,0.44
2017-03-31,2121883739,1.6473,6939739871,0.27
2016-12-31,9581416758,0.9754,63572826671,1.21
2016-09-30,5610675956,1.9368,36732007152,0.71
