date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,-0.3279,-0.1284,-0.4078,0.0999,-0.0816
2025-12-31,-0.3195,-0.1264,-0.3933,0.0946,-0.0796
2025-09-30,-0.1793,-0.076,-0.2127,0.1036,-0.0486
2025-06-30,-0.1446,-0.0599,-0.167,0.1106,-0.039
2025-03-31,-0.152,-0.0658,-0.1735,0.0956,-0.041
2024-12-31,-0.1313,-0.0567,-0.1419,0.1017,-0.0349
2024-09-30,-0.0434,-0.0123,-0.0429,0.1032,-0.0113
2024-06-30,-0.0082,-0.029,-0.0079,0.1095,-0.0021
2024-03-31,0.045,0.0298,0.0391,0.1461,0.0112
2023-12-31,0.0506,0.0332,0.0439,0.1523,0.0125
2023-09-30,0.0771,0.0484,0.0686,0.1824,0.018
2023-06-30,0.0872,0.0546,0.0695,0.189,0.0194
2023-03-31,0.0951,0.0583,0.0738,0.1909,0.0204
2022-12-31,0.0941,0.0593,0.0745,0.1955,0.0203
2022-09-30,0.1043,0.0655,0.0784,0.2025,0.0214
2022-06-30,0.1059,0.067,0.0812,0.2087,0.0209
2022-03-31,0.1024,0.0672,0.0846,0.2161,0.0199
2021-12-31,0.1025,0.0674,0.0841,0.2182,0.02
2021-09-30,0.1589,0.0975,0.1199,0.2455,0.0285
2021-06-30,0.1736,0.1032,0.1292,0.26,0.0302
2021-03-31,0.1886,0.1115,0.1369,0.2775,0.0326
2020-12-31,0.1912,0.1128,0.1415,0.2925,0.033
2020-09-30,0.2068,0.1196,0.1469,0.3244,0.0328
2020-06-30,0.208,0.1161,0.1453,0.3451,0.0322
2020-03-31,0.213,0.116,0.148,0.3576,0.033
2019-12-31,0.2178,0.1194,0.1499,0.3625,0.0338
2019-09-30,0.2434,0.1402,0.1622,0.379,0.0365
2019-06-30,0.2512,0.1414,0.1663,0.3794,0.0377
2019-03-31,0.235,0.1308,0.1608,0.3743,0.0365
2018-12-31,0.2334,0.1282,0.1655,0.3748,0.0366
2018-09-30,0.2304,,0.1464,0.354,0.0361
2018-06-30,0.2217,,0.1458,0.3459,0.0358
2018-03-31,0.212,,0.1485,0.3442,0.0359
2017-12-31,0.2136,,0.1532,0.341,0.0373
2017-09-30,0.2048,,0.1325,0.3195,0.0359
2017-06-30,0.2092,,0.1329,0.3136,0.0381
2017-03-31,0.1876,,0.1154,0.293,0.0365
2016-12-31,0.1903,,0.1179,0.2941,0.0393
2016-09-30,0.2093,,0.1189,0.2803,0.0418
