date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.2053,3584575577,2996964504,0.6746
2025-12-31,0.9735,2487016809,4592509302,-0.1091
2025-09-30,0.995,2738984307,5816206274,-0.0665
2025-06-30,0.8937,2352293704,4799544157,-0.16
2025-03-31,0.8881,2209030999,1789631626,-0.3728
2024-12-31,1.1476,3213358292,5154661132,0.8558
2024-09-30,0.876,1972405409,6230708571,0.2255
2024-06-30,0.8481,2095841074,5713872510,0.242
2024-03-31,0.8485,2018572028,2853166067,0.5729
2023-12-31,0.6388,1882197793,2777567140,-0.4307
2023-09-30,0.8951,3118046379,5084279541,-0.1514
2023-06-30,1.0874,3792610957,4600493439,-0.0251
2023-03-31,1.396,4781245149,1813957743,0.9429
2022-12-31,1.2823,3140772268,4878771322,-0.1927
2022-09-30,1.5034,4137366527,5991216680,-0.028
2022-06-30,1.5601,4029291770,4719012228,-0.0608
2022-03-31,1.3449,2796184547,933619727,-0.6214
2021-12-31,1.8559,4441169097,6043111455,0.22
2021-09-30,1.7738,3748612256,6163656772,0.0422
2021-06-30,1.7442,3579111718,5024661252,0.0121
2021-03-31,2.4049,5439521903,2465865133,2.9815
2020-12-31,2.1287,3678717519,4953422362,0.2333
2020-09-30,2.3735,4176123282,5913994981,0.3319
2020-06-30,2.4092,3973142885,4964496900,0.3003
2020-03-31,1.7563,1985957574,619328210,-0.6474
2019-12-31,2.0821,3109405461,4016552579,0.0061
2019-09-30,1.4657,2247160988,4440343283,-0.1847
2019-06-30,2.0167,3201778079,3818068111,-0.0875
2019-03-31,2.0146,2665114487,1756417552,-0.2987
2018-12-31,2.5573,3288770768,3992008401,0.7953
2018-09-30,2.0415,2604676513,5446341768,0.2426
2018-06-30,1.7397,1829074043,3997889660,0.1362
2018-03-31,2.0236,2100508945,2321920019,0.4981
2017-12-31,1.6086,1343864454,2223535875,-0.2516
2017-09-30,2.3052,1877387387,4328653643,-0.0553
2017-06-30,2.1537,1915778593,3518661256,-0.0702
2017-03-31,2.3315,1960900920,1549858660,-0.1245
2016-12-31,2.6869,2141887115,2970891204,0.1539
2016-09-30,1.2763,1569521509,4582133974,-0.0579
2016-06-30,1.3209,1062461783,3784334510,-0.144
