date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,80726606262.9,15.6627,,,,,4.0595,,,,,4.0595,,,,,1.3508,,,,,15.3497,,,,,0.0622
2026-07-02,80657313038.64,15.6492,,,,,4.0560,,,,,4.0560,,,,,1.3496,,,,,15.3365,,,,,0.0623
2026-07-01,80449433365.86,15.6089,,,,,4.0456,,,,,4.0456,,,,,1.3461,,,,,15.2970,,,,,0.0624
2026-06-30,77608411171.2,15.0577,,,,,3.9027,,,,,3.9027,,,,,1.2986,,,,,14.7568,,,,,0.0647
2026-06-29,78959629044.27,15.3198,,,,,3.9707,,,,,3.9707,,,,,1.3212,,,,,15.0137,,,,,0.0636
2026-06-26,78994275656.4,15.3265,,,,,3.9724,,,,,3.9724,,,,,1.3218,,,,,15.0203,,,,,0.0636
2026-06-25,78543869698.71,15.2392,,,,,3.9497,,,,,3.9497,,,,,1.3143,,,,,14.9347,,,,,0.0640
2026-06-24,78197403577.41,15.1719,,,,,3.9323,,,,,3.9323,,,,,1.3085,,,,,14.8688,,,,,0.0642
2026-06-23,78924982432.14,15.3131,,,,,3.9689,,,,,3.9689,,,,,1.3206,,,,,15.0072,,,,,0.0637
2026-06-22,79202155329.18,15.3669,,,,,3.9829,,,,,3.9829,,,,,1.3253,,,,,15.0599,,,,,0.0634
2026-06-18,78959629044.27,15.3198,,,,,3.9707,,,,,3.9707,,,,,1.3212,,,,,15.0137,,,,,0.0636
2026-06-17,79860440959.65,15.4946,,,,,4.0160,,,,,4.0160,,,,,1.3363,,,,,15.1850,,,,,0.0629
2026-06-16,81558124954.02,15.8240,,,,,4.1013,,,,,4.1013,,,,,1.3647,,,,,15.5078,,,,,0.0616
2026-06-15,83671568293.95,16.2340,,,,,4.2076,,,,,4.2076,,,,,1.4001,,,,,15.9097,,,,,0.0600
2026-06-12,83740861518.21,16.2475,,,,,4.2111,,,,,4.2111,,,,,1.4012,,,,,15.9229,,,,,0.0600
2026-06-11,83740861518.21,16.2475,,,,,4.2111,,,,,4.2111,,,,,1.4012,,,,,15.9229,,,,,0.0600
2026-06-10,84260560700.16,16.3483,,,,,4.2372,,,,,4.2372,,,,,1.4099,,,,,16.0217,,,,,0.0596
2026-06-09,83429042009.04,16.1870,,,,,4.1954,,,,,4.1954,,,,,1.3960,,,,,15.8636,,,,,0.0602
2026-06-08,83671568293.95,16.2340,,,,,4.2076,,,,,4.2076,,,,,1.4001,,,,,15.9097,,,,,0.0600
2026-06-05,85785011633.88,16.6441,,,,,4.3139,,,,,4.3139,,,,,1.4354,,,,,16.3116,,,,,0.0586
2026-06-04,84295207312.29,16.3550,,,,,4.2390,,,,,4.2390,,,,,1.4105,,,,,16.0283,,,,,0.0596
2026-06-03,85334605676.19,16.5567,,,,,4.2912,,,,,4.2912,,,,,1.4279,,,,,16.2259,,,,,0.0589
2026-06-02,86374004040.09,16.7584,,,,,4.3435,,,,,4.3435,,,,,1.4453,,,,,16.4235,,,,,0.0582
2026-06-01,86720470161.39,16.8256,,,,,4.3609,,,,,4.3609,,,,,1.4511,,,,,16.4894,,,,,0.0579
