date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,80726606262.9,15.3497,,,,,4.0595,,,,,1.3508,,,,,15.6627,,,,,0.0622,4.0595,,,,
2026-07-02,80657313038.64,15.3365,,,,,4.0560,,,,,1.3496,,,,,15.6492,,,,,0.0623,4.0560,,,,
2026-07-01,80449433365.86,15.2970,,,,,4.0456,,,,,1.3461,,,,,15.6089,,,,,0.0624,4.0456,,,,
2026-06-30,77608411171.2,14.7568,,,,,3.9027,,,,,1.2986,,,,,15.0577,,,,,0.0647,3.9027,,,,
2026-06-29,78959629044.27,15.0137,,,,,3.9707,,,,,1.3212,,,,,15.3198,,,,,0.0636,3.9707,,,,
2026-06-26,78994275656.4,15.0203,,,,,3.9724,,,,,1.3218,,,,,15.3265,,,,,0.0636,3.9724,,,,
2026-06-25,78543869698.71,14.9347,,,,,3.9497,,,,,1.3143,,,,,15.2392,,,,,0.0640,3.9497,,,,
2026-06-24,78197403577.41,14.8688,,,,,3.9323,,,,,1.3085,,,,,15.1719,,,,,0.0642,3.9323,,,,
2026-06-23,78924982432.14,15.0072,,,,,3.9689,,,,,1.3206,,,,,15.3131,,,,,0.0637,3.9689,,,,
2026-06-22,79202155329.18,15.0599,,,,,3.9829,,,,,1.3253,,,,,15.3669,,,,,0.0634,3.9829,,,,
2026-06-18,78959629044.27,15.0137,,,,,3.9707,,,,,1.3212,,,,,15.3198,,,,,0.0636,3.9707,,,,
2026-06-17,79860440959.65,15.1850,,,,,4.0160,,,,,1.3363,,,,,15.4946,,,,,0.0629,4.0160,,,,
2026-06-16,81558124954.02,15.5078,,,,,4.1013,,,,,1.3647,,,,,15.8240,,,,,0.0616,4.1013,,,,
2026-06-15,83671568293.95,15.9097,,,,,4.2076,,,,,1.4001,,,,,16.2340,,,,,0.0600,4.2076,,,,
2026-06-12,83740861518.21,15.9229,,,,,4.2111,,,,,1.4012,,,,,16.2475,,,,,0.0600,4.2111,,,,
2026-06-11,83740861518.21,15.9229,,,,,4.2111,,,,,1.4012,,,,,16.2475,,,,,0.0600,4.2111,,,,
2026-06-10,84260560700.16,16.0217,,,,,4.2372,,,,,1.4099,,,,,16.3483,,,,,0.0596,4.2372,,,,
2026-06-09,83429042009.04,15.8636,,,,,4.1954,,,,,1.3960,,,,,16.1870,,,,,0.0602,4.1954,,,,
2026-06-08,83671568293.95,15.9097,,,,,4.2076,,,,,1.4001,,,,,16.2340,,,,,0.0600,4.2076,,,,
