date,有息负债率,速动比率,资产合计,货币资金,长期负债合计,所有者权益合计,流动资产合计,负债合计,流动负债合计,应收账款,资产负债率,流动比率
2026-03-31,0.0036,2.3566,60288470662,76437023054.76,131000000,49334442742,0,10954027920,5414927049,10306911,0.1817,4.2202
2025-12-31,0.003,1.9622,58595944447,91501473794.76,81000000,46893395478,0,11702548969,7529047335,8621900,0.1997,3.7651
2025-09-30,0.0027,2.2365,59504597380,102347878327.56,90000000,48661902826,0,10842694554,6423557442,7997752,0.1822,4.0735
2025-06-30,0.0026,2.1198,61263194595,97241029526.7,90000000,49031491452,0,12231703143,5877828295,5039010,0.1997,3.7435
2025-03-31,0.0023,2.4068,64129803574,114866436892.5,80000000,51817616568,0,12312187006,7023970238,9101037,0.192,3.9754
2024-12-31,0.0009,2.0034,67345265220,125833357031.22,0,51693045854,0,15652219366,10343779848,8994905,0.2324,3.2981
2024-09-30,0.001,2.8149,64161749190,149424286890.06,0,53604351973,0,10557397217,4965746582,3073409,0.1645,4.6684
2024-06-30,0.0011,3.0009,62718284542,121630375274.76,0,52975317972,0,9742966569,3937678244,11402888,0.1553,4.9608
2024-03-31,0.0009,2.7334,72405328587,147104361476.1,0,58099193548,0,14306135039,5815378078,4139000,0.1976,3.9877
2023-12-31,0.0011,1.9521,69792287456,165558313632.6,0,52049863975,0,17742423481,11104763487,3528778,0.2542,3.0586
2023-09-30,0.0003,2.6264,64478322434,195004247200,0,52248146024,0,12230176410,5516156341,6250888,0.1897,4.0295
2023-06-30,0.0004,2.6446,60562361679,197942873800,0,49877823222,0,10684538457,5322623989,10469699,0.1764,4.2776
2023-03-31,0.0004,2.5314,67074207189,249346234480,0,53348131588,0,13726075601,6974883207,5350501,0.2046,3.7806
2022-12-31,0.0004,1.6947,67964247134,241871574000,0,47524448604,0,20439798531,13741547678,45142893,0.3007,2.5849
2022-09-30,0.0002,2.1045,61268105366,238330152200,0,47152808056,0,14115297310,8172725110,788252,0.2304,3.3035
2022-06-30,0.0003,2.0815,57439986856,276004852200,0,44943508355,0,12496478501,7908473832,2477831,0.2176,3.4053
2022-03-31,0.0003,1.9611,63811020350,204392782440,36360,47500291542,0,16310728807,9765638217,1015833,0.2556,2.979
2021-12-31,0.0003,1.3323,67798704194,248246133240,36360,42481310258,0,25317393936,15804521430,1247950,0.3734,2.012
2021-09-30,0,1.7359,56250411827,250280567040,36360,42138857464,0,14111554363,6510055892,2974527,0.2509,2.8574
2021-06-30,0,1.5947,55714705804,312247913600,36360,39641125388,0,16073580416,5516827481,4719482,0.2885,2.5566
2021-03-31,0,1.9237,55769965523,248200923600,36360,42335737715,0,13434227808,6128740727,6748268,0.2409,3.0425
2020-12-31,0,1.5266,53866259307,355634098120,36360,38469653077,0,15396606230,8801346891,4225231,0.2858,2.5406
2020-09-30,0,1.9787,47903240006,188358430120,36360,38171275923,0,9731964083,3869199029,19957623,0.2032,3.4987
2020-06-30,0,1.7853,46077958622,158444718320,36360,36726311321,0,9351647301,3947857426,9917865,0.203,3.3748
2020-03-31,0,1.9393,52096174091,126391083560,36360,39990114884,0,12106059207,6431512246,19935430,0.2324,3.1332
2019-12-31,0,1.4013,53455037841,166522174000,72723,36491552570,0,16963485271,0,16080619,0.3173,2.2862
2019-09-30,0,1.8136,46296930035,156726752000,72723,36260051974,0,10036878062,0,7915360,0.2168,3.2084
2019-06-30,0,1.7737,45285902343,183189461280,72723,34693487794,0,10592414549,0,9106792,0.2339,3.0485
2019-03-31,0,1.9617,49691158148,196541374960,72723,37808836080,0,11882322069,0,5310319,0.2391,3.0968
2018-12-31,0,1.4054,49563767816,142741903360,109088,33624518530,0,15939249286,0,5419315,0.3216,2.2955
2018-09-30,0,1.3684,45178466367,192894464000,109088,32589077585,0,12589388782,0,8557142,0.2787,2.4183
2018-06-30,0,1.2556,41304386432,198319620800,109088,30561452532,0,10742933899,0,7425229,0.2601,2.4654
2018-03-31,0,1.5179,44363922274,162739634120,145452,32948341848,0,11415580426,0,10102638,0.2573,2.6158
2017-12-31,0,1.1592,43258140702,173303620000,145452,29494869092,0,13763271610,0,8485383,0.3182,2.1227
2017-09-30,0,1.2423,39553679652,152959282000,145452,28448800471,0,11104879182,0,10372039,0.2808,2.3447
2017-06-30,0,1.1729,36067588503,130821628280,145452,26775660536,0,9291927968,0,9509905,0.2576,2.4773
2017-03-31,0,1.4234,38823490363,131680611440,145452,28778991593,0,10044498770,0,22917774,0.2587,2.5928
2016-12-31,0,1.048,38804062250,106393352800,181816,26036985867,0,12767076382,0,10824187,0.329,2.0362
2016-09-30,0,1.1222,35340207212,101103824920,181816,25053839064,0,10286368148,0,10188692,0.2911,2.2168
