date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,-1932498159,-1.3576,1938711724,-0.2354
2025-12-31,-1440768611,-0.3483,-763040327,-1.1648
2025-09-30,1256674447,1.0405,966239537,-0.7206
2025-06-30,1997661945,1.0483,616044153,-0.6985
2025-03-31,938450899,0.545,2535741056,-0.4772
2024-12-31,3176553622,0.6943,4628711237,-0.2449
2024-09-30,3802134379,0.6262,3458308342,-0.2038
2024-06-30,6489482386,0.7834,2043328628,6.7097
2024-03-31,8249194502,0.9302,4850465092,2.4579
2023-12-31,5020463787,0.6118,6130220868,0.6806
2023-09-30,7977244678,0.8495,4343467377,5.5434
2023-06-30,7640727169,0.8073,265032391,1.0595
2023-03-31,7503835688,0.797,1402723384,1.4581
2022-12-31,3114095832,0.3885,3647623952,-0.7619
2022-09-30,8378851534,0.9484,-956000213,-1.1746
2022-06-30,8273277897,1.0028,-4453755058,-3.1277
2022-03-31,8861159313,1.0815,-3061792274,-2.0487
2021-12-31,14900714135,2.0389,15318165481,2.85
2021-09-30,9512834937,1.3169,5474055110,13.3275
2021-06-30,8494904162,1.1364,2093245135,1.7658
2021-03-31,6900719043,0.9835,2919559011,9.8775
2020-12-31,3625896705,0.5316,3978790836,-0.4147
2020-09-30,4280531429,0.6244,-444052491,-1.2583
2020-06-30,4240754436,0.6351,-2733382899,-4.3589
2020-03-31,6029934707,0.8617,-328870648,-3.6745
2019-12-31,6504807588,0.9204,6797891871,-0.2494
2019-09-30,4668117442,0.5957,1719384684,-0.7073
2019-06-30,6654758778,0.7922,-510063762,-1.3075
2019-03-31,6895549004,0.8411,122965637,-0.935
2018-12-31,8630829541,1.116,9056748816,0.3158
2018-09-30,7988813144,1.0474,5874472625,0.3695
2018-06-30,7203392141,0.9924,1658765767,0.8928
2018-03-31,7280269005,1.0336,1891759703,0.6164
2017-12-31,6558433203,1.0399,6883169799,-0.0705
2017-09-30,5881682795,0.9433,4289386144,-0.2216
2017-06-30,5158463092,0.8651,876333468,-0.6919
2017-03-31,5685958656,0.9955,1170374437,-0.5348
2016-12-31,6932559581,1.2756,7405044601,0.2688
2016-09-30,6113161322,1.1503,5510458608,0.1579
