date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.1274,0.1276,0.1262,0.2929,0.0956
2025-12-31,0.1302,0.1314,0.126,0.2951,0.0968
2025-09-30,0.1293,0.1301,0.1282,0.2915,0.0959
2025-06-30,0.1292,0.1307,0.1279,0.2874,0.0959
2025-03-31,0.1194,0.1213,0.1246,0.2833,0.0899
2024-12-31,0.1186,0.121,0.1191,0.279,0.0894
2024-09-30,0.106,0.1077,0.1101,0.2729,0.0795
2024-06-30,0.112,0.1151,0.1143,0.2742,0.0844
2024-03-31,0.1016,0.1055,0.1094,0.2721,0.0772
2023-12-31,0.1011,0.1051,0.1054,0.2651,0.077
2023-09-30,0.1193,0.124,0.1228,0.2582,0.0918
2023-06-30,0.109,0.1135,0.1109,0.2573,0.0845
2023-03-31,0.0835,0.0868,0.0919,0.2567,0.064
2022-12-31,0.0714,0.0738,0.0778,0.2632,0.0538
2022-09-30,0.0601,0.0653,0.0711,0.2725,0.0478
2022-06-30,0.0599,0.0635,0.0669,0.2711,0.0475
2022-03-31,0.0719,0.0746,0.0828,0.2755,0.055
2021-12-31,0.0694,0.0728,0.0769,0.2715,0.052
2021-09-30,0.0966,0.0969,0.0999,0.2677,0.0712
2021-06-30,0.1297,0.1317,0.1337,0.2787,0.0987
2021-03-31,0.1252,0.1269,0.1412,0.2778,0.0947
2020-12-31,0.1407,0.1442,0.1683,0.2775,0.1051
2020-09-30,0.1261,0.1284,0.1529,0.2858,0.0961
2020-06-30,0.1188,0.121,0.1402,0.2855,0.0909
2020-03-31,0.1467,0.1531,0.1515,0.2864,0.1119
2019-12-31,0.1411,0.1438,0.1407,0.2856,0.1043
2019-09-30,0.1469,0.1443,0.1434,0.3,0.1044
2019-06-30,,0.1401,0.1413,0.2984,0.1011
2019-03-31,,0.1671,0.1217,0.3,0.1119
2018-12-31,0.1659,0.1728,0.1232,0.3055,0.1133
2018-09-30,,0.1764,0.1252,0.3016,0.1166
2018-06-30,,0.1723,0.1265,0.3053,0.1152
2018-03-31,,0.1814,0.1302,0.3116,0.1196
2017-12-31,,0.1843,0.1288,0.3119,0.1198
2017-09-30,,0.1929,0.1314,0.3055,0.128
2017-06-30,,0.1957,0.1296,0.3071,0.1305
2017-03-31,,0.1972,0.1308,0.303,0.1336
2016-12-31,,0.1996,0.1308,0.2986,0.1336
2016-09-30,,0.2114,0.1333,0.3033,0.143
