date,有息负债率,流动比率,流动负债合计,所有者权益合计,负债合计,资产合计,速动比率,流动资产合计,长期负债合计,资产负债率
2026-03-31,0.0979,2.031,1121837428,39675657353,18466693219,58142350572,1.5374,0,3478720920,0.3176
2025-12-31,0.1097,1.8254,1782710504,38472100113,20332578553,58804678666,1.3881,0,3514040210,0.3458
2025-09-30,0.097,1.8266,986990341,37379399889,19184581917,56563981806,1.3341,463148,3168122064,0.3392
2025-06-30,0.1074,1.7045,1178778545,37680476285,19579416264,57259892549,1.2532,0,2149405531,0.3419
2025-03-31,0.0806,1.4625,1528152922,35338696899,22507698468,57846395366,1.1,0,1039456762,0.3891
2024-12-31,0.0327,1.6079,1860863072,25256313368,14825658953,40081972321,1.2079,0,177940231,0.3699
2024-09-30,0.066,1.8845,1461449574,26064034999,14705888352,40769923351,1.4195,0,1382085703,0.3607
2024-06-30,0.0735,1.8415,1473803549,25373869624,15324396837,40698266461,1.3998,0,1644750045,0.3765
2024-03-31,0.0725,1.8793,1781793736,25726355336,15521319098,41247674434,1.4392,0,1792427354,0.3763
2023-12-31,0.0744,1.7396,1650152414,24261873936,15886581997,40148455933,1.3064,0,1802931972,0.3957
2023-09-30,0.0753,1.7694,1372650024,23626869078,15071191518,38698060595,1.3037,0,1773399416,0.3895
2023-06-30,0.0882,1.6591,1435963041,22974463724,15891098820,38865562544,1.2512,0,1693844833,0.4089
2023-03-31,0.0497,1.5457,1611619879,23151062779,14728791237,37879854016,1.1674,0,117713090,0.3888
2022-12-31,0.0144,1.3823,1012272188,17533414699,9589367000,27122781699,1.051,0,50215528,0.3536
2022-09-30,0.0272,1.7592,812098809,16881828152,8424693434,25306521586,1.3474,0,55595763,0.3329
2022-06-30,0.0172,1.6417,834912583,16318501799,8980852826,25299354625,1.3043,0,55595763,0.355
2022-03-31,0.0096,1.8235,874811033,16558185511,7589967881,24148153392,1.4303,0,20529184,0.3143
2021-12-31,0.0085,1.6048,1475402535,15712714457,8595266160,24307980617,1.2719,0,7966237,0.3536
2021-09-30,0.0087,1.6976,790175247,15390006493,7232281001,22622287494,1.2969,0,0,0.3197
2021-06-30,0.0079,1.6253,648094954,14993796447,7678262285,22672058732,1.2904,0,0,0.3387
2021-03-31,0.0074,1.6181,707373298,14769917344,7482401425,22252318770,1.3165,0,0,0.3363
2020-12-31,0.0014,1.4975,980144827,14059043902,7951103379,22010147281,1.23,0,0,0.3612
2020-09-30,0.0088,1.6036,584451581,14024827685,6500427993,20525255678,1.2667,0,0,0.3167
2020-06-30,0.0087,1.5039,631297269,13528171948,6584270110,20112442058,1.1628,0,0,0.3274
2020-03-31,0.0049,1.5115,614117520,13419680446,6730966913,20150647359,1.2119,0,0,0.334
2019-12-31,0.0015,1.5378,797856996,12881877941,7221647791,20103525732,1.2953,0,0,0.3592
2019-09-30,0.0014,1.7373,356764942,12727128059,5586868186,18313996245,1.3913,0,0,0.3051
2019-06-30,0.0014,1.6533,270854851,12487418803,5995234735,18482653539,1.3653,0,0,0.3244
2019-03-31,0.002,1.6671,379077587,12303987592,5592141201,17896128794,1.3663,0,0,0.3125
2018-12-31,0.002,1.3578,697004736,11168496945,6861435200,18029932145,1.0932,0,0,0.3806
2018-09-30,0.0021,1.3431,225007245,10830154740,5847808566,16677963306,1.0506,0,225450,0.3506
2018-06-30,0.0028,1.3167,0,10549366503,5726712035,16276078538,1.0367,0,225450,0.3518
2018-03-31,0.0326,1.3303,0,10580059531,5992835596,16572895127,1.1033,0,225450,0.3616
2017-12-31,0.0327,1.2433,0,10124681822,6070781910,16195463732,1.0198,0,225450,0.3748
2017-09-30,0.0368,1.3533,0,9770569602,5388633115,15159202718,1.0547,0,450905,0.3555
2017-06-30,0.0392,1.4317,0,9481273005,4871239320,14352512325,1.1113,0,450905,0.3394
2017-03-31,0.0402,1.3854,0,9123455018,4818571459,13942026477,1.0916,0,450905,0.3456
2016-12-31,0.0384,1.3421,0,8721355393,4830392800,13551748193,1.0835,0,450905,0.3564
2016-09-30,0.0347,1.2045,0,8395553015,6032116375,14427669390,0.9744,0,676360,0.4181
2016-06-30,0.0404,1.7539,0,8174293541,4197889471,12372183013,1.451,0,676360,0.3393
