date,metric,value
2026-03-31,流动比率,2.2551
2026-03-31,长期负债合计,29384415236
2026-03-31,净资产收益率(ROE),0.0967
2026-03-31,总资产收益率(ROA),0.0683
2026-03-31,应收账款,4669044266
2026-03-31,资产合计,228542753593
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.8073
2026-03-31,经营活动产生的现金流量净额,3336656591
2026-03-31,流动资产合计,64561864
2026-03-31,归属于母公司普通股股东的净利润,4007930878
2026-03-31,资产负债率,0.2909
2026-03-31,自由现金流量,7184920160
2026-03-31,流动负债合计,313718009
2026-03-31,速动比率,1.9564
2026-03-31,毛利率(GM),0.3676
2026-03-31,所有者权益合计,162070440721
2026-03-31,营业收入,10283797181
2026-03-31,货币资金,118494998965.36
2026-03-31,净利润率,0.3759
2026-03-31,资本回报率(ROIC),0.0777
2026-03-31,基本每股收益,0.1724
2026-03-31,有息负债率,0.2173
2026-03-31,负债合计,66472312872
