date,市值(元),股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,121761853746.91,0.0532,0.5957,,,,,0.3785,,,,,12.0127,,,,,0.5974,,,,,12.5567,,,,
2026-07-02,122197495441.89,0.0530,0.5978,,,,,0.3799,,,,,12.0557,,,,,0.5995,,,,,12.6016,,,,
2026-07-01,120672749509.46,0.0537,0.5903,,,,,0.3751,,,,,11.9053,,,,,0.5920,,,,,12.4443,,,,
2026-06-30,118276720187.07,0.0548,0.5786,,,,,0.3677,,,,,11.6689,,,,,0.5803,,,,,12.1972,,,,
2026-06-29,120672749509.46,0.0537,0.5903,,,,,0.3751,,,,,11.9053,,,,,0.5920,,,,,12.4443,,,,
2026-06-26,117405436797.11,0.0552,0.5744,,,,,0.3650,,,,,11.5829,,,,,0.5760,,,,,12.1074,,,,
2026-06-25,119583645272.01,0.0542,0.5850,,,,,0.3717,,,,,11.7978,,,,,0.5867,,,,,12.3320,,,,
2026-06-24,123504420526.83,0.0525,0.5928,,,,,0.3839,,,,,12.1846,,,,,0.5945,,,,,12.7364,,,,
2026-06-23,125900449849.22,0.0515,0.6043,,,,,0.3914,,,,,12.4210,,,,,0.6061,,,,,12.9834,,,,
2026-06-22,125246987306.75,0.0517,0.6012,,,,,0.3893,,,,,12.3566,,,,,0.6029,,,,,12.9161,,,,
2026-06-18,123722241374.32,0.0524,0.5939,,,,,0.3846,,,,,12.2061,,,,,0.5956,,,,,12.7588,,,,
2026-06-17,125682629001.73,0.0516,0.6033,,,,,0.3907,,,,,12.3995,,,,,0.6050,,,,,12.9610,,,,
2026-06-16,127425195781.65,0.0508,0.6117,,,,,0.3961,,,,,12.5714,,,,,0.6134,,,,,13.1407,,,,
2026-06-15,130039045951.53,0.0498,0.6242,,,,,0.4042,,,,,12.8293,,,,,0.6260,,,,,13.4102,,,,
2026-06-12,131128150188.98,0.0494,0.6294,,,,,0.4076,,,,,12.9368,,,,,0.6312,,,,,13.5225,,,,
2026-06-11,127425195781.65,0.0508,0.6117,,,,,0.3961,,,,,12.5714,,,,,0.6134,,,,,13.1407,,,,
2026-06-10,125029166459.26,0.0518,0.6002,,,,,0.3887,,,,,12.3351,,,,,0.6019,,,,,12.8936,,,,
2026-06-09,123068778831.85,0.0526,0.5907,,,,,0.3826,,,,,12.1417,,,,,0.5924,,,,,12.6914,,,,
2026-06-08,122415316289.38,0.0529,0.5876,,,,,0.3805,,,,,12.0772,,,,,0.5893,,,,,12.6240,,,,
