date,资产负债率
2026-03-31,0.7854
2025-12-31,0.7928
2025-09-30,0.7798
2025-06-30,0.7927
2025-03-31,0.788
2024-12-31,0.7921
2024-09-30,0.7854
2024-06-30,0.7905
2024-03-31,0.786
2023-12-31,0.787
2023-09-30,0.7838
2023-06-30,0.7809
2023-03-31,0.7722
2022-12-31,0.8008
2022-09-30,0.8002
2022-06-30,0.7998
2022-03-31,0.7985
2021-12-31,0.7844
2021-09-30,0.7874
2021-06-30,0.7867
2021-03-31,0.7901
2020-12-31,0.7824
2020-09-30,0.7885
2020-06-30,0.7957
2020-03-31,0.7895
2019-12-31,0.7821
2019-09-30,0.7908
2019-06-30,0.7933
2019-03-31,0.792
2018-12-31,0.8009
2018-09-30,0.8103
2018-06-30,
2018-03-31,0.808
2017-12-31,0.8118
2017-09-30,
2016-12-31,0.8175
