date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.1412,0.0871,0.0301
2025-12-31,0.1601,0.0942,0.0332
2025-09-30,0.1832,0.1079,0.0399
2025-06-30,0.1721,0.0968,0.0358
2025-03-31,0.1759,0.0988,0.0375
2024-12-31,0.1655,0.093,0.0348
2024-09-30,0.1519,0.0869,0.0327
2024-06-30,0.1045,0.0623,0.0224
2024-03-31,0.0824,0.0496,0.0182
2023-12-31,0.0995,0.0569,0.0205
2023-09-30,0.0922,0.0517,0.0192
2023-06-30,0.1157,0.0642,0.0243
2023-03-31,0.1226,0.0669,0.0263
2022-12-31,0.1149,0.0553,0.0238
2022-09-30,0.1187,0.0558,0.0244
2022-06-30,0.1097,0.0517,0.0226
2022-03-31,0.1017,0.0474,0.0209
2021-12-31,0.1074,0.0512,0.0233
2021-09-30,0.1118,0.0532,0.0237
2021-06-30,0.1243,0.0577,0.026
2021-03-31,0.1206,0.0548,0.0253
2020-12-31,0.1088,0.0484,0.0237
2020-09-30,0.1094,0.0475,0.023
2020-06-30,0.1132,0.0481,0.0233
2020-03-31,0.1394,0.0596,0.0292
2019-12-31,0.1402,0.0571,0.0293
2019-09-30,0.1469,0.0604,0.0294
2019-06-30,,0.0522,
2019-03-31,0.0967,0.0394,0.0194
2018-12-31,0.0996,0.0387,0.0193
2018-09-30,,0.0399,
2018-06-30,,,
2018-03-31,,,
2017-12-31,0.1335,0.0487,0.0248
2017-09-30,,,
2016-12-31,0.1275,0.0468,0.0234
