date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,8.2175,188185000000,3.9531,554064000000
2025-12-31,6.1978,443082000000,3.4475,405499000000
2025-09-30,3.5363,210437000000,1.9462,211421000000
2025-06-30,2.6818,28651000000,1.0838,150865000000
2025-03-31,2.7212,37993000000,1.114,165101000000
2024-12-31,-2.606,-181032000000,-196.2026,-199555000000
2024-09-30,-3.2029,-222397000000,-48.8536,-234673000000
2024-06-30,-3.2697,-341909000000,-1.7793,-233116000000
2024-03-31,-4.7248,-333139000000,-25.1634,-335331000000
2023-12-31,-0.0135,-918000000,-1.0047,-14359000000
2023-09-30,2.7521,-4461000000,-1.9121,173421000000
2023-06-30,0.537,-123018000000,-4.3965,25914000000
2023-03-31,2.3525,-12733000000,-1.4279,144868000000
2022-12-31,3.0987,195066000000,3.5873,188394000000
2022-09-30,-0.7761,4891000000,1.2166,-52859000000
2022-06-30,2.4922,36219000000,1.1924,144775000000
2022-03-31,-0.2499,29757000000,1.9562,-18753000000
2021-12-31,-1.3373,-75394000000,-1.4806,-79707000000
2021-09-30,1.5391,-22581000000,-1.4484,80330000000
2021-06-30,-1.8526,-188288000000,-3.8164,-102223000000
2021-03-31,3.9104,-31120000000,0.5732,194514000000
2020-12-31,3.1669,156863000000,0.3411,152612000000
2020-09-30,2.8254,50354000000,0.237,122588000000
2020-06-30,3.8003,66853000000,6.8218,171256000000
2020-03-31,1.0464,-72923000000,-7.6463,48860000000
2019-12-31,2.3874,116969000000,0.1432,113312000000
2019-09-30,-0.6918,40707000000,-0.7703,-37089000000
2019-06-30,2.0497,8547000000,-0.3107,94858000000
2019-03-31,3.2382,-8434000000,0.8499,146268000000
2018-12-31,2.2548,102316000000,0.8921,98716000000
2018-09-30,5.1886,177232000000,40.0293,229256000000
2018-06-30,3.4304,12400000000,1.1417,146880000000
2018-03-31,3.5628,-56207000000,0.6456,150100000000
2017-12-31,1.2611,54074000000,-0.7529,46094000000
2017-09-30,5.7899,-4541000000,0.8447,237164000000
2017-06-30,1.9318,-87514000000,-2.7633,75945000000
2017-03-31,0.1598,-158595000000,-3.9639,181000000
2016-12-31,5.2365,218811000000,11.5021,211103000000
2016-09-30,-2.0895,-29242000000,-1.738,-97667000000
