date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,453608000000,63921000000,6.5052,22.1
2025-12-31,378003000000,378955000000,1.9252,18.8263
2025-09-30,389050000000,333319000000,3.5499,14.7988
2025-06-30,319453000000,166914000000,8.0067,12.149
2025-03-31,128682000000,-11611000000,0.0403,5.0609
2024-12-31,127777000000,129547000000,2.0861,5.0037
2024-09-30,101575000000,73258000000,5.891,4.0111
2024-06-30,-11523000000,-23822000000,-1.8878,-0.3332
2024-03-31,60689000000,-12098000000,0.6397,2.4335
2023-12-31,39660000000,41978000000,-0.667,1.6314
2023-09-30,115746000000,10631000000,-0.4547,4.5479
2023-06-30,147815000000,26832000000,6.4409,5.8342
2023-03-31,88849000000,-33582000000,-12.4771,3.5702
2022-12-31,124752000000,126042000000,4.186,5.0558
2022-09-30,-7319000000,19497000000,2.4668,-0.2875
2022-06-30,-36425000000,3606000000,10.2699,-1.5228
2022-03-31,-64758000000,2926000000,-0.8886,-2.7527
2021-12-31,-41186000000,-39561000000,-3.0847,-1.7667
2021-09-30,13559000000,-13292000000,-0.1684,0.7332
2021-06-30,-9641000000,-389000000,-1.0156,-0.2771
2021-03-31,73250000000,26255000000,1.8243,3.5271
2020-12-31,15117000000,18977000000,-0.0604,0.8767
2020-09-30,-20745000000,-11376000000,-1.457,-0.8004
2020-06-30,-23760000000,24888000000,-0.6136,-0.9542
2020-03-31,-38163000000,-31852000000,-2.4405,-1.539
2019-12-31,15082000000,20196000000,-0.4566,0.9354
2019-09-30,60040000000,24894000000,8.6739,3.0154
2019-06-30,71531000000,64406000000,1.7507,3.6894
2019-03-31,79711000000,22112000000,1.7936,4.2097
2018-12-31,30144000000,37167000000,1.9627,1.8457
2018-09-30,-6577000000,-3244000000,-1.3904,0.0497
2018-06-30,22087000000,23414000000,2.2692,1.4679
2018-03-31,-323000000,-27862000000,-0.3575,0.2711
2017-12-31,7075000000,12545000000,3.3701,0.6644
2017-09-30,37740000000,8309000000,1.2125,2.2755
2017-06-30,90980000000,7162000000,1.0766,5.1792
2017-03-31,94981000000,-20525000000,0.8357,5.4744
2016-12-31,-9399000000,-5293000000,-1.1453,-0.2953
2016-09-30,-49213000000,-39110000000,-1.9123,-2.5679
