date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.4001,2994799000,6182253000,0.7338
2025-12-31,1.3697,1661023000,19484794000,-0.2463
2025-09-30,1.5315,12347022000,19600045000,-0.1217
2025-06-30,1.3823,6125795000,13563670000,0.0747
2025-03-31,1.0647,5293799000,3661704000,-0.3298
2024-12-31,1.0673,5298803000,22341926000,0.3827
2024-09-30,0.6729,-5362841000,18228358000,0.2367
2024-06-30,0.7961,4249319000,12620416000,0.8542
2024-03-31,0.5082,-6853868000,5468499000,0.0045
2023-12-31,0.5955,-1819450000,16167858000,-0.7256
2023-09-30,1.5352,15745925000,19006931000,-0.5005
2023-06-30,1.6246,26603477000,8661120000,-0.3536
2023-03-31,1.5889,40408380000,8621296000,5.4682
2022-12-31,1.3553,35577766000,53450431000,0.4773
2022-09-30,1.2379,41414417000,32441682000,0.6784
2022-06-30,1.3661,37551832000,13397660000,4.183
2022-03-31,1.4047,25575171000,1332272000,-0.5782
2021-12-31,1.9487,26242942000,36181686000,0.6274
2021-09-30,2.8541,23140914000,19329150000,1.0921
2021-06-30,3.8568,14692957000,2584914000,4.3674
2021-03-31,3.3237,12431477000,3158823000,0.0359
2020-12-31,3.2516,10635630000,22233399000,-0.2095
2020-09-30,1.6987,4743897000,6188290000,-0.5828
2020-06-30,1.0902,1375670000,-1556885000,-1.1306
2020-03-31,2.1885,12021310000,1336342000,-0.698
2019-12-31,2.2387,13995106000,24871078000,0.1087
2019-09-30,2.027,12541360000,14833159000,0.1723
2019-06-30,2.061,13567660000,11920967000,0.2465
2019-03-31,2.1587,15369983000,4424475000,0.353
2018-12-31,2.1052,15315741000,22432396000,0.3965
2018-09-30,2.0899,12498280000,12653079000,1.2303
2018-06-30,2.3251,14322518000,9563372000,3.595
2018-03-31,2.1236,7023540000,3270162000,9.7488
2017-12-31,2.0432,5947516000,16063074000,1.5761
2017-09-30,1.8641,5949452000,8194443000,2.801
2017-06-30,1.6987,1553013000,2649232000,54.2103
2017-03-31,1.9432,434205000,1060454000,4.5718
2016-12-31,2.801,-799787000,6421670000,1.2789
2016-09-30,7.102,-2817883000,2155859000,4.7504
