date,应收账款,有息负债率,流动比率,负债合计,长期负债合计,流动资产合计,资产合计,货币资金,流动负债合计,所有者权益合计,资产负债率,速动比率
2026-03-31,26652280492,0.0068,2.0568,38532295829,7000000,1419259144,95863440812,208745342494.44,8634661875,57331144983,0.4019,1.5045
2025-12-31,31249864276,0.006,1.9816,42126213104,21099999,1494607220,98585657661,180553878386.88,7806968368,56459444557,0.4273,1.5713
2025-09-30,28857857620,0.0077,1.9498,40080385238,21099999,1498672477,92817857412,184416746426.64,8225597738,52737472174,0.4318,1.4401
2025-06-30,28122443025,0.0085,1.9438,37589762510,21099999,1390242724,89741069820,179999097884.19,7399157390,52151307310,0.4189,1.4594
2025-03-31,26745173694,0.0084,2.0554,36249783592,21099999,1289263352,89903217439,175902732872.1,6952047934,53653433847,0.4032,1.5717
2024-12-31,30843659274,0.0075,1.9174,39969420238,21099999,1504932109,92705313123,202587823247.16,6436584867,52735892885,0.4311,1.5511
2024-09-30,28293560666,0.0081,1.9743,34576997212,116099999,1509099441,83879806879,222268242238.26,5353265467,49302809666,0.4122,1.5064
2024-06-30,26898845119,0.008,1.9883,32332901720,116099999,1301487562,80930607022,200499288986.88,4728530653,48597705302,0.3995,1.536
2024-03-31,24423393704,0.0082,2.048,32223409784,41099999,1227479894,83146329523,195518938058.52,4949146112,50922919738,0.3876,1.6061
2023-12-31,26406702996,0.0073,1.9128,35708669513,27000000,1316600011,86087418302,179297296091.28,5001663584,50378748789,0.4148,1.5588
2023-09-30,24506279489,0.0079,1.9769,29192136793,0,1273312765,76395601796,178261225706.48,3555620909,47203465003,0.3821,1.5092
2023-06-30,24207522865,0.0077,1.9929,27390378312,0,1082406359,72941048913,185571622975.2,3112557275,45550670601,0.3755,1.5475
2023-03-31,21787801058,0.0206,1.9732,27954089452,0,1238048046,73971353145,181487976140.23,3730961457,46017263693,0.3779,1.5328
2022-12-31,22739249219,0.0188,1.8304,31307197465,0,1426223970,76665557522,163354318479.2,3771244788,45358360057,0.4084,1.478
2022-09-30,21803960688,0.021,1.8604,27439604485,0,764167748,69672594130,166485975564.66,3711374648,42232989644,0.3938,1.4118
2022-06-30,21644296232,0.0199,1.779,27698322744,0,930365574,68412978831,180755032869,3905943554,40714656088,0.4049,1.3437
2022-03-31,19643196939,0.0196,1.8079,28895033692,200000000,964083503,69951516336,175678271138.11,4433021449,41056482644,0.4131,1.3727
2021-12-31,20099060883,0.0189,1.6966,32190506544,200000000,1309246545,72732951414,221983838626.64,4403520207,40542444871,0.4426,1.3435
2021-09-30,20064086601,0.0364,1.6582,31169794718,200000000,888037170,69049226706,199149410290.95,4084242243,37879431988,0.4514,1.2118
2021-06-30,19868446820,0.0323,1.7031,27965829149,200000000,826789954,64494209859,128884218745.8,3427202127,36528380710,0.4336,1.259
2021-03-31,17757426612,0.02,1.7911,26766873691,200000000,944451574,63473877879,143913316527.18,3489724177,36707004188,0.4217,1.3187
2020-12-31,19007367900,0.0361,1.7097,29570133131,200000000,1143847723,65962017470,122799511889.59,3681366041,36391884339,0.4483,1.3408
2020-09-30,20330135508,0.045,1.7908,27592279705,200000000,1304770086,61616323681,91144672930.96,4502354518,34024043976,0.4478,1.3111
2020-06-30,19492059820,0.0339,1.776,26759717316,200000000,1403779300,59500417101,93594301605,4403010825,32740699784,0.4497,1.3541
2020-03-31,17021237194,0.0183,1.8157,22891101762,0,1322519810,55535517262,91283331195,4684295755,32644415500,0.4122,1.3848
2019-12-31,19146818132,0.0247,1.7519,24772339603,0,0,57424875019,97896398453.4,0,32652535416,0.4314,1.4361
2019-09-30,18918065645,0.0455,1.7404,23784361438,0,0,53792817627,94522254408.5,0,30008456190,0.4421,1.3396
2019-06-30,18047991045,0.0148,1.7149,23628990827,0,0,52648100318,86156226023.2,0,29019109491,0.4488,1.3563
2019-03-31,16418430016,0.0273,1.8593,22363149331,0,0,51831854421,97572850394.3,0,29468705090,0.4315,1.4404
2018-12-31,17433006701,0.027,1.8318,22958439239,0,0,52339859775,84935296328.9,0,29381420537,0.4386,1.4876
2018-09-30,18909001508,0.038,1.8783,21297821929,0,0,49247179114,80901671894.5,0,27949357185,0.4325,1.429
2018-06-30,17104036882,0.0448,1.8349,20686424902,0,0,47611009786,72421893254,0,26924584885,0.4345,1.4461
2018-03-31,15110267115,0.0016,1.5295,22234889584,0,0,43484674871,70635125281.7,0,21249785287,0.5113,1.1732
2017-12-31,14994252832,0.0015,1.4459,24834602442,0,0,45977837335,76812022019.6,0,21143234894,0.5401,1.1672
2017-09-30,8101496431,0.0035,1.8476,8476349346,0,0,17540308830,40126309342,0,9063959484,0.4832,1.483
2017-06-30,7054832420,0.0049,1.8197,8127336343,0,0,16682072291,42871026627.5,0,8554735948,0.4872,1.4515
2017-03-31,6501057709,0.005,1.9854,7503458265,0,0,16460641961,40393494210.5,0,8957183696,0.4558,1.6133
2016-12-31,6703195136,0.0047,1.8566,8581629918,0,0,17532386121,40393494210.5,0,8950756203,0.4895,1.5667
2016-09-30,7825615958,0.0038,1.8833,7866336290,0,0,16130042095,39640518672,0,8263705805,0.4877,1.4637
