date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.09,0,9564242922,721291973
2025-12-31,1.04,0.0947,66228963223,8278971723
2025-09-30,0.61,0.0893,38576507203,4855280899
2025-06-30,0.37,0.0882,24243208440,2952191275
2025-03-31,0.09,0.2857,8895111236,680191941
2024-12-31,0.95,0.0556,57417254947,7610121307
2024-09-30,0.56,0.0769,32313324082,4472787897
2024-06-30,0.34,0.0968,20114140751,2709175695
2024-03-31,0.07,0,7698604339,595659762
2023-12-31,0.9,0.1111,51573303989,7183687345
2023-09-30,0.52,0.1304,28567426528,4160827567
2023-06-30,0.31,0.1923,18249970838,2499336567
2023-03-31,0.08,0.3333,6195037934,525713864
2022-12-31,0.97,0.1412,46828962927,6446181151
2022-09-30,0.55,0.1458,25616291200,3655454226
2022-06-30,0.32,0.1429,16322522234,2110386857
2022-03-31,0.07,0.75,5754792013,379084849
2021-12-31,1.02,0.1591,42411007392,5642448312
2021-09-30,0.57,0.2391,23231593867,3192845375
2021-06-30,0.33,0.32,14803960399,1843741793
2021-03-31,0.04,1,4920653095,201243906
2020-12-31,1.06,0.1277,38502411144,4851540712
2020-09-30,0.55,0.1702,20097801384,2548693460
2020-06-30,0.3,0.1538,12153617106,1376542207
2020-03-31,0.02,0,3873977117,75776249
2019-12-31,0.94,0.0108,32423594529,4343067281
2019-09-30,0.47,-0.0962,17179710168,2146382977
2019-06-30,0.26,-0.1613,10934163713,1201296984
2019-03-31,0.02,0,3751298070,76563569
2018-12-31,0.93,0.1772,28540370796,4162074562
2018-09-30,0.52,0.2381,17159948785,2315981588
2018-06-30,0.31,0.4091,10557607121,1352306718
2018-03-31,0.02,0,3843922903,94301406
2017-12-31,0.79,0.0128,24197908118,3240522727
2017-09-30,0.35,0.0937,7161987310,860665130
2017-06-30,0.14,0.1667,4175965381,349579781
2017-03-31,0.01,0,1420791140,17861455
2016-12-31,0.6,0.1111,11415282982,1447176547
2016-09-30,0.32,1.6667,6635333030,767734807
