date,metric,value
2026-03-31,有息负债率,0.0068
2026-03-31,流动资产合计,1419259144
2026-03-31,资产合计,95863440812
2026-03-31,自由现金流量,9319733124
2026-03-31,应收账款,26652280492
2026-03-31,流动比率,2.0568
2026-03-31,总资产收益率(ROA),0.0959
2026-03-31,长期负债合计,7000000
2026-03-31,净资产收益率(ROE),0.1605
2026-03-31,所有者权益合计,57331144983
2026-03-31,毛利率(GM),0.2595
2026-03-31,资本回报率(ROIC),0.1589
2026-03-31,经营活动产生的现金流量净额,-1514283397
2026-03-31,资产负债率,0.4019
2026-03-31,营业收入,9564242922
2026-03-31,货币资金,208745342494.44
2026-03-31,归属于母公司普通股股东的净利润,721291973
2026-03-31,基本每股收益,0.09
2026-03-31,速动比率,1.5045
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.2955
2026-03-31,流动负债合计,8634661875
2026-03-31,负债合计,38532295829
2026-03-31,净利润率,0.1332
