date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,62194298979.25,1.2655,,,,,1.6218,,,,,25.5915,,,,,1.4698,,,,,17.8893,,,,,0.0167
2026-07-02,61499987354.75,1.2514,,,,,1.6037,,,,,25.3058,,,,,1.4534,,,,,17.6895,,,,,0.0169
2026-07-01,61740325994.0,1.2562,,,,,1.6099,,,,,25.4047,,,,,1.4591,,,,,17.7587,,,,,0.0169
2026-06-30,60004546932.75,1.2209,,,,,1.5647,,,,,24.6905,,,,,1.4181,,,,,17.2594,,,,,0.0174
2026-06-29,60698858557.25,1.2351,,,,,1.5828,,,,,24.9762,,,,,1.4345,,,,,17.4591,,,,,0.0172
2026-06-26,56639805983.25,1.1525,,,,,1.4769,,,,,23.3060,,,,,1.3385,,,,,16.2916,,,,,0.0184
2026-06-25,59230122428.5,1.2052,,,,,1.5445,,,,,24.3718,,,,,1.3998,,,,,17.0367,,,,,0.0176
2026-06-24,60084659812.5,1.2226,,,,,1.5667,,,,,24.7234,,,,,1.4200,,,,,17.2824,,,,,0.0173
2026-06-23,59443756774.5,1.2095,,,,,1.5500,,,,,24.4597,,,,,1.4048,,,,,17.0981,,,,,0.0175
2026-06-22,58909670909.5,1.1986,,,,,1.5361,,,,,24.2400,,,,,1.3922,,,,,16.9445,,,,,0.0177
2026-06-18,58188654991.75,1.1840,,,,,1.5173,,,,,23.9433,,,,,1.3751,,,,,16.7371,,,,,0.0179
2026-06-17,57627864833.5,1.1726,,,,,1.5027,,,,,23.7125,,,,,1.3619,,,,,16.5758,,,,,0.0181
2026-06-16,58348880751.25,1.1872,,,,,1.5215,,,,,24.0092,,,,,1.3789,,,,,16.7832,,,,,0.0178
2026-06-15,59577278240.75,1.2122,,,,,1.5535,,,,,24.5147,,,,,1.4080,,,,,17.1365,,,,,0.0175
2026-06-12,59710799707.0,1.2149,,,,,1.5570,,,,,24.5696,,,,,1.4111,,,,,17.1749,,,,,0.0174
2026-06-11,58161950698.5,1.1834,,,,,1.5166,,,,,23.9323,,,,,1.3745,,,,,16.7294,,,,,0.0179
2026-06-10,59043192375.75,1.2014,,,,,1.5396,,,,,24.2949,,,,,1.3953,,,,,16.9829,,,,,0.0176
2026-06-09,58295472164.75,1.1862,,,,,1.5201,,,,,23.9872,,,,,1.3777,,,,,16.7678,,,,,0.0179
2026-06-08,57814794886.25,1.1764,,,,,1.5076,,,,,23.7894,,,,,1.3663,,,,,16.6296,,,,,0.0180
2026-06-05,58802853736.5,1.1965,,,,,1.5333,,,,,24.1960,,,,,1.3897,,,,,16.9138,,,,,0.0177
2026-06-04,58268767871.5,1.1856,,,,,1.5194,,,,,23.9762,,,,,1.3770,,,,,16.7601,,,,,0.0179
2026-06-03,59230122428.5,1.2052,,,,,1.5445,,,,,24.3718,,,,,1.3998,,,,,17.0367,,,,,0.0176
2026-06-02,60672154264.0,1.2345,,,,,1.5821,,,,,24.9652,,,,,1.4338,,,,,17.4514,,,,,0.0172
