date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0704,0.055,0.1037,0.505,0.0364
2025-12-31,0.0698,0.0548,0.102,0.5007,0.0358
2025-09-30,0.0675,0.0544,0.1024,0.4766,0.0347
2025-06-30,0.0682,0.0549,0.1013,0.4759,0.0347
2025-03-31,0.062,0.0512,0.0909,0.4741,0.0317
2024-12-31,0.0603,0.0508,0.0855,0.4797,0.0304
2024-09-30,0.0479,0.0446,0.0663,0.4784,0.0244
2024-06-30,0.042,0.0412,0.0593,0.4722,0.0211
2024-03-31,0.0456,0.0426,0.0631,0.4746,0.0232
2023-12-31,0.0523,0.0464,0.0699,0.4784,0.0262
2023-09-30,0.0698,0.0563,0.0885,0.4879,0.0354
2023-06-30,0.08,0.0612,0.0938,0.4934,0.0392
2023-03-31,0.0859,0.0667,0.0994,0.4914,0.0435
2022-12-31,0.077,0.0611,0.0898,0.4728,0.0394
2022-09-30,0.0756,0.0587,0.0882,0.4548,0.0395
2022-06-30,0.0864,0.0644,0.0944,0.454,0.0438
2022-03-31,0.0982,0.0734,0.1126,0.4613,0.051
2021-12-31,0.1057,0.0798,0.1279,0.4814,0.0564
2021-09-30,0.1166,0.0861,0.1454,0.5161,0.06
2021-06-30,0.11,0.0826,0.144,0.5388,0.0567
2021-03-31,0.0986,0.0752,0.1315,0.55,0.052
2020-12-31,0.0925,0.0716,0.13,0.5568,0.0493
2020-09-30,0.1043,0.0754,0.1371,0.5668,0.0508
2020-06-30,0.1031,0.0768,0.1348,0.5724,0.0498
2020-03-31,0.0957,0.0728,0.1277,0.5879,0.0471
2019-12-31,0.1028,0.0786,0.131,0.5962,0.051
2019-09-30,0.0884,0.0677,0.112,0.5953,0.0426
2019-06-30,0.0954,,0.1139,0.5954,0.0443
2019-03-31,0.0929,,0.117,0.5877,0.0444
2018-12-31,0.0954,0.0712,0.1212,0.584,0.0456
2018-09-30,0.1017,,0.1335,0.5873,0.0507
2018-06-30,0.1172,,0.1541,0.5924,0.0581
2018-03-31,0.1262,,0.1761,0.5925,0.0646
2017-12-31,0.1304,,0.1934,0.5894,0.0678
2017-09-30,0.1329,,0.2033,0.5755,0.0698
2017-06-30,0.1379,,0.2119,0.5599,0.0742
2017-03-31,0.1394,,0.2156,0.5491,0.0758
2016-12-31,0.1403,,0.2202,0.5407,0.0786
2016-09-30,0.1517,,0.2277,0.5242,0.081
2016-06-30,0.1489,,0.2278,0.515,0.0803
