date,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,扣非PEG,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-04-16,7.0087,,,,,,0.0123,21.0388,,,,,4.9979,,,,,21.3777,,,,,4.9979,,,,
2026-04-15,6.9367,,,,,,0.0124,20.8228,,,,,4.9466,,,,,21.1582,,,,,4.9466,,,,
2026-04-14,7.0514,,,,,,0.0122,21.1671,,,,,5.0284,,,,,21.5080,,,,,5.0284,,,,
2026-04-13,6.8389,,,,,,0.0126,20.5291,,,,,4.8769,,,,,20.8598,,,,,4.8769,,,,
2026-04-10,7.0053,,,,,,0.0123,21.0287,,,,,4.9955,,,,,21.3674,,,,,4.9955,,,,
2026-04-09,7.0390,,,,,,0.0123,21.1299,,,,,5.0196,,,,,21.4703,,,,,5.0196,,,,
2026-04-08,7.1458,,,,,,0.0121,21.4506,,,,,5.0958,,,,,21.7961,,,,,5.0958,,,,
2026-04-07,7.0525,,,,,,0.0122,21.1704,,,,,5.0292,,,,,21.5115,,,,,5.0292,,,,
2026-04-03,6.9468,,,,,,0.0124,20.8531,,,,,4.9538,,,,,21.1891,,,,,4.9538,,,,
2026-04-02,6.9142,,,,,,0.0125,20.7553,,,,,4.9306,,,,,21.0896,,,,,4.9306,,,,
2026-04-01,7.0334,,,,,,0.0123,21.1130,,,,,5.0156,,,,,21.4532,,,,,5.0156,,,,
2026-03-31,6.9299,,,,,,0.0124,20.8025,,,,,4.9418,,,,,21.1376,,,,,4.9418,,,,
2026-03-30,7.0750,,,,,,0.0122,21.2379,,,,,5.0453,,,,,21.5801,,,,,5.0453,,,,
2026-03-27,7.1020,,,,,,0.0121,21.3189,,,,,5.0645,,,,,21.6624,,,,,5.0645,,,,
2026-03-26,7.0199,,,,,,0.0123,21.0725,,,,,5.0060,,,,,21.4120,,,,,5.0060,,,,
2026-03-25,7.0716,,,,,,0.0122,21.2278,,,,,5.0428,,,,,21.5698,,,,,5.0428,,,,
2026-03-24,6.9727,,,,,,0.0124,20.9308,,,,,4.9723,,,,,21.2680,,,,,4.9723,,,,
2026-03-23,6.7613,,,,,,0.0128,20.2962,,,,,4.8215,,,,,20.6232,,,,,4.8215,,,,
2026-03-17,,,,,,1.4559,,,,,,,,,,,,,,,,,,,,,
2026-03-13,,,,,,1.4703,,,,,,,,,,,,,,,,,,,,,
2026-03-06,,,,,,1.6437,,,,,,,,,,,,,,,,,,,,,
2026-02-27,,,,,,1.5685,,,,,,,,,,,,,,,,,,,,,
