代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
AAPL,苹果,195.50,32.5,45.2,8.5,0.5,175.2,28.5
MSFT,微软,428.30,38.5,15.2,13.5,0.8,42.5,18.2
NVDA,英伟达,920.80,68.5,52.8,28.5,0.0,115.2,55.8
AMZN,亚马逊,182.50,52.8,8.5,3.2,0.0,15.2,5.8
META,Meta平台,520.30,28.5,8.2,8.5,0.5,28.5,15.2
GOOGL,谷歌A,165.80,26.5,7.2,6.2,0.0,25.8,14.5
GOOG,谷歌C,167.50,26.8,7.2,6.2,0.0,25.8,14.5
TSLA,特斯拉,185.30,65.2,12.5,7.2,0.0,21.5,9.8
AVGO,博通,1385.50,42.5,12.8,15.2,1.5,35.2,12.5
COST,好市多,852.30,52.5,15.2,1.5,0.5,28.5,9.5
ADBE,Adobe,510.20,48.5,15.5,12.8,0.0,35.2,15.8
NFLX,网飞,625.80,42.5,12.5,7.8,0.0,22.8,8.5
AMD,超威半导体,165.30,58.5,5.8,10.2,0.0,8.5,3.5
PEP,百事可乐,172.80,25.8,12.5,2.8,2.8,52.5,9.2
CSCO,思科,48.50,14.5,5.2,3.2,3.2,28.5,10.5
TMUS,T-Mobile,165.20,22.5,3.2,2.2,1.2,15.2,4.5
QCOM,高通,185.60,22.8,8.5,4.8,1.8,38.5,12.5
INTC,英特尔,32.50,18.5,1.8,2.5,1.5,5.2,2.8
TXN,德州仪器,192.50,32.5,12.5,10.2,2.5,42.5,18.5
INTU,Intuit,638.20,58.5,12.5,11.5,0.5,22.5,10.2
