date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元)
2026-05-06,12.6216,0.0215,22.1947,16.4856,14.7690,0.0387,0.6127,0.0000,1.1803,0.8372,0.7256,0.9705,0.0315,2.2403,1.3008,1.1578,170471252682.72
2026-04-30,12.6853,0.0215,22.1947,16.4856,14.7690,0.0385,0.6158,0.0000,1.1803,0.8372,0.7256,0.9754,0.0315,2.2403,1.3008,1.1578,171332218605.36
2026-04-29,12.8678,0.0215,22.1947,16.4856,14.7690,0.0389,0.6211,0.0000,1.1803,0.8372,0.7256,0.9854,0.0315,2.2403,1.3008,1.1578,169610286760.08
2026-04-28,12.8678,0.0215,22.1947,16.4856,14.7690,0.0389,0.6211,0.0000,1.1803,0.8372,0.7256,0.9854,0.0315,2.2403,1.3008,1.1578,169610286760.08
2026-04-27,12.7807,0.0215,22.1947,16.4856,14.7690,0.0392,0.6169,0.0000,1.1803,0.8372,0.7256,0.9787,0.0315,2.2403,1.3008,1.1578,168462332196.56
2026-04-24,12.8678,0.0215,22.1947,16.4856,14.7690,0.0389,0.6211,0.0000,1.1803,0.8372,0.7256,0.9854,0.0315,2.2403,1.3008,1.1578,169610286760.08
2026-04-23,12.9984,0.0215,22.1947,16.4856,14.7690,0.0385,0.6274,0.0000,1.1803,0.8372,0.7256,0.9954,0.0315,2.2403,1.3008,1.1578,171332218605.36
2026-04-22,13.1073,0.0215,22.1947,16.4856,14.7690,0.0382,0.6327,0.0000,1.1803,0.8372,0.7256,1.0038,0.0315,2.2403,1.3008,1.1578,172767161809.76
2026-04-21,13.2597,0.0215,22.1947,16.4856,14.7690,0.0378,0.6401,0.0000,1.1803,0.8372,0.7256,1.0154,0.0315,2.2403,1.3008,1.1578,174776082295.92
2026-04-20,13.2597,0.0215,22.1947,16.4856,14.7690,0.0378,0.6401,0.0000,1.1803,0.8372,0.7256,1.0154,0.0315,2.2403,1.3008,1.1578,174776082295.92
2026-04-17,13.3903,0.0215,22.1947,16.4856,14.7690,0.0374,0.6464,0.0000,1.1803,0.8372,0.7256,1.0254,0.0315,2.2403,1.3008,1.1578,176498014141.2
2026-04-16,13.4774,0.0215,22.1947,16.4856,14.7690,0.0372,0.6506,0.0000,1.1803,0.8372,0.7256,1.0321,0.0315,2.2403,1.3008,1.1578,177645968704.72
2026-04-15,13.4774,0.0215,22.1947,16.4856,14.7690,0.0372,0.6506,0.0000,1.1803,0.8372,0.7256,1.0321,0.0315,2.2403,1.3008,1.1578,177645968704.72
2026-04-14,13.5863,0.0215,22.1947,16.4856,14.7690,0.0369,0.6558,0.0000,1.1803,0.8372,0.7256,1.0404,0.0315,2.2403,1.3008,1.1578,179080911909.12
2026-04-13,13.5645,0.0215,22.1947,16.4856,14.7690,0.0369,0.6548,0.0000,1.1803,0.8372,0.7256,1.0388,0.0315,2.2403,1.3008,1.1578,178793923268.24
2026-04-10,13.6951,0.0215,22.1947,16.4856,14.7690,0.0366,0.6611,0.0000,1.1803,0.8372,0.7256,1.0488,0.0315,2.2403,1.3008,1.1578,180515855113.52
2026-04-09,13.4556,0.0215,22.1947,16.4856,14.7690,0.0372,0.6495,0.0000,1.1803,0.8372,0.7256,1.0304,0.0315,2.2403,1.3008,1.1578,177358980063.84
2026-04-08,13.6951,0.0215,22.1947,16.4856,14.7690,0.0366,0.6611,0.0000,1.1803,0.8372,0.7256,1.0488,0.0315,2.2403,1.3008,1.1578,180515855113.52
2026-04-07,13.4339,0.0215,22.1947,16.4856,14.7690,0.0373,0.6485,0.0000,1.1803,0.8372,0.7256,1.0288,0.0315,2.2403,1.3008,1.1578,177071991422.96
2026-04-03,13.5210,0.0215,22.1947,16.4856,14.7690,0.0370,0.6527,0.0000,1.1803,0.8372,0.7256,1.0354,0.0315,2.2403,1.3008,1.1578,178219945986.48
2026-04-02,13.6516,0.0215,22.1947,16.4856,14.7690,0.0367,0.6590,0.0000,1.1803,0.8372,0.7256,1.0454,0.0315,2.2403,1.3008,1.1578,179941877831.76
