date,metric,value
2025-12-31,资产负债率,0.1642
2025-12-31,毛利率(GM),0.9118
2025-12-31,营业收入,168838102515
2024-12-31,贵州茅台 - 经营活动产生的现金流量净额对营业利润的比率,0.7725
2025-12-31,经营活动产生的现金流量净额对净利润的比率,0.7212
2025-12-31,归属于母公司普通股股东的净利润,82320067102
2025-12-31,速动比率,3.8517
2025-12-31,自由现金流量,58394766023
2024-12-31,贵州茅台 - 资本收益率(ROC),3.1274
2024-12-31,贵州茅台 - 清算价值比率,4.9957
2024-12-31,贵州茅台 - 扣非净利润占比,1.0001
2025-12-31,基本每股收益,65.66
2024-12-31,"""贵州茅台-净现金流总额(单位: 元)""",19610983052
2024-12-31,贵州茅台 - 归属于母公司普通股股东的扣除非经常性损益的净利润,86240905977
2025-12-31,流动比率,5.09
2024-12-31,贵州茅台 - 净利润,89334728026
2025-12-31,净利润率,0.4958
2025-12-31,总资产收益率(ROA),0.2831
2025-12-31,净资产收益率(ROE),0.344
2025-12-31,有息负债率,0.0601
2024-12-31,贵州茅台 - 营业利润,119688579453
2025-12-31,经营活动产生的现金流量净额,61522204989
2024-12-31,贵州茅台 - 归属于母公司普通股股东的扣非ROE,0.3843
2024-12-31,贵州茅台 - 销售商品提供劳务收到的现金对营业收入的比率,1.0687
2024-12-31,贵州茅台 - 资本回报率(ROIC),0.3565
2024-12-31,贵州茅台 - 归属于母公司普通股股东的扣非加权ROE,0.3603
2024-12-31,贵州茅台 - 归属于母公司普通股股东的加权ROE,0.3602
2024-12-31,贵州茅台 - 经营活动产生的现金流量净额对固定资产的比率,4.4261
2024-12-31,贵州茅台 - 归属于母公司普通股股东的ROE,0.3843
