date,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PEG
2026-04-21,14.6475,0.4268,19.5348,15.1631,13.4994,1.3183,0.5059,1.5206,1.3148,1.1202,3.1988,0.1654,6.7727,4.3077,3.2405,0.0542,2.7079,0.1999,4.5235,3.4171,2.7079,13.7548,0.4196,18.0123,14.4752,12.7888,
2026-04-20,14.6622,0.4268,19.5348,15.1631,13.4994,1.3197,0.5059,1.5206,1.3148,1.1202,3.2020,0.1654,6.7727,4.3077,3.2405,0.0541,2.7106,0.1999,4.5235,3.4171,2.7079,13.7686,0.4196,18.0123,14.4752,12.7888,
2026-04-17,14.4909,0.4268,19.5348,15.1631,13.4994,1.3042,0.5059,1.5206,1.3148,1.1202,3.1646,0.1654,6.7727,4.3077,3.2405,0.0547,2.6789,0.1999,4.5235,3.4171,2.7079,13.6077,0.4196,18.0123,14.4752,12.7888,
2026-04-16,14.3527,0.4268,19.5348,15.1631,13.4994,1.2918,0.5059,1.5206,1.3148,1.1202,3.1344,0.1654,6.7727,4.3077,3.2405,0.0553,2.6534,0.1999,4.5235,3.4171,2.7079,13.4780,0.4196,18.0123,14.4752,12.7888,
2026-04-15,14.2771,0.4268,19.5348,15.1631,13.4994,1.2850,0.5059,1.5206,1.3148,1.1202,3.1179,0.1654,6.7727,4.3077,3.2405,0.0556,2.6394,0.1999,4.5235,3.4171,2.7079,13.4070,0.4196,18.0123,14.4752,12.7888,
2026-04-14,14.1039,0.4268,19.5348,15.1631,13.4994,1.2694,0.5059,1.5206,1.3148,1.1202,3.0801,0.1654,6.7727,4.3077,3.2405,0.0562,2.6074,0.1999,4.5235,3.4171,2.7079,13.2444,0.4196,18.0123,14.4752,12.7888,
2026-04-13,13.9621,0.4268,19.5348,15.1631,13.4994,1.2566,0.5059,1.5206,1.3148,1.1202,3.0491,0.1654,6.7727,4.3077,3.2405,0.0568,2.5812,0.1999,4.5235,3.4171,2.7079,13.1112,0.4196,18.0123,14.4752,12.7888,
2026-04-10,14.0782,0.4268,19.5348,15.1631,13.4994,1.2671,0.5059,1.5206,1.3148,1.1202,3.0745,0.1654,6.7727,4.3077,3.2405,0.0563,2.6026,0.1999,4.5235,3.4171,2.7079,13.2202,0.4196,18.0123,14.4752,12.7888,
2026-04-09,14.0984,0.4268,19.5348,15.1631,13.4994,1.2689,0.5059,1.5206,1.3148,1.1202,3.0789,0.1654,6.7727,4.3077,3.2405,0.0563,2.6064,0.1999,4.5235,3.4171,2.7079,13.2392,0.4196,18.0123,14.4752,12.7888,
2026-04-08,14.1371,0.4268,19.5348,15.1631,13.4994,1.2724,0.5059,1.5206,1.3148,1.1202,3.0873,0.1654,6.7727,4.3077,3.2405,0.0561,2.6135,0.1999,4.5235,3.4171,2.7079,13.2755,0.4196,18.0123,14.4752,12.7888,
2026-04-07,14.0247,0.4268,19.5348,15.1631,13.4994,1.2623,0.5059,1.5206,1.3148,1.1202,3.0628,0.1654,6.7727,4.3077,3.2405,0.0566,2.5928,0.1999,4.5235,3.4171,2.7079,13.1700,0.4196,18.0123,14.4752,12.7888,
2026-04-03,14.0671,0.4268,19.5348,15.1631,13.4994,1.2661,0.5059,1.5206,1.3148,1.1202,3.0721,0.1654,6.7727,4.3077,3.2405,0.0564,2.6006,0.1999,4.5235,3.4171,2.7079,13.2098,0.4196,18.0123,14.4752,12.7888,
2026-04-02,14.2550,0.4268,19.5348,15.1631,13.4994,1.2830,0.5059,1.5206,1.3148,1.1202,3.1131,0.1654,6.7727,4.3077,3.2405,0.0556,2.6353,0.1999,4.5235,3.4171,2.7079,13.3863,0.4196,18.0123,14.4752,12.7888,
