date,有息负债率,流动比率,速动比率,资产负债率
2026-03-31,0.0973,1.2149,1.0183,0.6002
2025-12-31,0.1136,1.2134,1.0041,0.6117
2025-09-30,0.095,1.114,0.9439,0.6054
2025-06-30,0.1552,1.093,0.9428,0.6404
2025-03-31,0.1552,1.1358,0.9718,0.6194
2024-12-31,0.1488,1.1059,0.9054,0.6233
2024-09-30,0.1499,1.1241,0.9684,0.6116
2024-06-30,0.1492,1.092,0.9182,0.652
2024-03-31,0.1433,1.1483,0.9558,0.6308
2023-12-31,0.1571,1.1197,0.902,0.6414
2023-09-30,0.1689,1.1207,0.948,0.6382
2023-06-30,0.1885,1.1146,0.9442,0.658
2023-03-31,0.1776,1.2341,1.0459,0.634
2022-12-31,0.1649,1.2654,0.9993,0.6405
2022-09-30,0.1742,1.3506,1.1256,0.6434
2022-06-30,0.1736,1.1837,0.9888,0.6601
2022-03-31,0.1632,1.1326,0.9145,0.6497
2021-12-31,0.1444,1.1167,0.874,0.6525
2021-09-30,0.1604,1.373,1.1562,0.6591
2021-06-30,0.1693,1.3203,1.1048,0.6753
2021-03-31,0.1724,1.318,1.1126,0.6631
2020-12-31,0.1646,1.3123,1.1109,0.6553
2020-09-30,0.1614,1.3317,1.167,0.6572
2020-06-30,0.1733,1.3108,1.1531,0.6643
2020-03-31,0.1658,1.5391,1.3151,0.6301
2019-12-31,0.1608,1.5,1.2597,0.644
2019-09-30,0.1532,1.5462,1.3435,0.6342
2019-06-30,0.1553,1.4856,1.29,0.6529
2019-03-31,0.1556,1.4789,1.2832,0.6434
2018-12-31,0.1554,1.4028,1.1582,0.6494
2018-09-30,0.1626,1.4232,1.2059,0.6416
2018-06-30,0.1557,1.3868,1.1806,0.6496
2018-03-31,0.1539,1.4664,1.2275,0.6519
2017-12-31,0.1631,1.4259,1.1646,0.6658
2017-09-30,0.1758,1.4214,1.1964,0.6686
2017-06-30,0.1791,1.1047,0.9381,0.6754
2017-03-31,0.1831,1.0946,0.9146,0.6705
2016-12-31,0.0609,1.3525,1.1595,0.5957
2016-09-30,0.0738,1.3344,1.1872,0.5954
2016-06-30,0.1342,1.2567,1.1366,0.6259
