date,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PEG
2026-04-21,1.4414,0.3814,3.8636,2.5798,1.0798,5.6764,0.5134,9.2525,5.6148,4.4710,5.8311,0.4932,9.6119,5.8766,4.6358,0.0046,33.8103,0.4074,52.7855,38.2897,26.2431,28.8590,0.3827,47.2359,33.5611,23.5830,
2026-04-20,1.4410,0.3814,3.8636,2.5798,1.0798,5.6747,0.5134,9.2525,5.6148,4.4710,5.8293,0.4932,9.6119,5.8766,4.6358,0.0046,33.8000,0.4074,52.7855,38.2897,26.2431,28.8503,0.3827,47.2359,33.5611,23.5830,
2026-04-17,1.3099,0.3814,3.8636,2.5798,1.0798,5.1584,0.5134,9.2525,5.6148,4.4710,5.2990,0.4932,9.6119,5.8766,4.6358,0.0050,30.7250,0.4074,52.7855,38.2897,26.2431,26.2255,0.3827,47.2359,33.5611,23.5830,
2026-04-16,1.3252,0.3814,3.8636,2.5798,1.0798,5.2188,0.5134,9.2525,5.6148,4.4710,5.3611,0.4932,9.6119,5.8766,4.6358,0.0050,31.0849,0.4074,52.7855,38.2897,26.2431,26.5328,0.3827,47.2359,33.5611,23.5830,
2026-04-15,1.2886,0.3814,3.8636,2.5798,1.0798,5.0747,0.5134,9.2525,5.6148,4.4710,5.2130,0.4932,9.6119,5.8766,4.6358,0.0051,30.2262,0.4074,52.7855,38.2897,26.2431,25.7998,0.3827,47.2359,33.5611,23.5830,
2026-04-14,1.3787,0.3814,3.8636,2.5798,1.0798,5.4832,0.5134,9.2525,5.6148,4.4710,5.6422,0.4932,9.6119,5.8766,4.6358,0.0061,32.8452,0.4074,52.7855,38.2897,26.2431,27.2562,0.3827,47.2359,33.5611,23.5830,
2026-04-13,1.3661,0.3814,3.8636,2.5798,1.0798,5.4331,0.5134,9.2525,5.6148,4.4710,5.5907,0.4932,9.6119,5.8766,4.6358,0.0061,32.5453,0.4074,52.7855,38.2897,26.2431,27.0073,0.3827,47.2359,33.5611,23.5830,
2026-04-10,1.3563,0.3814,3.8636,2.5798,1.0798,5.3942,0.5134,9.2525,5.6148,4.4710,5.5506,0.4932,9.6119,5.8766,4.6358,0.0062,32.3121,0.4074,52.7855,38.2897,26.2431,26.8138,0.3827,47.2359,33.5611,23.5830,
2026-04-09,1.2843,0.3814,3.8636,2.5798,1.0798,5.1077,0.5134,9.2525,5.6148,4.4710,5.2558,0.4932,9.6119,5.8766,4.6358,0.0065,30.5959,0.4074,52.7855,38.2897,26.2431,25.3897,0.3827,47.2359,33.5611,23.5830,
2026-04-08,1.2186,0.3814,3.8636,2.5798,1.0798,4.8462,0.5134,9.2525,5.6148,4.4710,4.9868,0.4932,9.6119,5.8766,4.6358,0.0069,29.0298,0.4074,52.7855,38.2897,26.2431,24.0900,0.3827,47.2359,33.5611,23.5830,
2026-04-07,1.1281,0.3814,3.8636,2.5798,1.0798,4.4865,0.5134,9.2525,5.6148,4.4710,4.6166,0.4932,9.6119,5.8766,4.6358,0.0074,26.8749,0.4074,52.7855,38.2897,26.2431,22.3018,0.3827,47.2359,33.5611,23.5830,
2026-04-03,1.1377,0.3814,3.8636,2.5798,1.0798,4.5245,0.5134,9.2525,5.6148,4.4710,4.6557,0.4932,9.6119,5.8766,4.6358,0.0074,27.1026,0.4074,52.7855,38.2897,26.2431,22.4908,0.3827,47.2359,33.5611,23.5830,
2026-04-02,1.1631,0.3814,3.8636,2.5798,1.0798,4.6256,0.5134,9.2525,5.6148,4.4710,4.7597,0.4932,9.6119,5.8766,4.6358,0.0072,27.7080,0.4074,52.7855,38.2897,26.2431,22.9931,0.3827,47.2359,33.5611,23.5830,
2026-04-01,1.1750,0.3814,3.8636,2.5798,1.0798,4.6729,0.5134,9.2525,5.6148,4.4710,4.8084,0.4932,9.6119,5.8766,4.6358,0.0071,27.9912,0.4074,52.7855,38.2897,26.2431,23.2282,0.3827,47.2359,33.5611,23.5830,
2026-03-31,1.1484,0.3814,3.8636,2.5798,1.0798,4.5672,0.5134,9.2525,5.6148,4.4710,4.6996,0.4932,9.6119,5.8766,4.6358,0.0073,27.3581,0.4074,52.7855,38.2897,26.2431,22.7028,0.3827,47.2359,33.5611,23.5830,
2026-03-30,1.1367,0.3814,3.8636,2.5798,1.0798,4.5208,0.5134,9.2525,5.6148,4.4710,4.6519,0.4932,9.6119,5.8766,4.6358,0.0074,27.0804,0.4074,52.7855,38.2897,26.2431,22.4723,0.3827,47.2359,33.5611,23.5830,
2026-03-27,1.1799,0.3814,3.8636,2.5798,1.0798,4.6923,0.5134,9.2525,5.6148,4.4710,4.8284,0.4932,9.6119,5.8766,4.6358,0.0071,28.1078,0.4074,52.7855,38.2897,26.2431,23.3249,0.3827,47.2359,33.5611,23.5830,
2026-03-26,1.1701,0.3814,3.8636,2.5798,1.0798,4.6534,0.5134,9.2525,5.6148,4.4710,4.7883,0.4932,9.6119,5.8766,4.6358,0.0071,27.8746,0.4074,52.7855,38.2897,26.2431,23.1314,0.3827,47.2359,33.5611,23.5830,
2026-03-25,1.1882,0.3814,3.8636,2.5798,1.0798,4.7257,0.5134,9.2525,5.6148,4.4710,4.8627,0.4932,9.6119,5.8766,4.6358,0.0070,28.3078,0.4074,52.7855,38.2897,26.2431,23.4909,0.3827,47.2359,33.5611,23.5830,
2026-03-24,1.0803,0.3814,3.8636,2.5798,1.0798,4.2964,0.5134,9.2525,5.6148,4.4710,4.4210,0.4932,9.6119,5.8766,4.6358,0.0077,25.7364,0.4074,52.7855,38.2897,26.2431,21.3570,0.3827,47.2359,33.5611,23.5830,
2026-03-23,1.0794,0.3814,3.8636,2.5798,1.0798,4.2927,0.5134,9.2525,5.6148,4.4710,4.4172,0.4932,9.6119,5.8766,4.6358,0.0078,25.7141,0.4074,52.7855,38.2897,26.2431,21.3386,0.3827,47.2359,33.5611,23.5830,
2026-03-20,1.1241,0.3814,3.8636,2.5798,1.0798,4.4707,0.5134,9.2525,5.6148,4.4710,4.6004,0.4932,9.6119,5.8766,4.6358,0.0074,26.7805,0.4074,52.7855,38.2897,26.2431,22.2234,0.3827,47.2359,33.5611,23.5830,
