date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2025-12-31,31011744510,0.1097,4062891412,1.03
2025-09-30,24029313453,0.1686,3242356552,0.84
2025-06-30,16262787448,0.1891,2109940161,0.57
2025-03-31,7669450485,0.191,903416216,0.24
2024-12-31,27947164516,0.138,3099165128,0.84
2024-09-30,20562897142,0.0836,2301970696,0.61
2024-06-30,13676072161,0.0916,1514515445,0.4
2024-03-31,6439558590,0.134,647742424,0.17
2023-12-31,24557802067,0.1504,2920992940,0.81
2023-09-30,18975778200,0.2165,2159631224,0.59
2023-06-30,12528920626,0.2332,1394760849,0.39
2023-03-31,5678755522,0.1822,601262668,0.17
2022-12-31,21347549741,0.3325,2573344180,0.72
2022-09-30,15598985732,0.331,1627645903,0.46
2022-06-30,10159952996,0.3239,1003187335,0.28
2022-03-31,4803574775,0.4094,452994753,0.13
2021-12-31,16020809806,0.323,1684044407,0.47
2021-09-30,11719880371,0.3639,1293171514,0.36
2021-06-30,7674081762,0.443,823881222,0.23
2021-03-31,3408216863,0.3722,360076305,0.1
2020-12-31,12109833368,0.0729,1462158822,0.41
2020-09-30,8593215986,-0.0032,1092248543,0.31
2020-06-30,5318178627,-0.088,643481717,0.18
2020-03-31,2483672661,-0.107,211359666,0.08
2019-12-31,11287489442,0.0417,1421204236,0.52
2019-09-30,8620823767,0.043,1056299090,0.38
2019-06-30,5831107028,0.0431,692968499,0.25
2019-03-31,2781115362,0.079,258685947,0.12
2018-12-31,10835990678,0.131,1292349782,0.61
2018-09-30,8265188429,0.1496,1023391460,0.48
2018-06-30,5590333730,0.1515,677056093,0.32
2018-03-31,2577547335,0.2036,248311450,0.12
2017-12-31,9581243802,0.2514,1235952056,0.6
2017-09-30,7189648369,0.235,979010039,0.48
2017-06-30,4280435806,0.2523,512885511,0.28
2017-03-31,1861941237,0.2345,171116591,0.09
2016-12-31,6769206736,0.0988,857455254,0.48
2016-09-30,5148849941,0.0732,671620587,0.37
2016-06-30,3418091341,0.0264,399405563,0.22
