date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2025-12-31,1.2396,5090762718,0.1658,1978602954
2025-09-30,1.3308,3058283517,0.5341,2535692143
2025-06-30,1.2018,1275406871,0.0979,1297994399
2025-03-31,1.3946,467558178,3.3366,1682505515
2024-12-31,1.4033,4366630948,0.1726,1185783025
2024-09-30,1.0977,1993484856,-0.1566,555801862
2024-06-30,1.0414,1161629876,-0.3241,796022398
2024-03-31,1.0419,107817236,-0.8535,442404466
2023-12-31,1.2694,3723964355,0.4838,1569569745
2023-09-30,1.2093,2363640074,1.237,1148793053
2023-06-30,1.1528,1718673594,1.2584,604474031
2023-03-31,1.1292,735871707,4.8435,483397898
2022-12-31,0.9623,2509666491,0.6131,-347503826
2022-09-30,0.7107,1056630906,-0.0896,-974802737
2022-06-30,0.7921,761013129,-0.0778,-852949016
2022-03-31,0.8311,125930521,-0.337,-592660767
2021-12-31,0.9126,1555819103,-0.2546,-371564816
2021-09-30,0.9942,1160606173,-0.2609,-134921133
2021-06-30,1.0833,825216623,-0.253,162075900
2021-03-31,1.0812,189951486,-0.6342,446347228
2020-12-31,1.4168,2087343783,0.0985,956770346
2020-09-30,1.5885,1570209058,0.393,1337175428
2020-06-30,1.5685,1104651449,0.33,1274423695
2020-03-31,1.5455,519305066,0.8444,1172908838
2019-12-31,1.3253,1900163605,0.4757,1041556984
2019-09-30,1.3943,1127214833,1.0114,970176757
2019-06-30,1.4786,830554911,3.5749,997940962
2019-03-31,1.2434,281558083,4.8613,751951386
2018-12-31,0.9819,1287595478,0.9389,380551818
2018-09-30,0.4922,560424036,-0.0255,-91738489
2018-06-30,0.4049,175471924,-0.394,-227838681
2018-03-31,0.368,-72917024,-1.738,-205833119
2017-12-31,0.5186,648722622,-0.5696,54743589
2017-09-30,0.8001,571625829,-0.4733,437375898
2017-06-30,0.8902,251175090,-0.6354,559964205
2017-03-31,1.2563,86774250,-0.6668,821750621
2016-12-31,1.5203,1310231133,0.5995,1027040860
2016-09-30,1.6097,939525559,0.8145,921311654
2016-06-30,1.791,688983244,1.9009,1028659957
