date,流动资产合计,速动比率,长期负债合计,资产合计,有息负债率,资产负债率,负债合计,流动负债合计,流动比率,所有者权益合计
2026-03-31,0,0.3647,194018405594,522354780887,0.5475,0.7301,381369945896,572006011,0.4185,140984834991
2025-12-31,0,0.3611,192649844279,520151776851,0.5532,0.7345,382037891180,956631679,0.4184,138113885671
2025-09-30,3789322,0.432,208036006948,517828360038,0.5502,0.7333,379739497504,730415249,0.4951,138088862534
2025-06-30,0,0.4164,211789585275,510441286230,0.5538,0.7339,374620760467,469703438,0.4762,135820525763
2025-03-31,4931851,0.4002,212642483651,500279653869,0.5684,0.7305,365446834001,608661043,0.4653,134832819869
2024-12-31,230089609,0.4219,209211693129,493936293816,0.5614,0.734,362571546090,865338138,0.4988,131364747726
2024-09-30,498059596,0.4267,197490038240,479837002577,0.5686,0.7273,348988694593,578684871,0.5146,130848307984
2024-06-30,412613105,0.3977,190394906847,468803835295,0.5816,0.7287,341632542591,536480719,0.4806,127171292705
2024-03-31,639595826,0.4036,189548496784,468562553437,0.5938,0.7347,344236795417,788196848,0.4641,124325758020
2023-12-31,374184164,0.3496,175137974232,457899346872,0.5842,0.7392,338472615385,814690106,0.4103,119426731487
2023-09-30,373403541,0.3992,167180308538,440883284617,0.5686,0.7302,321954543531,689713450,0.4771,118928741086
2023-06-30,0,0.4253,159161883598,433493714305,0.56,0.7348,318550355722,353700182,0.5146,114943358583
2023-03-31,0,0.4529,156162944544,423071055687,0.5492,0.7335,310304912363,457975034,0.5529,112766143325
2022-12-31,0,0.4009,149640259388,412851885448,0.5475,0.7329,302580430730,702944011,0.489,110271454718
2022-09-30,0,0.4511,140160092185,405324564482,0.5122,0.7165,290411948564,677339093,0.5412,114912615918
2022-06-30,0,0.4098,143065987416,412433642576,0.5276,0.7226,298036737906,341555366,0.5016,114396904670
2022-03-31,0,0.3477,132378112571,401308393689,0.5194,0.7162,287435624601,396551670,0.438,113872769088
2021-12-31,0,0.3318,132019230311,397908818923,0.5216,0.7206,286736405211,680975825,0.421,111172413712
2021-09-30,0,0.3897,120311706131,381408308651,0.5033,0.6994,266772565581,468281442,0.4646,114635743070
2021-06-30,0,0.419,115418706340,345027844903,0.5153,0.6533,225392823284,379644412,0.4856,119635021618
2021-03-31,0,0.3896,110103460408,344392259179,0.4949,0.6487,223416431915,509990529,0.4447,120975827264
2020-12-31,0,0.3198,117201180203,357337353571,0.5141,0.6683,238799707078,457758180,0.3664,118537646494
2020-09-30,1451180,0.4714,126811263424,362038849836,0.4823,0.6673,241597499068,494157209,0.5494,120441350769
2020-06-30,0,0.3907,118399768108,362127944163,0.4929,0.6731,243730357791,425865427,0.4571,118397586372
2020-03-31,2237322,0.3847,121535813619,362574779362,0.4909,0.6724,243807276094,702113787,0.456,118767503268
2019-12-31,0,0.3345,121589033043,364847853109,0.506,0.6803,248199311913,0,0.3897,116648541196
2019-09-30,0,0.3782,124589623312,372485066102,0.4967,0.677,252190176653,0,0.4423,120294889449
2019-06-30,0,0.3295,122958371115,374133203294,0.5219,0.6837,255812619715,0,0.3859,118320583579
2019-03-31,0,0.3421,131794155786,373571320526,0.5011,0.6847,255774123894,0,0.4003,117797196633
2018-12-31,0,0.2112,103053094678,272511363708,0.5664,0.7384,201229046720,0,0.2546,71282316988
2018-09-30,0,0.3411,114607294561,279139994351,0.5609,0.7365,205598601905,0,0.3984,73541392446
2018-06-30,0,0.3105,115007916351,280672958743,0.5697,0.7408,207925758504,0,0.3601,72747200239
2018-03-31,0,0.2913,115962341414,279253474193,0.556,0.7347,205156301696,0,0.3356,74097172497
2017-12-31,0,0.2001,105591917802,274129925925,0.5548,0.7349,201471112450,0,0.2312,72658813476
2017-09-30,0,0.2315,106231404105,276680855505,0.5309,0.7325,202674331823,0,0.2686,74006523682
2017-06-30,0,0.2084,100906611573,274619205072,0.5229,0.7342,201633228247,0,0.2401,72985976824
2017-03-31,0,0.1967,94704297577,274106773459,0.5066,0.7246,198604295788,0,0.2262,75502477671
2016-12-31,0,0.146,91090866381,271266945475,0.4813,0.7266,197095385667,0,0.1755,74171559808
2016-09-30,0,0.2029,85622137811,255939690004,0.5013,0.7096,181605646696,0,0.23,74334043307
2016-06-30,0,0.2075,79926421515,255878647314,0.464,0.7088,181367719081,0,0.2276,74510928232
