date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元)
2026-05-06,33.3432,0.3577,143.7760,40.7224,25.0957,0.0036,1.1719,0.2842,2.6594,1.3502,1.1148,3.9608,0.4154,7.5178,4.5054,2.9016,918557654673.75
2026-04-30,34.0812,0.3577,143.7760,40.7224,25.0957,0.0035,1.1978,0.2842,2.6594,1.3502,1.1148,4.0485,0.4154,7.5178,4.5054,2.9016,938889005243.7
2026-04-29,34.8821,0.3577,143.7760,40.7224,25.0957,0.0034,1.2260,0.2842,2.6594,1.3502,1.1148,4.1436,0.4154,7.5178,4.5054,2.9016,960952623351.0
2026-04-28,28.3642,0.3577,143.7760,40.7224,25.0957,0.0035,1.1508,0.2842,2.6594,1.3502,1.1148,4.0661,0.4154,7.5178,4.5054,2.9016,925213208896.2
2026-04-27,28.6046,0.3577,143.7760,40.7224,25.0957,0.0035,1.1606,0.2842,2.6594,1.3502,1.1148,4.1006,0.4154,7.5178,4.5054,2.9016,933053998802.1
2026-04-24,27.7996,0.3577,143.7760,40.7224,25.0957,0.0036,1.1279,0.2842,2.6594,1.3502,1.1148,3.9852,0.4154,7.5178,4.5054,2.9016,906796469814.9
2026-04-23,27.9450,0.3577,143.7760,40.7224,25.0957,0.0036,1.1338,0.2842,2.6594,1.3502,1.1148,4.0060,0.4154,7.5178,4.5054,2.9016,911537412548.7
2026-04-22,28.4034,0.3577,143.7760,40.7224,25.0957,0.0035,1.1524,0.2842,2.6594,1.3502,1.1148,4.0718,0.4154,7.5178,4.5054,2.9016,926489616555.3
2026-04-21,28.3782,0.3577,143.7760,40.7224,25.0957,0.0035,1.1514,0.2842,2.6594,1.3502,1.1148,4.0681,0.4154,7.5178,4.5054,2.9016,925669068774.45
2026-04-20,28.7639,0.3577,143.7760,40.7224,25.0957,0.0035,1.1670,0.2842,2.6594,1.3502,1.1148,4.1234,0.4154,7.5178,4.5054,2.9016,938250801414.15
2026-04-17,29.0071,0.3577,143.7760,40.7224,25.0957,0.0034,1.1769,0.2842,2.6594,1.3502,1.1148,4.1583,0.4154,7.5178,4.5054,2.9016,946182763295.7
2026-04-16,29.4990,0.3577,143.7760,40.7224,25.0957,0.0034,1.1969,0.2842,2.6594,1.3502,1.1148,4.2288,0.4154,7.5178,4.5054,2.9016,962229031010.1
2026-04-15,28.7975,0.3577,143.7760,40.7224,25.0957,0.0035,1.1684,0.2842,2.6594,1.3502,1.1148,4.1283,0.4154,7.5178,4.5054,2.9016,939344865121.95
2026-04-14,29.0183,0.3577,143.7760,40.7224,25.0957,0.0034,1.1773,0.2842,2.6594,1.3502,1.1148,4.1599,0.4154,7.5178,4.5054,2.9016,946547451198.3
2026-04-13,29.1385,0.3577,143.7760,40.7224,25.0957,0.0034,1.1822,0.2842,2.6594,1.3502,1.1148,4.1771,0.4154,7.5178,4.5054,2.9016,950467846151.25
2026-04-10,28.4173,0.3577,143.7760,40.7224,25.0957,0.0035,1.1530,0.2842,2.6594,1.3502,1.1148,4.0738,0.4154,7.5178,4.5054,2.9016,926945476433.55
2026-04-09,27.6794,0.3577,143.7760,40.7224,25.0957,0.0036,1.1230,0.2842,2.6594,1.3502,1.1148,3.9680,0.4154,7.5178,4.5054,2.9016,902876074861.95
2026-04-08,28.2916,0.3577,143.7760,40.7224,25.0957,0.0035,1.1479,0.2842,2.6594,1.3502,1.1148,4.0557,0.4154,7.5178,4.5054,2.9016,922842737529.3
2026-04-07,27.3860,0.3577,143.7760,40.7224,25.0957,0.0037,1.1111,0.2842,2.6594,1.3502,1.1148,3.9259,0.4154,7.5178,4.5054,2.9016,893303017418.7001
2026-04-03,27.6738,0.3577,143.7760,40.7224,25.0957,0.0036,1.1228,0.2842,2.6594,1.3502,1.1148,3.9672,0.4154,7.5178,4.5054,2.9016,902693730910.65
2026-04-02,28.4117,0.3577,143.7760,40.7224,25.0957,0.0035,1.1527,0.2842,2.6594,1.3502,1.1148,4.0730,0.4154,7.5178,4.5054,2.9016,926763132482.25
2026-04-01,28.6912,0.3577,143.7760,40.7224,25.0957,0.0035,1.1641,0.2842,2.6594,1.3502,1.1148,4.1130,0.4154,7.5178,4.5054,2.9016,935880330047.25
2026-03-31,29.4180,0.3577,143.7760,40.7224,25.0957,0.0034,1.1936,0.2842,2.6594,1.3502,1.1148,4.2172,0.4154,7.5178,4.5054,2.9016,959585043716.25
2026-03-30,29.6416,0.3577,143.7760,40.7224,25.0957,0.0034,1.2026,0.2842,2.6594,1.3502,1.1148,4.2493,0.4154,7.5178,4.5054,2.9016,966878801768.25
2026-03-27,25.0341,0.3577,143.7760,40.7224,25.0957,0.0126,1.1414,0.2842,2.6594,1.3502,1.1148,4.3666,0.4154,7.5178,4.5054,2.9016,960040903594.5
2026-03-26,24.5205,0.3577,143.7760,40.7224,25.0957,0.0128,1.1180,0.2842,2.6594,1.3502,1.1148,4.2771,0.4154,7.5178,4.5054,2.9016,940347756854.1
2026-03-25,25.3431,0.3577,143.7760,40.7224,25.0957,0.0124,1.1555,0.2842,2.6594,1.3502,1.1148,4.4205,0.4154,7.5178,4.5054,2.9016,971893260429.0
2026-03-24,25.3526,0.3577,143.7760,40.7224,25.0957,0.0124,1.1559,0.2842,2.6594,1.3502,1.1148,4.4222,0.4154,7.5178,4.5054,2.9016,972257948331.6
2026-03-23,25.5880,0.3577,143.7760,40.7224,25.0957,0.0123,1.1666,0.2842,2.6594,1.3502,1.1148,4.4632,0.4154,7.5178,4.5054,2.9016,981283973920.95
2026-03-20,24.4944,0.3577,143.7760,40.7224,25.0957,0.0129,1.1168,0.2842,2.6594,1.3502,1.1148,4.2725,0.4154,7.5178,4.5054,2.9016,939344865121.95
2026-03-19,24.3232,0.3577,143.7760,40.7224,25.0957,0.0129,1.1090,0.2842,2.6594,1.3502,1.1148,4.2426,0.4154,7.5178,4.5054,2.9016,932780482875.15
2026-03-18,24.1758,0.3577,143.7760,40.7224,25.0957,0.0130,1.1023,0.2842,2.6594,1.3502,1.1148,4.2169,0.4154,7.5178,4.5054,2.9016,927127820384.85
2026-03-17,24.4563,0.3577,143.7760,40.7224,25.0957,0.0129,1.1150,0.2842,2.6594,1.3502,1.1148,4.2659,0.4154,7.5178,4.5054,2.9016,937886113511.55
2026-03-16,24.8724,0.3577,143.7760,40.7224,25.0957,0.0127,1.1340,0.2842,2.6594,1.3502,1.1148,4.3384,0.4154,7.5178,4.5054,2.9016,953841209250.3
2026-03-13,23.6956,0.3577,143.7760,40.7224,25.0957,0.0133,1.0804,0.2842,2.6594,1.3502,1.1148,4.1332,0.4154,7.5178,4.5054,2.9016,908711081303.55
2026-03-12,23.5601,0.3577,143.7760,40.7224,25.0957,0.0134,1.0742,0.2842,2.6594,1.3502,1.1148,4.1095,0.4154,7.5178,4.5054,2.9016,903514278691.5
2026-03-11,23.5886,0.3577,143.7760,40.7224,25.0957,0.0134,1.0755,0.2842,2.6594,1.3502,1.1148,4.1145,0.4154,7.5178,4.5054,2.9016,904608342399.3
2026-03-10,22.9657,0.3577,143.7760,40.7224,25.0957,0.0137,1.0471,0.2842,2.6594,1.3502,1.1148,4.0058,0.4154,7.5178,4.5054,2.9016,880721284779.0
2026-03-09,23.1844,0.3577,143.7760,40.7224,25.0957,0.0136,1.0571,0.2842,2.6594,1.3502,1.1148,4.0440,0.4154,7.5178,4.5054,2.9016,889109106538.7999
2026-03-06,22.2572,0.3577,143.7760,40.7224,25.0957,0.0141,1.0148,0.2842,2.6594,1.3502,1.1148,3.8823,0.4154,7.5178,4.5054,2.9016,853552036035.3
2026-03-05,22.4593,0.3577,143.7760,40.7224,25.0957,0.0140,1.0240,0.2842,2.6594,1.3502,1.1148,3.9175,0.4154,7.5178,4.5054,2.9016,861301653965.55
2026-03-04,22.8207,0.3577,143.7760,40.7224,25.0957,0.0138,1.0405,0.2842,2.6594,1.3502,1.1148,3.9806,0.4154,7.5178,4.5054,2.9016,875159794264.35
2026-03-03,22.6353,0.3577,143.7760,40.7224,25.0957,0.0139,1.0320,0.2842,2.6594,1.3502,1.1148,3.9482,0.4154,7.5178,4.5054,2.9016,868048380163.6499
2026-03-02,23.0109,0.3577,143.7760,40.7224,25.0957,0.0137,1.0491,0.2842,2.6594,1.3502,1.1148,4.0137,0.4154,7.5178,4.5054,2.9016,882453552316.3501
2026-02-27,21.2350,0.3577,143.7760,40.7224,25.0957,0.0148,0.9682,0.2842,2.6594,1.3502,1.1148,3.7040,0.4154,7.5178,4.5054,2.9016,814348086505.7999
2026-02-26,21.3610,0.3577,143.7760,40.7224,25.0957,0.0147,0.9739,0.2842,2.6594,1.3502,1.1148,3.7259,0.4154,7.5178,4.5054,2.9016,819180201215.25
2026-02-25,21.7413,0.3577,143.7760,40.7224,25.0957,0.0145,0.9913,0.2842,2.6594,1.3502,1.1148,3.7923,0.4154,7.5178,4.5054,2.9016,833767717319.25
2026-02-24,21.6035,0.3577,143.7760,40.7224,25.0957,0.0146,0.9850,0.2842,2.6594,1.3502,1.1148,3.7682,0.4154,7.5178,4.5054,2.9016,828479742731.55
2026-02-13,21.4608,0.3577,143.7760,40.7224,25.0957,0.0147,0.9785,0.2842,2.6594,1.3502,1.1148,3.7434,0.4154,7.5178,4.5054,2.9016,823009424192.5499
2026-02-12,21.6724,0.3577,143.7760,40.7224,25.0957,0.0145,0.9881,0.2842,2.6594,1.3502,1.1148,3.7803,0.4154,7.5178,4.5054,2.9016,831123730025.4
2026-02-11,21.9387,0.3577,143.7760,40.7224,25.0957,0.0144,1.0003,0.2842,2.6594,1.3502,1.1148,3.8267,0.4154,7.5178,4.5054,2.9016,841334991298.2
2026-02-10,21.5892,0.3577,143.7760,40.7224,25.0957,0.0146,0.9843,0.2842,2.6594,1.3502,1.1148,3.7657,0.4154,7.5178,4.5054,2.9016,827932710877.65
2026-02-09,21.4109,0.3577,143.7760,40.7224,25.0957,0.0147,0.9762,0.2842,2.6594,1.3502,1.1148,3.7346,0.4154,7.5178,4.5054,2.9016,821094812703.9
2026-02-06,21.3538,0.3577,143.7760,40.7224,25.0957,0.0147,0.9736,0.2842,2.6594,1.3502,1.1148,3.7247,0.4154,7.5178,4.5054,2.9016,818906685288.2999
2026-02-05,21.4228,0.3577,143.7760,40.7224,25.0957,0.0147,0.9767,0.2842,2.6594,1.3502,1.1148,3.7367,0.4154,7.5178,4.5054,2.9016,821550672582.15
2026-02-04,21.1922,0.3577,143.7760,40.7224,25.0957,0.0149,0.9662,0.2842,2.6594,1.3502,1.1148,3.6965,0.4154,7.5178,4.5054,2.9016,812706990944.1
2026-02-03,20.7714,0.3577,143.7760,40.7224,25.0957,0.0152,0.9470,0.2842,2.6594,1.3502,1.1148,3.6231,0.4154,7.5178,4.5054,2.9016,796569551254.05
2026-02-02,20.6953,0.3577,143.7760,40.7224,25.0957,0.0152,0.9436,0.2842,2.6594,1.3502,1.1148,3.6098,0.4154,7.5178,4.5054,2.9016,793652048033.25
2026-01-30,21.6082,0.3577,143.7760,40.7224,25.0957,0.0146,0.9852,0.2842,2.6594,1.3502,1.1148,3.7691,0.4154,7.5178,4.5054,2.9016,828662086682.85
2026-01-29,21.9458,0.3577,143.7760,40.7224,25.0957,0.0144,1.0006,0.2842,2.6594,1.3502,1.1148,3.8279,0.4154,7.5178,4.5054,2.9016,841608507225.15
2026-01-28,22.1907,0.3577,143.7760,40.7224,25.0957,0.0142,1.0117,0.2842,2.6594,1.3502,1.1148,3.8707,0.4154,7.5178,4.5054,2.9016,850999220717.1
2026-01-27,21.8269,0.3577,143.7760,40.7224,25.0957,0.0144,0.9952,0.2842,2.6594,1.3502,1.1148,3.8072,0.4154,7.5178,4.5054,2.9016,837049908442.65
2026-01-26,22.0219,0.3577,143.7760,40.7224,25.0957,0.0143,1.0041,0.2842,2.6594,1.3502,1.1148,3.8412,0.4154,7.5178,4.5054,2.9016,844526010445.95
2026-01-23,22.2644,0.3577,143.7760,40.7224,25.0957,0.0141,1.0151,0.2842,2.6594,1.3502,1.1148,3.8835,0.4154,7.5178,4.5054,2.9016,853825551962.25
2026-01-22,22.3761,0.3577,143.7760,40.7224,25.0957,0.0141,1.0202,0.2842,2.6594,1.3502,1.1148,3.9030,0.4154,7.5178,4.5054,2.9016,858110634817.8
2026-01-21,22.3714,0.3577,143.7760,40.7224,25.0957,0.0141,1.0200,0.2842,2.6594,1.3502,1.1148,3.9022,0.4154,7.5178,4.5054,2.9016,857928290866.5
2026-01-20,22.5235,0.3577,143.7760,40.7224,25.0957,0.0140,1.0269,0.2842,2.6594,1.3502,1.1148,3.9287,0.4154,7.5178,4.5054,2.9016,863763297308.1
2026-01-19,22.8682,0.3577,143.7760,40.7224,25.0957,0.0138,1.0426,0.2842,2.6594,1.3502,1.1148,3.9888,0.4154,7.5178,4.5054,2.9016,876983233777.35
2026-01-16,22.7898,0.3577,143.7760,40.7224,25.0957,0.0138,1.0391,0.2842,2.6594,1.3502,1.1148,3.9752,0.4154,7.5178,4.5054,2.9016,873974558580.9
2026-01-15,22.7446,0.3577,143.7760,40.7224,25.0957,0.0138,1.0370,0.2842,2.6594,1.3502,1.1148,3.9673,0.4154,7.5178,4.5054,2.9016,872242291043.55
2026-01-14,22.8468,0.3577,143.7760,40.7224,25.0957,0.0138,1.0417,0.2842,2.6594,1.3502,1.1148,3.9851,0.4154,7.5178,4.5054,2.9016,876162685996.5
2026-01-13,23.1060,0.3577,143.7760,40.7224,25.0957,0.0136,1.0535,0.2842,2.6594,1.3502,1.1148,4.0303,0.4154,7.5178,4.5054,2.9016,886100431342.35
2026-01-12,23.1725,0.3577,143.7760,40.7224,25.0957,0.0136,1.0565,0.2842,2.6594,1.3502,1.1148,4.0419,0.4154,7.5178,4.5054,2.9016,888653246660.55
2026-01-09,23.0632,0.3577,143.7760,40.7224,25.0957,0.0137,1.0515,0.2842,2.6594,1.3502,1.1148,4.0229,0.4154,7.5178,4.5054,2.9016,884459335780.65
2026-01-08,23.0323,0.3577,143.7760,40.7224,25.0957,0.0137,1.0501,0.2842,2.6594,1.3502,1.1148,4.0175,0.4154,7.5178,4.5054,2.9016,883274100097.2
2026-01-07,23.2035,0.3577,143.7760,40.7224,25.0957,0.0136,1.0579,0.2842,2.6594,1.3502,1.1148,4.0473,0.4154,7.5178,4.5054,2.9016,889838482344.0
2026-01-06,23.7716,0.3577,143.7760,40.7224,25.0957,0.0132,1.0838,0.2842,2.6594,1.3502,1.1148,4.1464,0.4154,7.5178,4.5054,2.9016,911628584524.35
2026-01-05,23.3247,0.3577,143.7760,40.7224,25.0957,0.0135,1.0635,0.2842,2.6594,1.3502,1.1148,4.0685,0.4154,7.5178,4.5054,2.9016,894488253102.15
2025-12-31,23.2320,0.3577,143.7760,40.7224,25.0957,0.0136,1.0592,0.2842,2.6594,1.3502,1.1148,4.0523,0.4154,7.5178,4.5054,2.9016,890932546051.8
2025-12-30,23.7146,0.3577,143.7760,40.7224,25.0957,0.0133,1.0812,0.2842,2.6594,1.3502,1.1148,4.1365,0.4154,7.5178,4.5054,2.9016,909440457108.75
2025-12-29,23.8240,0.3577,143.7760,40.7224,25.0957,0.0132,1.0862,0.2842,2.6594,1.3502,1.1148,4.1555,0.4154,7.5178,4.5054,2.9016,913634367988.65
2025-12-26,23.7764,0.3577,143.7760,40.7224,25.0957,0.0132,1.0840,0.2842,2.6594,1.3502,1.1148,4.1473,0.4154,7.5178,4.5054,2.9016,911810928475.65
2025-12-25,22.5473,0.3577,143.7760,40.7224,25.0957,0.0140,1.0280,0.2842,2.6594,1.3502,1.1148,3.9329,0.4154,7.5178,4.5054,2.9016,864675017064.6
2025-12-24,22.4474,0.3577,143.7760,40.7224,25.0957,0.0140,1.0235,0.2842,2.6594,1.3502,1.1148,3.9154,0.4154,7.5178,4.5054,2.9016,860845794087.3
2025-12-23,22.5402,0.3577,143.7760,40.7224,25.0957,0.0140,1.0277,0.2842,2.6594,1.3502,1.1148,3.9316,0.4154,7.5178,4.5054,2.9016,864401501137.65
2025-12-22,22.4355,0.3577,143.7760,40.7224,25.0957,0.0140,1.0229,0.2842,2.6594,1.3502,1.1148,3.9134,0.4154,7.5178,4.5054,2.9016,860389934209.05
2025-12-19,22.4023,0.3577,143.7760,40.7224,25.0957,0.0141,1.0214,0.2842,2.6594,1.3502,1.1148,3.9076,0.4154,7.5178,4.5054,2.9016,859113526549.9501
2025-12-18,22.2358,0.3577,143.7760,40.7224,25.0957,0.0142,1.0138,0.2842,2.6594,1.3502,1.1148,3.8785,0.4154,7.5178,4.5054,2.9016,852731488254.45
2025-12-17,22.6353,0.3577,143.7760,40.7224,25.0957,0.0139,1.0320,0.2842,2.6594,1.3502,1.1148,3.9482,0.4154,7.5178,4.5054,2.9016,868048380163.6499
2025-12-16,22.4070,0.3577,143.7760,40.7224,25.0957,0.0141,1.0216,0.2842,2.6594,1.3502,1.1148,3.9084,0.4154,7.5178,4.5054,2.9016,859295870501.25
2025-12-15,22.7113,0.3577,143.7760,40.7224,25.0957,0.0139,1.0355,0.2842,2.6594,1.3502,1.1148,3.9615,0.4154,7.5178,4.5054,2.9016,870965883384.45
2025-12-12,23.0608,0.3577,143.7760,40.7224,25.0957,0.0137,1.0514,0.2842,2.6594,1.3502,1.1148,4.0224,0.4154,7.5178,4.5054,2.9016,884368163805.0
2025-12-11,22.8777,0.3577,143.7760,40.7224,25.0957,0.0138,1.0431,0.2842,2.6594,1.3502,1.1148,3.9905,0.4154,7.5178,4.5054,2.9016,877347921679.9501
2025-12-10,22.9348,0.3577,143.7760,40.7224,25.0957,0.0137,1.0457,0.2842,2.6594,1.3502,1.1148,4.0005,0.4154,7.5178,4.5054,2.9016,879536049095.55
2025-12-09,22.8302,0.3577,143.7760,40.7224,25.0957,0.0138,1.0409,0.2842,2.6594,1.3502,1.1148,3.9822,0.4154,7.5178,4.5054,2.9016,875524482166.95
2025-12-08,22.9491,0.3577,143.7760,40.7224,25.0957,0.0137,1.0463,0.2842,2.6594,1.3502,1.1148,4.0029,0.4154,7.5178,4.5054,2.9016,880083080949.45
2025-12-05,22.8183,0.3577,143.7760,40.7224,25.0957,0.0138,1.0404,0.2842,2.6594,1.3502,1.1148,3.9801,0.4154,7.5178,4.5054,2.9016,875068622288.7001
2025-12-04,22.6424,0.3577,143.7760,40.7224,25.0957,0.0139,1.0323,0.2842,2.6594,1.3502,1.1148,3.9495,0.4154,7.5178,4.5054,2.9016,868321896090.6
2025-12-03,22.5972,0.3577,143.7760,40.7224,25.0957,0.0139,1.0303,0.2842,2.6594,1.3502,1.1148,3.9416,0.4154,7.5178,4.5054,2.9016,866589628553.25
2025-12-02,22.9705,0.3577,143.7760,40.7224,25.0957,0.0137,1.0473,0.2842,2.6594,1.3502,1.1148,4.0067,0.4154,7.5178,4.5054,2.9016,880903628730.3
2025-12-01,22.7684,0.3577,143.7760,40.7224,25.0957,0.0138,1.0381,0.2842,2.6594,1.3502,1.1148,3.9714,0.4154,7.5178,4.5054,2.9016,873154010800.0499
2025-11-28,22.6257,0.3577,143.7760,40.7224,25.0957,0.0139,1.0316,0.2842,2.6594,1.3502,1.1148,3.9465,0.4154,7.5178,4.5054,2.9016,867683692261.05
2025-11-27,22.4165,0.3577,143.7760,40.7224,25.0957,0.0140,1.0220,0.2842,2.6594,1.3502,1.1148,3.9101,0.4154,7.5178,4.5054,2.9016,859660558403.8501
2025-11-26,22.6067,0.3577,143.7760,40.7224,25.0957,0.0139,1.0307,0.2842,2.6594,1.3502,1.1148,3.9432,0.4154,7.5178,4.5054,2.9016,866954316455.85
2025-11-25,22.3262,0.3577,143.7760,40.7224,25.0957,0.0141,1.0179,0.2842,2.6594,1.3502,1.1148,3.8943,0.4154,7.5178,4.5054,2.9016,856196023329.15
2025-11-24,22.3309,0.3577,143.7760,40.7224,25.0957,0.0141,1.0181,0.2842,2.6594,1.3502,1.1148,3.8951,0.4154,7.5178,4.5054,2.9016,856378367280.4501
2025-11-21,22.0385,0.3577,143.7760,40.7224,25.0957,0.0143,1.0048,0.2842,2.6594,1.3502,1.1148,3.8441,0.4154,7.5178,4.5054,2.9016,845164214275.5
2025-11-20,22.2549,0.3577,143.7760,40.7224,25.0957,0.0142,1.0147,0.2842,2.6594,1.3502,1.1148,3.8819,0.4154,7.5178,4.5054,2.9016,853460864059.65
2025-11-19,22.6257,0.3577,143.7760,40.7224,25.0957,0.0139,1.0316,0.2842,2.6594,1.3502,1.1148,3.9465,0.4154,7.5178,4.5054,2.9016,867683692261.05
2025-11-18,22.9396,0.3577,143.7760,40.7224,25.0957,0.0137,1.0459,0.2842,2.6594,1.3502,1.1148,4.0013,0.4154,7.5178,4.5054,2.9016,879718393046.85
2025-11-17,23.3176,0.3577,143.7760,40.7224,25.0957,0.0135,1.0631,0.2842,2.6594,1.3502,1.1148,4.0672,0.4154,7.5178,4.5054,2.9016,894214737175.2
2025-11-14,23.3865,0.3577,143.7760,40.7224,25.0957,0.0135,1.0663,0.2842,2.6594,1.3502,1.1148,4.0792,0.4154,7.5178,4.5054,2.9016,896858724469.05
2025-11-13,23.7336,0.3577,143.7760,40.7224,25.0957,0.0133,1.0821,0.2842,2.6594,1.3502,1.1148,4.1398,0.4154,7.5178,4.5054,2.9016,910169832913.95
2025-11-12,23.2439,0.3577,143.7760,40.7224,25.0957,0.0135,1.0598,0.2842,2.6594,1.3502,1.1148,4.0544,0.4154,7.5178,4.5054,2.9016,891388405930.0499
2025-11-11,23.4673,0.3577,143.7760,40.7224,25.0957,0.0134,1.0700,0.2842,2.6594,1.3502,1.1148,4.0933,0.4154,7.5178,4.5054,2.9016,899958571641.1499
2025-11-10,23.6290,0.3577,143.7760,40.7224,25.0957,0.0133,1.0773,0.2842,2.6594,1.3502,1.1148,4.1215,0.4154,7.5178,4.5054,2.9016,906158265985.35
2025-11-07,23.1084,0.3577,143.7760,40.7224,25.0957,0.0136,1.0536,0.2842,2.6594,1.3502,1.1148,4.0307,0.4154,7.5178,4.5054,2.9016,886191603318.0
2025-11-06,23.1844,0.3577,143.7760,40.7224,25.0957,0.0136,1.0571,0.2842,2.6594,1.3502,1.1148,4.0440,0.4154,7.5178,4.5054,2.9016,889109106538.7999
2025-11-05,22.7755,0.3577,143.7760,40.7224,25.0957,0.0138,1.0384,0.2842,2.6594,1.3502,1.1148,3.9727,0.4154,7.5178,4.5054,2.9016,873427526727.0
2025-11-04,23.2510,0.3577,143.7760,40.7224,25.0957,0.0135,1.0601,0.2842,2.6594,1.3502,1.1148,4.0556,0.4154,7.5178,4.5054,2.9016,891661921857.0
2025-11-03,23.6789,0.3577,143.7760,40.7224,25.0957,0.0133,1.0796,0.2842,2.6594,1.3502,1.1148,4.1303,0.4154,7.5178,4.5054,2.9016,908072877474.0
2025-10-31,23.9618,0.3577,143.7760,40.7224,25.0957,0.0131,1.0925,0.2842,2.6594,1.3502,1.1148,4.1796,0.4154,7.5178,4.5054,2.9016,918922342576.35
2025-10-30,22.4199,0.3577,143.7760,40.7224,25.0957,0.0128,1.1149,0.2842,2.6594,1.3502,1.1148,4.7618,0.4154,7.5178,4.5054,2.9016,944632839709.65
