date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2025-12-31,436390000000,451457000000,0.0099,2.9873
2025-09-30,322518000000,176134000000,-0.3868,2.2386
2025-06-30,461140000000,134461000000,0.2429,3.1641
2025-03-31,523502000000,95026000000,79.6639,3.6551
2024-12-31,422850000000,447023000000,0.2495,2.9889
2024-09-30,574056000000,287233000000,4.354,4.0207
2024-06-30,348041000000,108180000000,0.1466,2.5287
2024-03-31,346582000000,-1208000000,0.9043,2.5075
2023-12-31,332542000000,357753000000,-0.3725,2.4172
2023-09-30,450307000000,53648000000,-0.6338,3.2628
2023-06-30,513646000000,94352000000,-0.2777,3.6635
2023-03-31,524159000000,-12618000000,-3.2731,3.8814
2022-12-31,542001000000,570143000000,2.1318,4.0931
2022-09-30,223352000000,146494000000,0.7782,1.8308
2022-06-30,278754000000,130624000000,19.6618,2.3714
2022-03-31,192907000000,5551000000,1.1714,1.7614
2021-12-31,160287000000,182048000000,-0.5679,1.5066
2021-09-30,254674000000,82382000000,-0.6252,2.4633
2021-06-30,146537000000,6322000000,-0.9751,1.5831
2021-03-31,279821000000,-32388000000,-1.3716,2.9514
2020-12-31,402203000000,421328000000,94.065,4.3011
2020-09-30,264004000000,219828000000,5.0912,2.9978
2020-06-30,293387000000,254254000000,5.6209,3.3862
2020-03-31,246153000000,87147000000,1.5048,2.7555
2019-12-31,-14469000000,4432000000,1.1241,0.0474
2019-09-30,66475000000,-53732000000,0.6924,0.9367
2019-06-30,-39556000000,-55023000000,0.1615,-0.2894
2019-03-31,-166299000000,-172622000000,-2.2175,-1.8502
2018-12-31,-51040000000,-35721000000,-5.3111,-0.442
2018-09-30,-6063000000,-174705000000,0.0933,0.1557
2018-06-30,-33519000000,-65624000000,-0.1745,-0.2026
2018-03-31,135319000000,-53651000000,0.7497,2.1165
2017-12-31,-21996000000,-5660000000,0.9531,-0.0801
2017-09-30,26372000000,-192675000000,0.4639,0.666
2017-06-30,102819000000,-55876000000,0.8139,1.8618
2017-03-31,-67038000000,-214350000000,0.2532,-0.7482
2016-12-31,-138119000000,-120615000000,-1.3012,-1.9336
2016-09-30,-148026000000,-359376000000,-3.0412,-2.1927
2016-06-30,-228550000000,-300326000000,-1.9348,-3.6753
