date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-30,14.3719,0.0408,28.3232,23.7154,19.1654,0.0503,1.4753,0.1806,2.3297,1.9290,1.4918,2.9149,0.0104,7.4550,5.2997,3.3720
2026-04-29,20.9806,0.3181,28.3303,23.7239,19.1654,0.0640,1.4327,0.1332,2.3303,1.9299,1.4918,3.1547,0.0683,7.4552,5.3001,3.3720
2026-04-28,20.1278,0.2498,28.3303,23.7239,19.1654,0.0667,1.3745,0.0799,2.3303,1.9299,1.4924,3.0265,0.0200,7.4552,5.3001,3.3720
2026-04-27,19.9383,0.2336,28.3303,23.7239,19.1654,0.0673,1.3616,0.0687,2.3303,1.9299,1.4924,2.9980,0.0142,7.4552,5.3001,3.3732
2026-04-24,19.9383,0.2346,28.3232,23.7068,19.1529,0.0673,1.3616,0.0686,2.3297,1.9280,1.4918,2.9980,0.0141,7.4550,5.2994,3.3739
2026-04-23,19.9541,0.2364,28.3232,23.7154,19.1529,0.0673,1.3626,0.0687,2.3297,1.9290,1.4924,3.0003,0.0141,7.4550,5.2997,3.3744
2026-04-22,19.9699,0.2381,28.3303,23.7239,19.1516,0.0672,1.3637,0.0687,2.3303,1.9299,1.4924,3.0027,0.0146,7.4552,5.3001,3.3744
2026-04-21,20.1831,0.2552,28.3303,23.7239,19.1405,0.0665,1.3783,0.0820,2.3303,1.9299,1.4924,3.0348,0.0200,7.4552,5.3001,3.3757
2026-04-20,20.1436,0.2527,28.3303,23.7239,19.1387,0.0666,1.3756,0.0799,2.3303,1.9299,1.4924,3.0288,0.0192,7.4552,5.3001,3.3758
2026-04-17,20.0488,0.2450,28.3232,23.7068,19.1157,0.0670,1.3691,0.0732,2.3297,1.9280,1.4918,3.0146,0.0162,7.4550,5.2994,3.3784
2026-04-16,20.2147,0.2580,28.3232,23.7154,19.1157,0.0664,1.3804,0.0820,2.3297,1.9290,1.4924,3.0395,0.0191,7.4550,5.2997,3.3793
2026-04-15,20.2857,0.2677,28.3303,23.7239,19.1157,0.0662,1.3853,0.0858,2.3303,1.9299,1.4924,3.0502,0.0221,7.4552,5.3001,3.3793
2026-04-14,20.5226,0.2877,28.3303,23.7239,19.1119,0.0654,1.4015,0.0966,2.3303,1.9299,1.4924,3.0858,0.0316,7.4552,5.3001,3.3799
2026-04-13,20.4989,0.2864,28.3303,23.7239,19.1119,0.0655,1.3998,0.0958,2.3303,1.9299,1.4924,3.0823,0.0304,7.4552,5.3001,3.3805
2026-04-10,20.6411,0.2970,28.3232,23.7068,19.0908,0.0650,1.4095,0.1032,2.3297,1.9280,1.4918,3.1036,0.0387,7.4550,5.2994,3.3841
2026-04-09,20.6253,0.2946,28.3232,23.7154,19.0908,0.0651,1.4085,0.1020,2.3297,1.9290,1.4924,3.1013,0.0362,7.4550,5.2997,3.3848
2026-04-08,20.8780,0.3135,28.3303,23.7239,19.0849,0.0643,1.4257,0.1220,2.3303,1.9299,1.4924,3.1393,0.0541,7.4552,5.3001,3.3848
2026-04-07,20.7911,0.3052,28.3303,23.7239,19.0849,0.0646,1.4198,0.1128,2.3303,1.9299,1.4924,3.1262,0.0475,7.4552,5.3001,3.3886
