date,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-21,3.0348,0.0200,7.4552,5.3001,3.3757,20.1831,0.2552,28.3303,23.7239,19.1405,21.2587,0.1894,31.0679,26.6734,21.5784,3.1737,0.0108,7.5357,5.4786,3.6786,0.0665,1.3783,0.0820,2.3303,1.9299,1.4924
2026-04-20,3.0288,0.0200,7.4552,5.3001,3.3757,20.1436,0.2552,28.3303,23.7239,19.1405,21.2171,0.1894,31.0679,26.6734,21.5784,3.1675,0.0108,7.5357,5.4786,3.6786,0.0666,1.3756,0.0820,2.3303,1.9299,1.4924
2026-04-17,3.0146,0.0200,7.4552,5.3001,3.3757,20.0488,0.2552,28.3303,23.7239,19.1405,21.1173,0.1894,31.0679,26.6734,21.5784,3.1526,0.0108,7.5357,5.4786,3.6786,0.0670,1.3691,0.0820,2.3303,1.9299,1.4924
2026-04-16,3.0395,0.0200,7.4552,5.3001,3.3757,20.2147,0.2552,28.3303,23.7239,19.1405,21.2919,0.1894,31.0679,26.6734,21.5784,3.1787,0.0108,7.5357,5.4786,3.6786,0.0664,1.3804,0.0820,2.3303,1.9299,1.4924
2026-04-15,3.0502,0.0200,7.4552,5.3001,3.3757,20.2857,0.2552,28.3303,23.7239,19.1405,21.3668,0.1894,31.0679,26.6734,21.5784,3.1899,0.0108,7.5357,5.4786,3.6786,0.0662,1.3853,0.0820,2.3303,1.9299,1.4924
2026-04-14,3.0858,0.0200,7.4552,5.3001,3.3757,20.5226,0.2552,28.3303,23.7239,19.1405,21.6163,0.1894,31.0679,26.6734,21.5784,3.2271,0.0108,7.5357,5.4786,3.6786,0.0654,1.4015,0.0820,2.3303,1.9299,1.4924
2026-04-13,3.0823,0.0200,7.4552,5.3001,3.3757,20.4989,0.2552,28.3303,23.7239,19.1405,21.5914,0.1894,31.0679,26.6734,21.5784,3.2234,0.0108,7.5357,5.4786,3.6786,0.0655,1.3998,0.0820,2.3303,1.9299,1.4924
2026-04-10,3.1036,0.0200,7.4552,5.3001,3.3757,20.6411,0.2552,28.3303,23.7239,19.1405,21.7411,0.1894,31.0679,26.6734,21.5784,3.2458,0.0108,7.5357,5.4786,3.6786,0.0650,1.4095,0.0820,2.3303,1.9299,1.4924
2026-04-09,3.1013,0.0200,7.4552,5.3001,3.3757,20.6253,0.2552,28.3303,23.7239,19.1405,21.7244,0.1894,31.0679,26.6734,21.5784,3.2433,0.0108,7.5357,5.4786,3.6786,0.0651,1.4085,0.0820,2.3303,1.9299,1.4924
2026-04-08,3.1393,0.0200,7.4552,5.3001,3.3757,20.8780,0.2552,28.3303,23.7239,19.1405,21.9906,0.1894,31.0679,26.6734,21.5784,3.2830,0.0108,7.5357,5.4786,3.6786,0.0643,1.4257,0.0820,2.3303,1.9299,1.4924
2026-04-07,3.1262,0.0200,7.4552,5.3001,3.3757,20.7911,0.2552,28.3303,23.7239,19.1405,21.8991,0.1894,31.0679,26.6734,21.5784,3.2694,0.0108,7.5357,5.4786,3.6786,0.0646,1.4198,0.0820,2.3303,1.9299,1.4924
2026-04-03,3.1238,0.0200,7.4552,5.3001,3.3757,20.7753,0.2552,28.3303,23.7239,19.1405,21.8825,0.1894,31.0679,26.6734,21.5784,3.2669,0.0108,7.5357,5.4786,3.6786,0.0646,1.4187,0.0820,2.3303,1.9299,1.4924
2026-04-02,3.1381,0.0200,7.4552,5.3001,3.3757,20.8701,0.2552,28.3303,23.7239,19.1405,21.9823,0.1894,31.0679,26.6734,21.5784,3.2818,0.0108,7.5357,5.4786,3.6786,0.0643,1.4252,0.0820,2.3303,1.9299,1.4924
2026-04-01,3.1262,0.0200,7.4552,5.3001,3.3757,20.7911,0.2552,28.3303,23.7239,19.1405,21.8991,0.1894,31.0679,26.6734,21.5784,3.2694,0.0108,7.5357,5.4786,3.6786,0.0646,1.4198,0.0820,2.3303,1.9299,1.4924
2026-03-31,3.1286,0.0200,7.4552,5.3001,3.3757,20.8069,0.2552,28.3303,23.7239,19.1405,21.9157,0.1894,31.0679,26.6734,21.5784,3.2718,0.0108,7.5357,5.4786,3.6786,0.0645,1.4209,0.0820,2.3303,1.9299,1.4924
2026-03-30,3.1345,0.0200,7.4552,5.3001,3.3757,20.8464,0.2552,28.3303,23.7239,19.1405,21.9573,0.1894,31.0679,26.6734,21.5784,3.2780,0.0108,7.5357,5.4786,3.6786,0.0644,1.4236,0.0820,2.3303,1.9299,1.4924
2026-03-27,3.1060,0.0200,7.4552,5.3001,3.3757,20.6569,0.2552,28.3303,23.7239,19.1405,21.7577,0.1894,31.0679,26.6734,21.5784,3.2482,0.0108,7.5357,5.4786,3.6786,0.0650,1.4106,0.0820,2.3303,1.9299,1.4924
2026-03-26,3.0811,0.0200,7.4552,5.3001,3.3757,20.4910,0.2552,28.3303,23.7239,19.1405,21.5830,0.1894,31.0679,26.6734,21.5784,3.2222,0.0108,7.5357,5.4786,3.6786,0.0655,1.3993,0.0820,2.3303,1.9299,1.4924
2026-03-25,3.0728,0.0200,7.4552,5.3001,3.3757,20.4358,0.2552,28.3303,23.7239,19.1405,21.5248,0.1894,31.0679,26.6734,21.5784,3.2135,0.0108,7.5357,5.4786,3.6786,0.0657,1.3955,0.0820,2.3303,1.9299,1.4924
2026-03-24,3.0514,0.0200,7.4552,5.3001,3.3757,20.2936,0.2552,28.3303,23.7239,19.1405,21.3751,0.1894,31.0679,26.6734,21.5784,3.1911,0.0108,7.5357,5.4786,3.6786,0.0661,1.3858,0.0820,2.3303,1.9299,1.4924
2026-03-23,3.0265,0.0200,7.4552,5.3001,3.3757,20.1278,0.2552,28.3303,23.7239,19.1405,21.2005,0.1894,31.0679,26.6734,21.5784,3.1651,0.0108,7.5357,5.4786,3.6786,0.0667,1.3745,0.0820,2.3303,1.9299,1.4924
