date,毛利率(GM),净利润率,净资产收益率(ROE),总资产收益率(ROA)
2025-12-31,0.8621,0.244,0.1431,0.1286
2025-09-30,0.8641,0.2414,0.1434,0.1282
2025-06-30,0.8643,0.2443,0.1441,0.1326
2025-03-31,0.8639,0.2345,0.1522,0.1402
2024-12-31,0.8625,0.2264,0.1455,0.1349
2024-09-30,0.8576,0.2094,0.1288,0.1194
2024-06-30,0.8563,0.2145,0.1311,0.1202
2024-03-31,0.8453,0.1891,0.1077,0.0996
2023-12-31,0.8455,0.1875,0.1077,0.0993
2023-09-30,0.8445,0.1866,0.1076,0.1004
2023-06-30,0.8394,0.1817,0.1061,0.0976
2023-03-31,0.836,0.1804,0.1007,0.0935
2022-12-31,0.8361,0.1793,0.1031,0.0935
2022-09-30,0.8299,0.1565,0.0939,0.0856
2022-06-30,0.839,0.1703,0.1111,0.1001
2022-03-31,0.8492,0.1716,0.1212,0.1105
2021-12-31,0.8556,0.1731,0.1351,0.1212
2021-09-30,0.8705,0.2194,0.198,0.1751
2021-06-30,0.8742,0.2126,0.2103,0.1895
2021-03-31,0.8793,0.2231,0.2213,0.199
2020-12-31,0.8793,0.2275,0.2264,0.2026
2020-09-30,0.8787,0.2266,0.2259,0.1996
2020-06-30,0.8803,0.2265,0.2293,0.2058
2020-03-31,0.8752,0.228,0.2326,0.2078
2019-12-31,0.8749,0.2287,0.2381,0.2134
2019-09-30,0.8708,0.221,0.2311,0.2071
2019-06-30,0.8664,0.2302,0.2293,0.2037
2019-03-31,0.8657,0.2311,0.2284,0.2035
2018-12-31,0.866,0.2332,0.2273,0.201
2018-09-30,0.8661,0.238,0.2297,0.2069
2018-06-30,0.8664,0.2389,0.2287,0.2036
2018-03-31,0.8655,0.2381,0.2255,0.2022
2017-12-31,0.8663,0.238,0.2285,0.2035
2017-09-30,0.868,0.2383,0.2263,0.2038
2017-06-30,0.8699,0.2391,0.2264,0.2043
2017-03-31,0.8732,0.2379,0.223,0.2006
2016-12-31,0.8707,0.2374,0.2268,0.204
2016-09-30,0.8666,0.2394,0.2332,0.2091
2016-06-30,0.8638,0.2408,0.2366,0.2141
