date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-30,25.5412,0.3147,108.6467,39.2764,22.8397,0.0180,4.3090,0.4365,10.7641,4.5658,2.9050,6.1969,0.5787,10.8132,5.7185,4.6549
2026-04-29,25.7167,0.3217,108.8614,39.2829,22.8145,0.0179,4.3386,0.4446,10.7662,4.5671,2.9028,6.2395,0.5832,10.8607,5.7182,4.6542
2026-04-28,24.7152,0.2789,108.8614,39.3077,22.8145,0.0186,4.1696,0.4103,10.7662,4.5672,2.9028,5.9965,0.5510,10.8607,5.7101,4.6542
2026-04-27,25.1319,0.2963,108.8614,39.3325,22.8145,0.0183,4.2399,0.4225,10.7662,4.5673,2.9028,6.0976,0.5649,10.8607,5.7021,4.6542
2026-04-24,25.7110,0.3201,108.8614,39.3544,22.8145,0.0179,4.3376,0.4437,10.7662,4.5677,2.9028,6.2381,0.5825,10.8607,5.7021,4.6542
2026-04-23,25.3642,0.3066,108.8614,39.3764,22.8145,0.0181,4.2791,0.4324,10.7662,4.5681,2.9028,6.1540,0.5734,10.8607,5.7021,4.6542
2026-04-22,25.2168,0.2989,109.0963,39.3842,22.7809,0.0182,4.2543,0.4253,10.8376,4.5698,2.8860,6.1182,0.5700,10.9136,5.7006,4.6484
2026-04-21,25.8670,0.3227,109.0963,39.3921,22.7809,0.0178,4.3639,0.4491,10.8376,4.5716,2.8860,5.7182,0.5016,10.9136,5.6992,4.6484
2026-04-20,24.9944,0.2882,109.0963,39.3975,22.7809,0.0184,4.2167,0.4199,10.8376,4.5722,2.8860,5.5252,0.4614,10.9136,5.6980,4.6484
2026-04-17,25.6705,0.3178,109.0963,39.4030,22.7809,0.0179,4.3308,0.4417,10.8376,4.5728,2.8860,5.6747,0.4979,10.9136,5.6992,4.6484
2026-04-16,26.2357,0.3326,109.0963,39.4221,22.7809,0.0175,4.4261,0.4666,10.8376,4.5774,2.8860,5.7997,0.5202,10.9136,5.7006,4.6484
2026-04-15,27.2449,0.3554,109.3675,39.4412,22.7737,0.0185,4.6427,0.5131,10.9286,4.5819,2.8842,5.8353,0.5252,10.9643,5.6992,4.6476
2026-04-14,27.2315,0.3551,109.3675,39.4412,22.7737,0.0185,4.6404,0.5129,10.9286,4.5774,2.8842,5.8324,0.5250,10.9643,5.6980,4.6476
2026-04-13,27.0002,0.3505,109.3675,39.4412,22.7737,0.0186,4.6010,0.5042,10.9286,4.5728,2.8842,5.7829,0.5174,10.9643,5.6969,4.6476
2026-04-10,26.2966,0.3339,109.3675,39.4609,22.7737,0.0191,4.4811,0.4818,10.9286,4.5722,2.8842,5.6322,0.4908,10.9643,5.6929,4.6476
2026-04-09,24.6525,0.2787,109.3675,39.4806,22.7737,0.0204,4.2009,0.4173,10.9286,4.5728,2.8842,5.2800,0.3957,10.9643,5.6969,4.6476
2026-04-08,24.7353,0.2810,109.4467,39.4819,22.7664,0.0204,4.2150,0.4207,10.9400,4.5774,2.8841,5.2978,0.3991,10.9907,5.6980,4.6453
2026-04-07,24.3111,0.2669,109.4467,39.4832,22.7664,0.0207,4.1428,0.4103,10.9400,4.5819,2.8841,5.2069,0.3718,10.9907,5.6992,4.6453
2026-04-03,24.4293,0.2707,109.4467,39.4860,22.7664,0.0206,4.1629,0.4116,10.9400,4.5844,2.8841,5.2322,0.3778,10.9907,5.7006,4.6453
2026-04-02,25.3592,0.3052,109.4467,39.4889,22.7664,0.0198,4.3214,0.4393,10.9400,4.5868,2.8841,5.4314,0.4419,10.9907,5.7021,4.6453
2026-04-01,25.6462,0.3154,109.4467,39.5114,22.7664,0.0196,4.3703,0.4517,10.9400,4.5907,2.8841,5.4929,0.4538,10.9907,5.7021,4.6453
2026-03-31,25.3927,0.3081,109.6930,39.5340,22.7560,0.0198,4.3271,0.4403,10.9463,4.5945,2.8841,5.4386,0.4434,10.9973,5.7021,4.6445
2026-03-30,26.1059,0.3273,109.6930,39.5507,22.7560,0.0193,4.4486,0.4712,10.9463,4.5949,2.8841,5.5913,0.4781,10.9973,5.7105,4.6445
2026-03-27,26.3069,0.3312,109.6930,39.5674,22.7560,0.0191,4.4828,0.4799,10.9463,4.5954,2.8841,5.6344,0.4894,10.9973,5.7188,4.6445
2026-03-26,25.4422,0.3118,109.6930,39.5921,22.7560,0.0198,4.3355,0.4426,10.9463,4.5966,2.8841,5.4492,0.4473,10.9973,5.7193,4.6445
2026-03-25,25.1457,0.2971,109.6930,39.6168,22.7560,0.0200,4.2850,0.4349,10.9463,4.5978,2.8841,5.3857,0.4253,10.9973,5.7197,4.6445
2026-03-24,25.0939,0.2957,109.8627,39.6310,22.7482,0.0200,4.2761,0.4319,10.9873,4.5982,2.8784,5.3746,0.4224,11.0099,5.7203,4.6443
2026-03-23,25.4099,0.3091,109.8627,39.6453,22.7482,0.0197,4.3300,0.4406,10.9873,4.5985,2.8784,5.4423,0.4443,11.0099,5.7208,4.6443
2026-03-20,26.1059,0.3263,109.8627,39.6661,22.7482,0.0192,4.4486,0.4706,10.9873,4.5991,2.8784,5.5913,0.4775,11.0099,5.7212,4.6443
2026-03-19,25.3157,0.3020,109.8627,39.6869,22.7482,0.0198,4.3140,0.4379,10.9873,4.5997,2.8784,5.4221,0.4411,11.0099,5.7215,4.6443
2026-03-18,25.4118,0.3091,109.8627,39.7163,22.7482,0.0197,4.3303,0.4408,10.9873,4.6018,2.8784,5.4427,0.4445,11.0099,5.7263,4.6443
2026-03-17,25.6002,0.3124,110.0518,39.7457,22.7447,0.0196,4.3624,0.4463,10.9883,4.6040,2.8645,5.4830,0.4506,11.0273,5.7310,4.6412
2026-03-16,25.8151,0.3179,110.0518,39.7490,22.7447,0.0194,4.3990,0.4556,10.9883,4.6086,2.8645,5.5290,0.4604,11.0273,5.7322,4.6412
2026-03-13,25.0945,0.2968,110.0518,39.7524,22.7447,0.0200,4.2763,0.4335,10.9883,4.6132,2.8645,5.3747,0.4239,11.0273,5.7333,4.6412
2026-03-12,24.9997,0.2900,110.0518,39.7879,22.7447,0.0200,4.2601,0.4300,10.9883,4.6162,2.8645,5.3544,0.4162,11.0273,5.7364,4.6412
2026-03-11,25.0819,0.2950,110.0518,39.8234,22.7447,0.0200,4.2741,0.4318,10.9883,4.6193,2.8645,5.3720,0.4228,11.0273,5.7394,4.6412
2026-03-10,23.7861,0.2419,110.2631,39.8291,22.6759,0.0211,4.0533,0.3980,11.0240,4.6212,2.8633,5.0945,0.3426,11.0375,5.7401,4.6411
2026-03-09,25.5823,0.3108,110.2631,39.8348,22.6759,0.0149,4.2265,0.4254,11.0240,4.6231,2.8633,5.1912,0.3705,11.0375,5.7408,4.6411
2026-03-06,25.3870,0.3061,110.2631,39.8375,22.6759,0.0151,4.1942,0.4197,11.0240,4.6233,2.8633,5.1516,0.3621,11.0375,5.7409,4.6411
2026-03-05,25.0635,0.2946,110.2631,39.8402,22.6759,0.0153,4.1408,0.4141,11.0240,4.6236,2.8633,5.0860,0.3420,11.0375,5.7410,4.6411
2026-03-04,24.2513,0.2659,110.2631,39.8418,22.6759,0.0158,4.0066,0.3930,11.0240,4.6260,2.8633,4.9212,0.2915,11.0375,5.7457,4.6411
2026-03-03,24.6213,0.2794,110.4010,39.8433,22.6679,0.0155,4.0677,0.3990,11.0319,4.6284,2.8626,4.9962,0.3189,11.0691,5.7503,4.6348
2026-03-02,24.3458,0.2715,110.4010,39.8467,22.6679,0.0157,4.0222,0.3950,11.0319,4.6297,2.8626,4.9403,0.2977,11.0691,5.7508,4.6348
2026-02-27,24.4738,0.2738,110.4010,39.8500,22.6679,0.0156,4.0433,0.3968,11.0319,4.6309,2.8626,4.9663,0.3080,11.0691,5.7513,4.6348
2026-02-26,24.7594,0.2825,110.4010,39.8500,22.6679,0.0154,4.0905,0.4024,11.0319,4.6313,2.8626,5.0242,0.3253,11.0691,5.7517,4.6348
2026-02-25,25.9172,0.3164,110.4010,39.8500,22.6679,0.0148,4.2818,0.4320,11.0319,4.6317,2.8626,5.2592,0.3865,11.0691,5.7520,4.6348
2026-02-24,25.9007,0.3160,110.5908,39.8669,22.6466,0.0148,4.2791,0.4312,11.0981,4.6320,2.8597,5.2559,0.3851,11.1333,5.7522,4.6346
2026-02-13,26.1433,0.3210,110.5908,39.8839,22.6466,0.0146,4.3191,0.4362,11.0981,4.6323,2.8597,5.3051,0.4014,11.1333,5.7523,4.6346
2026-02-12,26.8968,0.3367,110.5908,39.8839,22.6466,0.0142,4.4436,0.4633,11.0981,4.6341,2.8597,5.4580,0.4429,11.1333,5.7544,4.6346
2026-02-11,26.3337,0.3230,110.5908,39.8839,22.6466,0.0177,4.3506,0.4410,11.0981,4.6358,2.8597,5.3437,0.4099,11.1333,5.7564,4.6346
2026-02-10,26.1168,0.3205,110.5908,39.9221,22.6466,0.0179,4.3148,0.4353,11.0981,4.6358,2.8597,5.2997,0.3999,11.1333,5.7565,4.6346
2026-02-09,26.3923,0.3228,110.6065,39.9603,22.6391,0.0177,4.3603,0.4415,11.1349,4.6358,2.8478,5.3556,0.4125,11.1603,5.7566,4.6336
2026-02-06,26.4130,0.3229,110.6065,39.9903,22.6391,0.0177,4.3637,0.4417,11.1349,4.6361,2.8478,5.3598,0.4127,11.1603,5.7569,4.6336
2026-02-05,25.9715,0.3177,110.6065,40.0203,22.6391,0.0180,4.2908,0.4333,11.1349,4.6364,2.8478,5.2702,0.3925,11.1603,5.7571,4.6336
2026-02-04,26.1211,0.3206,110.6065,40.0313,22.6391,0.0179,4.3155,0.4357,11.1349,4.6372,2.8478,5.3006,0.4002,11.1603,5.7575,4.6336
2026-02-03,24.8960,0.2874,110.6065,40.0422,22.6391,0.0188,4.1131,0.4085,11.1349,4.6381,2.8478,5.0520,0.3332,11.1603,5.7579,4.6336
2026-02-02,24.9726,0.2892,110.7417,40.0695,22.6317,0.0187,4.1257,0.4103,11.2525,4.6390,2.8425,5.0675,0.3366,11.2082,5.7598,4.6336
2026-01-30,25.0453,0.2931,110.7417,40.0968,22.6317,0.0186,4.1377,0.4133,11.2525,4.6400,2.8425,5.0823,0.3400,11.2082,5.7617,4.6336
2026-01-29,24.4650,0.2755,110.7417,40.1049,22.6317,0.0191,4.0419,0.3995,11.2525,4.6400,2.8425,4.9645,0.3094,11.2082,5.7617,4.6336
