date,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),净利润率
2026-03-31,0.0458,0.1207,0.1077,0.0778,0.0396
2025-12-31,0.0442,0.118,0.1075,0.0845,0.0397
2025-09-30,0.0323,0.1228,0.0817,0.0634,0.0286
2025-06-30,0.0348,0.1183,0.0836,0.0647,0.0284
2025-03-31,0.0356,0.1168,0.0806,0.0633,0.0271
2024-12-31,0.0331,0.1109,0.0789,0.0665,0.0256
2024-09-30,0.0305,0.1122,0.0755,0.0617,0.0258
2024-06-30,0.0246,0.1085,0.0573,0.0524,0.0192
2024-03-31,0.0181,0.0951,0.041,0.0423,0.0136
2023-12-31,0.0135,0.0895,0.033,0.04,0.0103
2023-09-30,-0.0152,0.0777,-0.0378,-0.0203,-0.0115
2023-06-30,0.0015,0.0874,0.0033,0.0007,0.001
2023-03-31,0.0154,0.0972,0.0332,0.043,0.0091
2022-12-31,0.0259,0.1112,0.0616,0.0564,0.0171
2022-09-30,0.0698,0.1305,0.1621,0.1263,0.0483
2022-06-30,0.0809,0.1348,0.169,0.1347,0.0509
2022-03-31,0.0786,0.1396,0.1595,0.1299,0.0503
2021-12-31,0.0782,0.1413,0.1807,0.1409,0.0551
2021-09-30,0.0785,0.144,0.1881,0.1378,0.0555
2021-06-30,0.0838,0.1493,0.1844,0.132,0.0527
2021-03-31,0.0849,0.155,0.1764,0.1361,0.0541
2020-12-31,0.0681,0.1603,0.159,0.1191,0.0494
2020-09-30,0.0554,0.1676,0.1368,0.0976,0.0505
2020-06-30,0.0427,0.1647,0.0961,0.0678,0.0414
2020-03-31,0.0435,0.1571,0.0874,0.0683,0.0381
2019-12-31,0.0397,0.1543,0.0817,0.0654,0.0364
2019-09-30,0.031,0.161,0.063,0.0591,0.0304
2019-06-30,0.0327,0.1652,0.0615,,0.0323
2019-03-31,0.0323,0.1787,0.0569,,0.0341
2018-12-31,0.03,0.1881,0.0561,0.0479,0.0356
2018-09-30,0.0562,0.2161,0.1066,,0.0666
2018-06-30,0.0717,0.2176,0.1278,,0.0764
2018-03-31,0.0826,0.2193,0.1522,,0.0798
2017-12-31,0.0852,0.2201,0.1635,,0.0825
2017-09-30,0.0794,0.215,0.1599,,0.0821
2017-06-30,0.0821,0.2213,0.1578,,0.0816
2017-03-31,0.0817,0.2214,0.1627,,0.0806
2016-12-31,0.0763,0.2239,0.1582,,0.0834
2016-09-30,0.0658,0.2259,0.1429,,0.0815
2016-06-30,0.0639,0.2361,0.1269,,0.0803
