date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-716508567,1097974737,0.9227,-5.9745
2025-12-31,-1398442034,802133083,-0.7416,-34.0823
2025-09-30,-1235844398,721916282,-0.7668,0.8641
2025-06-30,181883865,1221025282,-0.3825,1.2733
2025-03-31,311074417,571068215,-0.4972,1.1113
2024-12-31,926552113,3104279406,-0.3918,1.1465
2024-09-30,2224535982,3095834054,-0.1457,1.169
2024-06-30,2857417787,1977431299,-0.0224,1.1592
2024-03-31,3154746017,1135769257,0.2126,1.1028
2023-12-31,3014446177,5103687813,0.8057,1.0687
2023-09-30,2752841104,3623708359,1.2669,1.0962
2023-06-30,1649833078,2022719787,1.2184,0.9221
2023-03-31,985336059,936665806,0.5521,0.8042
2022-12-31,738366344,2826408333,-0.1514,0.6706
2022-09-30,1174007531,1598542804,-0.0769,0.7646
2022-06-30,969609602,911797607,-0.3013,0.7261
2022-03-31,1101912281,603486977,-0.0197,0.8019
2021-12-31,1105653764,3330619225,1.9979,0.8546
2021-09-30,-638318495,1731686124,0.028,0.2811
2021-06-30,99104871,1305063706,0.6048,0.4126
2021-03-31,236531509,615587394,0.8248,0.3817
2020-12-31,141436926,1110989855,-0.4257,0.3359
2020-09-30,1056189368,1684549749,0.0687,0.6707
2020-06-30,1070987999,813219183,-0.0424,0.6869
2020-03-31,745498650,337347764,-0.4545,0.6867
2019-12-31,1094457906,1934670685,1.1884,0.8236
2019-09-30,1351758973,1576236480,4.2321,1.076
2019-06-30,698459232,849185729,3.5569,0.9211
2019-03-31,974060702,618405536,3.9831,1.0281
2018-12-31,225887885,884066573,1.318,0.6044
2018-09-30,150760854,301263696,3.3626,0.4299
2018-06-30,455699308,186352854,1.7717,0.6235
2018-03-31,-82061490,-207305319,-356.5123,0.1704
2017-12-31,152021244,381387328,0.238,0.4111
2017-09-30,38549063,69055424,-0.4278,0.2869
2017-06-30,3127863,-241492575,-1.0571,0.2305
2017-03-31,213777966,-579855,0.9934,0.5471
2016-12-31,123509897,308073522,-0.6002,0.4551
2016-09-30,150863423,120692349,-0.7766,0.5613
2016-06-30,98284681,-117396723,-1.3598,0.5515
