date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,2912466596,0.8523,748055667,1.4327
2025-12-31,713057277,0.3944,2133444578,0.3748
2025-09-30,-3158260134,-0.233,-2566434879,-7.1301
2025-06-30,-3053941946,-0.2168,-3191375954,-9.1734
2025-03-31,-2391870415,-0.0676,-1728688647,-8.3401
2024-12-31,-466321808,0.2763,1573165054,-0.3348
2024-09-30,255501323,0.3052,454777870,-0.5997
2024-06-30,666300757,0.4912,-292472216,0.1905
2024-03-31,1482180972,0.7245,260016537,1.3931
2023-12-31,385305083,0.5865,2365007735,4.2489
2023-09-30,-1410560872,0.1642,1135978731,6.95
2023-06-30,-1204484101,0.1269,-361310583,0.7648
2023-03-31,-1608377524,-0.0327,-661529951,0.4889
2022-12-31,-2135872798,-0.2865,-727939010,0.063
2022-09-30,-1265060934,-0.1591,-190920907,0.683
2022-06-30,-2922716172,-1.2467,-1536461229,-6.7168
2022-03-31,-3370206310,-2.0133,-1294300561,-2.9571
2021-12-31,-1223561063,-0.651,-776859120,-1.5609
2021-09-30,89631065,0.6144,-602204358,-4.6425
2021-06-30,89959683,0.8092,-199107008,-1.362
2021-03-31,823051531,1.9526,661328683,-0.084
2020-12-31,726263955,2.1948,1385139595,2.4712
2020-09-30,-349501427,0.3726,165328194,1.1721
2020-06-30,-341373057,0.199,549988627,2.1526
2020-03-31,-364366839,0.091,721968606,3.844
2019-12-31,-1111741833,-2.5469,-941473334,-45.0432
2019-09-30,-1201314263,-2.9781,-960436433,-18.9543
2019-06-30,-676549880,-1.5281,-477164533,-13.5701
2019-03-31,-203843296,-0.0644,-253858889,0.0063
2018-12-31,-264372780,-0.0723,-20447601,-1.6467
2018-09-30,15211129,1.137,53493374,1.2558
2018-06-30,-299485442,-0.0013,-32749511,-38.0863
2018-03-31,-537292319,-1.2218,-255457347,-49.9322
2017-12-31,-200470447,0.1889,31620679,1.157
2017-09-30,-566060786,-1.6572,-209092254,-0.388
2017-06-30,-362665522,-0.7594,-837877,0.9929
2017-03-31,-390308414,-1.4041,-5015638,0.9516
2016-12-31,-379226906,-1.4601,-201418443,-0.4491
2016-09-30,-161197086,-0.9252,-150639194,0.2836
2016-06-30,-98339864,-0.3933,-69266350,0.1606
