date,总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率
2026-03-31,0.0202,0.0424,0.0454,0.4208,0.0317
2025-12-31,0.0197,0.0442,0.044,0.4236,0.0313
2025-09-30,0.0203,0.0448,0.0471,0.4234,0.0332
2025-06-30,0.0184,0.0425,0.0414,0.4249,0.03
2025-03-31,0.0162,0.0389,0.0352,0.4285,0.0262
2024-12-31,0.0128,0.0382,0.0278,0.4263,0.0217
2024-09-30,0.0038,-0.0028,0.0086,0.4253,0.0066
2024-06-30,0.0036,-0.0004,0.0075,0.4251,0.0061
2024-03-31,0.0105,0.0277,0.0212,0.4195,0.0177
2023-12-31,0.0173,0.035,0.0355,0.4266,0.0312
2023-09-30,0.0053,0.0006,0.0105,0.4091,0.0093
2023-06-30,0.0085,-0.0291,0.0158,0.4084,0.0145
2023-03-31,0.0099,0.038,0.0177,0.4105,0.0166
2022-12-31,0.0155,0.033,0.0292,0.4083,0.0265
2022-09-30,0.0412,0.0717,0.0757,0.3946,0.0603
2022-06-30,0.0513,0.0874,0.0922,0.402,0.0696
2022-03-31,0.0581,0.1022,0.1015,0.409,0.0803
2021-12-31,0.0573,0.103,0.1063,0.4113,0.088
2021-09-30,0.0625,0.1048,0.1131,0.4333,0.0957
2021-06-30,0.0716,0.1185,0.13,0.4394,0.1078
2021-03-31,0.08,0.134,0.1391,0.4452,0.1223
2020-12-31,0.0642,0.1123,0.1167,0.4512,0.1107
2020-09-30,0.0521,0.0852,0.0906,0.4479,0.1007
2020-06-30,0.0531,0.0862,0.0933,0.4409,0.096
2020-03-31,0.0399,0.0672,0.0691,0.4514,0.0728
2019-12-31,0.0533,0.0901,0.0946,0.4602,0.0936
2019-09-30,0.0515,0.087,0.088,0.4944,0.0927
2019-06-30,0.05,,0.0881,0.5026,0.082
2019-03-31,0.046,,0.0791,0.5038,0.077
2018-12-31,0.0432,0.0736,0.0765,0.5003,0.0781
2018-09-30,0.0419,,0.0672,0.5034,0.0746
2018-06-30,0.041,,0.0638,0.5147,0.0783
2018-03-31,0.0426,,0.0643,0.5095,0.0842
2017-12-31,0.0403,,0.0632,0.5138,0.088
2017-09-30,0.037,,0.0527,0.5113,0.0874
2017-06-30,0.0334,,0.0466,0.5064,0.0883
2017-03-31,0.0521,,0.0702,0.506,0.1411
2016-12-31,0.0528,,0.0723,0.5052,0.1496
2016-09-30,0.0554,,0.0735,0.4838,0.1613
2016-06-30,0.0736,,0.101,0.4817,0.1859
