date,负债合计,资产负债率,流动负债合计,流动比率,所有者权益合计,长期负债合计,流动资产合计,速动比率,有息负债率,资产合计
2026-03-31,14433404194,0.2181,2793658686,3.8225,51733278718,1652419634,0,2.597,0.1011,66166682912
2025-12-31,14900912471,0.23,3367443728,3.8643,49894082380,2627166311,0,2.5696,0.1037,64794994851
2025-09-30,15671024043,0.2393,3838045782,3.6071,49825005490,2219000000,0,2.5535,0.104,65496029533
2025-06-30,23509629210,0.3349,3529323176,2.563,46680616976,2728700000,0,1.8801,0.1143,70190246185
2025-03-31,16476599321,0.2467,3065704152,3.8023,50304333984,3228200000,0,2.7616,0.1202,66780933305
2024-12-31,20826588929,0.3048,3978131529,3.5621,47508006636,6279900000,0,2.6154,0.1402,68334595565
2024-09-30,20922458063,0.3146,2654171466,4.4838,45574468478,9779900000,0,3.345,0.1891,66496926541
2024-06-30,28290836224,0.4028,2341708293,3.0885,41948360826,10990000000,0,2.3565,0.179,70239197050
2024-03-31,22254590972,0.3243,2534857789,5.0605,46371183264,11990200000,0,3.8591,0.1976,68625774236
2023-12-31,21762747472,0.3438,2672977090,4.5039,41531707730,10000300000,0,3.3298,0.1833,63294455202
2023-09-30,22584318041,0.3678,2961546779,4.6777,38821222774,10004900000,0,3.4918,0.2139,61405540815
2023-06-30,26280661749,0.4272,1933610555,3.2628,35244046964,9515100000,0,2.4569,0.2051,61524708714
2023-03-31,20295680433,0.3479,1725765760,5.0316,38045735971,9015400000,0,3.7594,0.2074,58341416404
2022-12-31,17056686418,0.3319,2566374719,3.1498,34328794937,3179600000,0,2.2152,0.1223,51385481355
2022-09-30,11496520217,0.2645,1900465509,3.636,31975907188,2480000000,0,2.3962,0.0938,43472427405
2022-06-30,16080341388,0.3557,2329543605,2.4239,29125898505,0,0,1.6832,0.0915,45206239893
2022-03-31,11988690137,0.2784,1762950583,3.3798,31075131116,0,0,2.3472,0.0952,43063821253
2021-12-31,15074520883,0.3489,3510110701,2.4276,28137261123,0,0,1.7466,0.0953,43211782006
2021-09-30,10886190196,0.2914,1905334119,3.2429,26477648192,0,0,2.2315,0.1092,37363838388
2021-06-30,13045131380,0.3478,1408069577,2.4772,24458949298,0,0,1.799,0.1103,37504080678
2021-03-31,11751810189,0.3167,1692175529,2.8461,25356182380,0,0,2.1507,0.1106,37107992570
2020-12-31,11827333950,0.3378,1678837167,2.5672,23181869874,0,0,1.9515,0.116,35009203823
2020-09-30,9358641440,0.2984,1231219021,3.2724,22007914311,0,0,2.5452,0.1271,31366555751
2020-06-30,11310905924,0.3562,588278202,2.5174,20447308618,0,0,1.969,0.1255,31758214543
2020-03-31,8513426702,0.2861,626359047,3.8187,21241937257,0,0,2.9207,0.1339,29755363959
2019-12-31,9365238050,0.3238,0,2.4036,19554731028,0,0,1.8448,0.0861,28919969078
2019-09-30,7961604835,0.2983,0,3.0553,18724538359,0,0,2.3644,0.0933,26686143194
2019-06-30,7311909461,0.2924,0,2.2319,17697179338,0,0,1.7453,0,25009088799
2019-03-31,5170380469,0.2161,0,3.1666,18756142896,0,0,2.4804,0,23926523365
2018-12-31,5480716977,0.2425,0,2.8611,17124212619,0,0,2.2393,0,22604929596
2018-09-30,3348487231,0.1695,0,4.2201,16410103672,0,0,3.2448,0,19758590902
2018-06-30,4837731882,0.2363,0,3.1153,15631313958,0,0,2.4707,0,20469045841
2018-03-31,3581915329,0.1778,0,4.1284,16565525608,0,0,3.2545,0,20147440936
2017-12-31,4443166862,0.2249,0,3.2672,15312594212,0,0,2.5781,0,19755761074
2017-09-30,3180568502,0.177,0,4.3165,14791000539,0,0,3.294,0,17971569042
2017-06-30,2507932266,0.1819,0,3.8902,11280150072,0,0,2.9002,0,13788082339
2017-03-31,2358928636,0.1651,0,4.4295,11931646297,0,0,3.3466,0,14290574932
2016-12-31,2549401188,0.1864,0,3.9315,11124634365,0,0,2.8842,0,13674035553
2016-09-30,2532620609,0.1908,0,3.9036,10739467500,0,0,2.8605,0,13272088110
2016-06-30,2981357000,0.2238,0,3.3555,10341803280,0,0,2.4937,0,13323160281
