date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,2480743000,0.0046,0.2711,24042362000
2025-12-31,8408057000,0.4118,0.9834,89231023000
2025-09-30,7135595000,0.4658,0.8455,65741014000
2025-06-30,5216316000,0.46,0.6175,44533644000
2025-03-31,2471239000,0.564,0.2921,21049036000
2024-12-31,5975451000,0.3198,0.7061,77773391000
2024-09-30,4867966000,0.1966,0.5757,57890665000
2024-06-30,3572764000,0.048,0.4224,38738160000
2024-03-31,1580101000,0.0421,0.1867,17662094000
2023-12-31,4527498000,0.0553,0.5347,73221725000
2023-09-30,4047535000,0.1251,0.4785,55522201000
2023-06-30,3400084000,0.2907,0.4019,39496879000
2023-03-31,1511612000,-0.0492,0.1786,17787615000
2022-12-31,4272802000,-0.6449,0.5055,80018098000
2022-09-30,3596954000,-0.7138,0.4266,58560973000
2022-06-30,2634110000,-0.7385,0.3124,39673067000
2022-03-31,1589772000,-0.7129,0.1885,20077134000
2021-12-31,12033364000,-0.2204,1.4287,106113346000
2021-09-30,12566794000,0.0091,1.4918,87718220000
2021-06-30,10073672000,0.1716,1.1965,67127888000
2021-03-31,5538031000,1.4616,0.6579,33327574000
2020-12-31,15431465000,0.3625,1.8397,99341988000
2020-09-30,12450341000,0.3469,1.4743,72892048000
2020-06-30,8467738000,0.2548,1.0042,49187513000
2020-03-31,2193674000,-0.319,0.2603,17266415000
2019-12-31,11206662000,0.8323,1.3595,75665760000
2019-09-30,9159443000,0.8756,1.119,58690952000
2019-06-30,6748013000,0.9914,0.834,43386440000
2019-03-31,3221072000,1.1471,0.4127,21294618000
2018-12-31,6116288000,1.9233,0.7907,55821504000
2018-09-30,4883396000,1.709,0.633,41077480000
2018-06-30,3388559000,1.9209,0.441,28123823000
2018-03-31,1500185000,1.0118,0.1956,12158955000
2017-12-31,2092253000,9.2835,0.2733,38335087000
2017-09-30,1802687000,9.3256,0.236,28159070000
2017-06-30,1160110000,7.4095,0.151,19207820000
2017-03-31,745704000,7.2706,0.097,9376807000
2016-12-31,203457000,40.0113,0.0267,23280072000
2016-09-30,174584000,3.2848,0.023,16489661000
2016-06-30,137953000,-0.486,0.018,11220090000
