date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,17363000000,-0.1546,27750000000,1.1701
2025-12-31,75059000000,-0.176,29059000000,1.1955
2025-09-30,65253000000,-0.1991,29930000000,1.2113
2025-06-30,45794000000,-0.1175,38639000000,1.3539
2025-03-31,20538000000,-0.2588,48968000000,1.3147
2024-12-31,93348000000,0.0408,57558000000,1.3555
2024-09-30,83504000000,0.1176,67884000000,1.4674
2024-06-30,52668000000,0.1363,62379000000,1.465
2024-03-31,28553000000,-0.0223,53258000000,1.3298
2023-12-31,89687000000,-0.1827,54104000000,1.2886
2023-09-30,74720000000,-0.1797,56866000000,1.3565
2023-06-30,46349000000,-0.2058,66046000000,1.347
2023-03-31,29203000000,0.027,78114000000,1.3732
2022-12-31,109734000000,0.1631,82580000000,1.3439
2022-09-30,91090000000,0.3489,94616000000,1.4666
2022-06-30,58363000000,0.4511,88298000000,1.4805
2022-03-31,28436000000,0.4498,83524000000,1.5264
2021-12-31,94575000000,0.1634,71620000000,1.5933
2021-09-30,67506000000,-0.0564,51874000000,1.4035
2021-06-30,40219000000,-0.2513,45499000000,1.2677
2021-03-31,19614000000,-0.3459,45340000000,1.4304
2020-12-31,81289000000,0.2881,61106000000,1.7199
2020-09-30,71540000000,0.2605,59932000000,1.6304
2020-06-30,53720000000,0.3089,57785000000,1.596
2020-03-31,29984000000,-0.0316,44162000000,1.282
2019-12-31,63106000000,-0.2849,45226000000,1.2244
2019-09-30,56757000000,-0.1631,58395000000,1.4105
2019-06-30,41043000000,0.2851,76894000000,1.7735
2019-03-31,30964000000,1.6218,87348000000,1.9632
2018-12-31,88248000000,-0.0726,68255000000,1.633
2018-09-30,67822000000,-0.1908,62714000000,1.444
2018-06-30,31937000000,-0.3296,62054000000,1.4851
2018-03-31,11810000000,-0.5273,63364000000,1.519
2017-12-31,95152000000,0.162,76226000000,1.7604
2017-09-30,83814000000,0.3481,74428000000,2.1356
2017-06-30,47637000000,0.2468,62896000000,2.0553
2017-03-31,24983000000,0.6409,63289000000,2.4625
2016-12-31,81883000000,0.4779,53474000000,2.7723
2016-09-30,62174000000,0.6792,54360000000,3.4089
2016-06-30,38207000000,0.187,35404000000,3.0044
