date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,228312649027.26,1.0702,0.8656,1.0281,0.7770,0.4472,0.0675,9.1141,0.4907,35.7229,9.5729,4.0830,0.9687,0.1933,3.0152,1.8400,0.9737
2026-06-01,227547013047.96,1.0666,0.8631,1.0276,0.7770,0.4472,0.0677,9.0835,0.4895,35.7229,9.5795,4.0830,0.9655,0.1921,3.0152,1.8434,0.9744
2026-05-29,216521854946.04,1.0149,0.7753,1.0275,0.7781,0.4472,0.0712,8.6434,0.4764,35.9347,9.5884,4.0830,0.9187,0.1427,3.0152,1.8438,0.9745
2026-05-28,216981236533.62,1.0171,0.7789,1.0275,0.7776,0.4472,0.0710,8.6617,0.4771,35.9347,9.5884,4.0830,0.9206,0.1444,3.0152,1.8442,0.9751
2026-05-27,219584398863.24,1.0293,0.8020,1.0275,0.7770,0.4472,0.0702,8.7657,0.4802,35.9347,9.5884,4.0830,0.9317,0.1516,3.0152,1.8445,0.9751
2026-05-26,222953197172.16,1.0451,0.8269,1.0269,0.7770,0.4472,0.0691,8.9001,0.4819,35.9812,9.5950,4.0830,0.9460,0.1609,3.0152,1.8467,0.9753
2026-05-25,224331341934.9,1.0515,0.8399,1.0269,0.7770,0.4472,0.0687,8.9551,0.4840,36.0311,9.5999,4.0830,0.9518,0.1672,3.0152,1.8484,0.9758
2026-05-22,223718833151.46,1.0486,0.8346,1.0269,0.7781,0.4472,0.0689,8.9307,0.4823,36.0809,9.6493,4.0830,0.9492,0.1633,3.0152,1.8529,0.9760
2026-05-21,224637596326.62,1.0530,0.8438,1.0269,0.7776,0.4472,0.0686,8.9674,0.4838,36.0809,9.6566,4.0830,0.9531,0.1680,3.0152,1.8529,0.9760
2026-05-20,221881306801.14,1.0400,0.8201,1.0264,0.7770,0.4472,0.0695,8.8573,0.4806,36.0809,9.6640,4.0830,0.9414,0.1571,3.0152,1.8529,0.9766
2026-05-19,214684328595.72,1.0063,0.7628,1.0262,0.7770,0.4472,0.0718,8.5700,0.4722,36.0809,9.6875,4.0830,0.9109,0.1331,3.0152,1.8532,0.9768
2026-05-18,214378074204.0,1.0049,0.7603,1.0262,0.7770,0.4472,0.0719,8.5578,0.4718,36.1307,9.6882,4.0830,0.9096,0.1318,3.0152,1.8533,0.9768
2026-05-15,216981236533.62,1.0171,0.7820,1.0262,0.7781,0.4472,0.0710,8.6617,0.4760,36.3583,9.7205,4.0830,0.9206,0.1435,3.0152,1.8537,0.9777
2026-05-14,218971890079.8,1.0264,0.8004,1.0262,0.7776,0.4472,0.0704,8.7412,0.4771,36.3583,9.7238,4.0830,0.9291,0.1495,3.0152,1.8544,0.9778
2026-05-13,215756218966.74,1.0113,0.7713,1.0259,0.7770,0.4472,0.0714,8.6128,0.4739,36.3583,9.7271,4.0830,0.9154,0.1365,3.0152,1.8551,0.9781
2026-05-12,215756218966.74,1.0113,0.7717,1.0259,0.7770,0.4472,0.0714,8.6128,0.4739,36.4289,9.7488,4.0830,0.9154,0.1365,3.0152,1.8551,0.9784
2026-05-11,215143710183.3,1.0085,0.7687,1.0259,0.7770,0.4472,0.0716,8.5884,0.4726,36.4289,9.7552,4.0830,0.9128,0.1352,3.0152,1.8567,0.9785
2026-05-08,214837455791.58,1.0070,0.7660,1.0259,0.7781,0.4472,0.0717,8.5762,0.4718,37.0643,9.7833,4.0830,0.9115,0.1330,3.0152,1.8600,0.9805
2026-05-07,215449964575.02,1.0099,0.7705,1.0259,0.7776,0.4472,0.0715,8.6006,0.4720,37.0643,9.7843,4.0830,0.9141,0.1352,3.0152,1.8607,0.9805
2026-05-06,216521854946.04,1.0149,0.7793,1.0259,0.7770,0.4472,0.0712,8.6434,0.4739,37.0643,9.7852,4.0830,0.9187,0.1398,3.0152,1.8614,0.9811
2026-04-30,216215600554.32,1.0135,0.7749,1.0269,0.7781,0.4472,0.0713,8.6312,0.4724,37.5585,9.7931,4.0830,0.9174,0.1384,3.0152,1.8632,0.9811
2026-04-29,219890193734.96,1.0018,0.7584,1.0269,0.7781,0.4472,0.0701,7.1235,0.4255,37.5585,9.7997,4.0830,0.9467,0.1566,3.0152,1.8635,0.9825
2026-04-28,217899544348.78,0.9927,0.7458,1.0269,0.7781,0.4472,0.0707,7.0590,0.4226,37.7703,9.8129,4.0830,0.9381,0.1507,3.0152,1.8650,0.9829
2026-04-27,217440163721.2,0.9906,0.7428,1.0269,0.7781,0.4472,0.0709,7.0442,0.4217,38.1939,9.8129,4.0830,0.9362,0.1494,3.0152,1.8665,0.9833
2026-04-24,220502701238.4,1.0046,0.7603,1.0269,0.7781,0.4472,0.0699,7.1434,0.4247,41.5095,9.8667,4.0917,0.9494,0.1569,3.0130,1.8667,0.9839
2026-04-23,221268335617.7,1.0080,0.7665,1.0275,0.7781,0.4472,0.0697,7.1682,0.4249,42.6051,9.8728,4.0830,0.9526,0.1599,3.0152,1.8667,0.9839
2026-04-22,221421462493.56,1.0087,0.7673,1.0275,0.7781,0.4472,0.0696,7.1731,0.4255,42.6051,9.8789,4.0830,0.9533,0.1608,3.0152,1.8667,0.9843
2026-04-21,223871492507.32,1.0199,0.7849,1.0276,0.7781,0.4472,0.0688,7.2525,0.4289,42.7268,9.8849,4.0830,0.9639,0.1797,3.0152,1.8667,0.9851
2026-04-20,223258985003.88,1.0171,0.7799,1.0281,0.7781,0.4472,0.0690,7.2327,0.4276,43.4572,9.8988,4.0830,0.9612,0.1747,3.0152,1.8677,0.9854
2026-04-17,225402761265.92,1.0269,0.7977,1.0290,0.7781,0.4472,0.0684,7.3021,0.4306,44.3093,9.9247,4.0917,0.9704,0.1833,3.0130,1.8679,0.9861
2026-04-16,228465298783.12,1.0408,0.8183,1.0295,0.7781,0.4472,0.0675,7.4013,0.4329,44.4310,9.9484,4.0830,0.9836,0.1973,3.0152,1.8692,0.9861
2026-04-15,230915328796.88,1.0520,0.8388,1.0290,0.7781,0.4472,0.0667,7.4807,0.4352,44.4310,9.9720,4.0830,0.9942,0.2138,3.0152,1.8705,0.9863
2026-04-14,231987216927.9,1.0569,0.8472,1.0290,0.7781,0.4472,0.0664,7.5154,0.4364,44.4310,9.9780,4.0830,0.9988,0.2226,3.0152,1.8710,0.9863
2026-04-13,231068455672.74,1.0527,0.8405,1.0290,0.7781,0.4472,0.0667,7.4857,0.4352,44.5528,9.9883,4.0830,0.9948,0.2146,3.0152,1.8712,0.9863
2026-04-10,232752851307.2,1.0604,0.8503,1.0295,0.7781,0.4472,0.0662,7.5402,0.4369,44.9180,9.9912,4.0917,1.0021,0.2275,3.0130,1.8719,0.9865
2026-04-09,232752851307.2,1.0604,0.8507,1.0295,0.7781,0.4472,0.0662,7.5402,0.4371,44.9180,9.9912,4.0830,1.0021,0.2276,3.0152,1.8719,0.9863
2026-04-08,232752851307.2,1.0604,0.8510,1.0290,0.7781,0.4472,0.0662,7.5402,0.4373,44.9180,9.9912,4.0830,1.0021,0.2277,3.0152,1.8719,0.9863
2026-04-07,231221582548.6,1.0534,0.8413,1.0290,0.7781,0.4472,0.0667,7.4906,0.4352,45.6483,10.0077,4.0830,0.9955,0.2151,3.0152,1.8733,0.9863
2026-04-03,230302821293.44,1.0492,0.8326,1.0295,0.7781,0.4472,0.0669,7.4609,0.4344,46.0135,10.0298,4.0917,0.9915,0.2086,3.0130,1.8746,0.9865
2026-04-02,232752851307.2,1.0604,0.8498,1.0295,0.7781,0.4472,0.0662,7.5402,0.4363,46.2570,10.0394,4.0830,1.0021,0.2268,3.0152,1.8752,0.9863
2026-04-01,232446597555.48,1.0590,0.8489,1.0290,0.7781,0.4472,0.0663,7.5303,0.4360,46.2570,10.0490,4.0830,1.0008,0.2243,3.0152,1.8758,0.9863
2026-03-31,229843440665.86,1.0471,0.8283,1.0290,0.7781,0.4472,0.0671,7.4460,0.4331,46.3787,10.0683,4.0830,0.9896,0.2041,3.0152,1.8758,0.9863
2026-03-30,235356008196.82,1.0722,0.8615,1.0290,0.7781,0.4472,0.0655,7.6246,0.4381,46.9873,10.0683,4.0830,1.0133,0.2433,3.0152,1.8758,0.9863
2026-03-27,232293470679.62,1.0583,0.8482,1.0281,0.7781,0.4472,0.0663,7.5253,0.4344,47.7177,10.1549,4.0917,1.0001,0.2220,3.0130,1.8803,0.9865
