date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,15734198166,1.4407,11124842135,-0.2614
2025-12-31,20865354741,1.2929,45545770431,-0.3429
2025-09-30,30582585332,1.3447,39981831734,-0.2266
2025-06-30,48854721005,1.2858,25776976630,0.1378
2025-03-31,49129084274,1.239,15062211718,0.6949
2024-12-31,43686946687,1.2512,69312919440,2.0691
2024-09-30,33479076178,1.1757,51693571342,1.5191
2024-06-30,12741181787,1.1435,22638495726,0.7071
2024-03-31,10999713499,0.921,8864882204,0.4407
2023-12-31,7666464951,0.7963,22612054841,-0.8851
2023-09-30,34442155116,1.2088,20523635706,-0.8767
2023-06-30,81950253526,1.3121,13261606271,-0.8822
2023-03-31,126874360164,1.3078,6152974970,-0.9016
2022-12-31,187364794746,1.4984,196798805100,0.1508
2022-09-30,217396113507,1.584,166435190956,0.4603
2022-06-30,211495361153,1.5951,112538743171,0.7615
2022-03-31,197900417519,1.741,62528804530,1.3178
2021-12-31,161807490905,1.6461,170948374302,2.7963
2021-09-30,127907265904,1.59,113931452535,4.0116
2021-06-30,92086277533,1.8012,63887646488,4.5857
2021-03-31,64160265341,2.3252,26978167591,16.5859
2020-12-31,38564415313,3.4146,45030555340,1.1238
2020-09-30,22967841737,2.3415,22733572604,0.5154
2020-06-30,15241540226,2.2898,11437691105,0.2082
2020-03-31,8516694959,1.8772,1534076759,-0.6251
2019-12-31,10325611976,2.0486,21202371528,1.6077
2019-09-30,3973276866,4.2204,15002048740,2.3531
2019-06-30,-1021880378,3.8712,9466838761,19.3037
2019-03-31,-6269663185,3.5198,4092407568,8.7333
2018-12-31,-11530052766,2.6867,8130775622,0.1465
2018-09-30,-10658424316,2.6575,4474089680,-0.1404
2018-06-30,-7448498788,2.6275,466261050,-0.7383
2018-03-31,-5079157760,1.4868,-529194191,0.1781
2017-12-31,-3981583384,1.4681,7092039384,3.6673
2017-09-30,-2260197515,1.7988,5204730439,11.7802
2017-06-30,-4629725089,2.9728,1781780356,21.0536
2017-03-31,-2908144197,-0.3418,-643866567,-0.2434
2016-12-31,-3518348337,-0.167,1519532178,-0.7851
2016-09-30,-5150841857,-0.0527,-582253021,-1.0966
2016-06-30,-4941367346,-0.115,43988438,-0.9931
