date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,106674960915.27,1.3244,0.3783,1.9454,1.4605,1.1259,0.0422,0.5504,0.0037,1.9042,1.2794,0.6960,13.7282,0.7830,13.9361,9.9944,6.7426
2026-06-01,107628835379.49,1.3362,0.3849,1.9454,1.4608,1.1259,0.0418,0.5553,0.0041,1.9042,1.2794,0.6964,13.8510,0.7937,13.9361,9.9944,6.7426
2026-05-29,106780946966.85,1.3257,0.3780,1.9454,1.4618,1.1259,0.0421,0.5509,0.0037,1.9042,1.2790,0.6967,13.7419,0.7840,13.9361,9.9954,6.7426
2026-05-28,104237281728.93,1.2941,0.3666,1.9454,1.4621,1.1259,0.0432,0.5378,0.0008,1.9042,1.2792,0.6968,13.4145,0.7513,13.9361,9.9949,6.7426
2026-05-27,104449253832.09,1.2968,0.3684,1.9454,1.4623,1.1259,0.0431,0.5389,0.0012,1.9042,1.2794,0.6968,13.4418,0.7550,13.9361,9.9944,6.7426
2026-05-26,103336400290.5,1.2829,0.3606,1.9454,1.4623,1.1259,0.0435,0.5331,0.0004,1.9042,1.2794,0.6970,13.2986,0.7409,13.9361,9.9944,6.7426
2026-05-25,102700483981.02,1.2750,0.3531,1.9454,1.4630,1.1259,0.0438,0.5298,0.0000,1.9042,1.2794,0.6970,13.2168,0.7335,13.9361,9.9944,6.7426
2026-05-22,104290274754.72,1.2948,0.3664,1.9454,1.4630,1.1259,0.0431,0.5381,0.0000,1.9042,1.2790,0.6971,13.4213,0.7531,13.9361,9.9954,6.7426
2026-05-21,104449253832.09,1.2968,0.3670,1.9454,1.4637,1.1259,0.0431,0.5389,0.0000,1.9042,1.2792,0.6971,13.4418,0.7555,13.9361,9.9949,6.7426
2026-05-20,106039044605.79,1.3165,0.3717,1.9454,1.4643,1.1259,0.0424,0.5471,0.0004,1.9042,1.2794,0.6972,13.6464,0.7752,13.9361,9.9944,6.7426
2026-05-19,105933058554.21,1.3152,0.3713,1.9454,1.4643,1.1259,0.0425,0.5465,0.0000,1.9042,1.2794,0.6973,13.6328,0.7748,13.9361,9.9944,6.7426
2026-05-18,106198023683.16,1.3185,0.3717,1.9454,1.4647,1.1259,0.0424,0.5479,0.0000,1.9042,1.2794,0.6974,13.6669,0.7776,13.9361,9.9944,6.7426
2026-05-15,108529716817.92,1.3474,0.3846,1.9454,1.4650,1.1259,0.0415,0.5599,0.0000,1.9042,1.2790,0.6976,13.9669,0.8026,13.9361,9.9954,6.7426
2026-05-14,111285354159.0,1.3816,0.4012,1.9454,1.4651,1.1259,0.0404,0.5741,0.0008,1.9042,1.2792,0.6978,14.3216,0.8322,13.9314,9.9949,6.7426
2026-05-13,112610179803.75,1.3981,0.4175,1.9454,1.4653,1.1259,0.0400,0.5810,0.0041,1.9042,1.2794,0.6978,14.4921,0.8502,13.9271,9.9944,6.7426
2026-05-12,113352082164.81,1.4073,0.4274,1.9454,1.4654,1.1259,0.0397,0.5848,0.0058,1.9042,1.2794,0.6979,14.5875,0.8581,13.9185,9.9944,6.7426
2026-05-11,113564054267.97,1.4099,0.4299,1.9454,1.4656,1.1259,0.0396,0.5859,0.0062,1.9042,1.2794,0.6982,14.6148,0.8618,13.9009,9.9944,6.7426
2026-05-08,111497326262.16,1.3843,0.4027,1.9454,1.4665,1.1259,0.0404,0.5752,0.0008,1.9042,1.2790,0.6982,14.3488,0.8376,13.8971,9.9954,6.7426
2026-05-07,112398207700.59,1.3954,0.4124,1.9454,1.4669,1.1259,0.0400,0.5799,0.0033,1.9042,1.2792,0.6983,14.4648,0.8503,13.8971,9.9949,6.7426
2026-05-06,112027256520.06,1.3908,0.4092,1.9454,1.4672,1.1259,0.0402,0.5780,0.0017,1.9042,1.2794,0.6985,14.4170,0.8449,13.8866,9.9944,6.7426
2026-04-30,111974263494.27,1.3902,0.4083,1.9454,1.4681,1.1259,0.0402,0.5777,0.0012,1.9042,1.2783,0.6985,14.4102,0.8447,13.8772,9.9980,6.7426
