date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.28,-0.1765,17066282756,1467849109
2025-12-31,1.5374,0.0542,82532050796,8113068470
2025-09-30,1.19,0.202,61297773984,6304500533
2025-06-30,0.83,0.3175,41291785084,4367868080
2025-03-31,0.34,0.2143,19051478805,1810438616
2024-12-31,1.46,-0.2589,91029615303,7696117949
2024-09-30,0.99,-0.3963,68150360320,5198463674
2024-06-30,0.63,-0.4836,45565621660,3325645881
2024-03-31,0.28,-0.4167,21327718918,1502318719
2023-12-31,1.97,-0.3345,140999428017,10430137630
2023-09-30,1.64,-0.2991,99043380651,8672164825
2023-06-30,1.2206,-0.3426,65436306977,6468470545
2023-03-31,0.48,-0.4839,31368454397,2550605876
2022-12-31,2.96,-0.5287,132021553710,15660749869
2022-09-30,2.34,-0.4455,85328097751,12418660097
2022-06-30,1.8568,-0.3426,56275748879,9839771524
2022-03-31,0.93,-0.1545,25461775046,4925205596
2021-12-31,6.2776,-0.0532,167952663813,33267069391
2021-09-30,4.23,-0.0942,121710775277,22390267530
2021-06-30,2.82,-0.0693,80432865217,14951192566
2021-03-31,1.0961,0.1822,34440937087,5808625766
2020-12-31,6.6291,0.0456,176242682223,35129690970
2020-09-30,4.66,0.0379,123983571571,24719025756
2020-06-30,3.03,0.0521,74006895076,16069245241
2020-03-31,0.9272,-0.1921,23207077687,4913271547
2019-12-31,6.34,0.1261,157030328135,33592755201
2019-09-30,4.4941,0.1496,110756382807,23815647804
2019-06-30,2.88,0.1803,71643825802,15259702373
2019-03-31,1.1476,0.2727,30500532480,6081260571
2018-12-31,5.6261,0.8816,128402625696,29814284829
2018-09-30,3.91,1.1135,77792051806,20716125528
2018-06-30,2.44,0.9213,45742247154,12942089348
2018-03-31,0.9,1.1951,18766521999,4778069929
2017-12-31,2.9918,0.8583,75310819763,15854670109
2017-09-30,1.85,0.6372,50038625981,9808653716
2017-06-30,1.27,1.0159,31907916293,6716723490
2017-03-31,0.41,0.8636,13638977156,2153217732
2016-12-31,1.61,0.1338,55931900959,8529916783
2016-09-30,1.1263,-0.022,37949003202,5968420630
2016-06-30,0.63,-0.2841,23973109368,3354918405
