date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.36,1,7760054120,66403195123
2025-12-31,0.95,0.5079,20338750798,206683649050
2025-09-30,0.67,0.7179,14279657201,145485212035
2025-06-30,0.41,0.64,8671260078,94772503770
2025-03-31,0.18,0.8,3946025081,46005929071
2024-12-31,0.63,0.6579,13532035003,213028664835
2024-09-30,0.39,2.5455,8272917558,154754604829
2024-06-30,0.25,7.3333,5417259340,102818431689
2024-03-31,0.1,5.6667,2071690612,46121379516
2023-12-31,0.38,0.3571,8249711873,186268971921
2023-09-30,0.114,-0.5403,2443115073,131682242978
2023-06-30,0.033,-0.829,703144214,86726255654
2023-03-31,0.015,-0.8214,317121316,44283515685
2022-12-31,0.28,0.1667,6066946564,172990857221
2022-09-30,0.248,0.503,5305930224,132468519975
2022-06-30,0.193,0.7232,4147930310,91766808749
2022-03-31,0.084,0.7872,1792062256,44524843548
2021-12-31,0.24,1.1818,5106017250,173862586155
2021-09-30,0.165,1.2,3558157949,126558604944
2021-06-30,0.112,1.383,2408598439,84815930336
2021-03-31,0.047,1.2381,1007464716,39915601697
2020-12-31,0.11,0.2222,2328787512,112981018625
2020-09-30,0.075,0.2931,1609504258,80306361456
2020-06-30,0.047,0.2703,1007820700,46743857426
2020-03-31,0.021,0.4,448129593,22382525360
2019-12-31,0.09,-0.5714,1857014211,68676565009
2019-09-30,0.058,-0.6979,1244135605,33409050983
2019-06-30,0.037,-0.7448,807990809,9978669308
2019-03-31,0.015,-0.7917,321846690,4478113986
2018-12-31,0.215,0.5357,4635583953,25962862774
2018-09-30,0.19,1.1111,4136840000,20083814000
2018-06-30,0.14,1.8,3122510000,14059796000
2018-03-31,0.07,0.75,1550002300,7432136600
2017-12-31,0.14,1.3333,2727796170,24147557764
2017-09-30,0.09,1.6012,1604540600,17706531600
2017-06-30,0.05,0.6667,835138700,11654940600
2017-03-31,0.04,3,597220432,5782530325
2016-12-31,0.06,0.2,998040581,6949571007
2016-09-30,0.0346,-0.1561,583502404,3496036418
2016-06-30,0.0303,-0.0033,511906238,2259851575
