date,净利润率,净资产收益率(ROE),总资产收益率(ROA)
2026-03-31,0.3237,0.082,0.0073
2025-12-31,0.3243,0.0815,0.0073
2025-09-30,0.3176,0.0855,0.0075
2025-06-30,0.3131,0.0877,0.0075
2025-03-31,0.3083,0.0881,0.0076
2024-12-31,0.3034,0.092,0.0078
2024-09-30,0.3132,0.0973,0.0083
2024-06-30,0.3064,0.1005,0.0083
2024-03-31,0.2954,0.1004,0.0084
2023-12-31,0.2821,0.1024,0.0085
2023-09-30,0.2865,0.1088,0.0091
2023-06-30,0.2766,0.113,0.0092
2023-03-31,0.2644,0.1108,0.0089
2022-12-31,0.253,0.1097,0.0089
2022-09-30,0.243,0.1077,0.0087
2022-06-30,0.2311,0.1035,0.0083
2022-03-31,0.2247,0.1003,0.0081
2021-12-31,0.2145,0.0957,0.0077
2021-09-30,0.2172,0.0954,0.0078
2021-06-30,0.2053,0.0901,0.0074
2021-03-31,0.1938,0.0842,0.007
2020-12-31,0.1884,0.0854,0.0069
2020-09-30,0.178,0.0834,0.0067
2020-06-30,0.1783,0.0871,0.0068
2020-03-31,0.2043,0.0971,0.0076
2019-12-31,0.2044,0.102,0.0077
2019-09-30,0.2104,0.1069,0.0079
2019-06-30,0.2109,0.1108,0.0077
2019-03-31,0.2118,0.1082,0.0075
2018-12-31,0.2126,0.1074,0.0074
2018-09-30,0.2175,0.1081,0.0075
2018-06-30,0.2203,0.1092,0.0074
2018-03-31,0.2221,0.1093,0.0074
2017-12-31,0.2192,0.1093,0.0075
2017-09-30,0.2182,0.1106,0.0078
2017-06-30,0.2136,0.1134,0.0078
2017-03-31,0.2106,0.115,0.008
2016-12-31,0.2098,0.1243,0.0083
2016-09-30,0.2135,0.1286,0.0085
2016-06-30,0.2163,0.1318,0.0084
