date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,91724000000,1.4541,13.1806,649738000000
2025-12-31,375836000000,2.1264,7.4563,354937000000
2025-09-30,165476000000,2.0253,-0.1375,-29042000000
2025-06-30,21257000000,1.0556,1.4512,51849000000
2025-03-31,-202002000000,0.5537,-1.8068,-103383000000
2024-12-31,-333654000000,-1.8591,-7.2795,-353782000000
2024-09-30,-161398000000,-2.485,2.6573,97750000000
2024-06-30,-382642000000,-8.8918,-1.0387,-61261000000
2024-03-31,-452630000000,-5.3767,-4.3055,-181589000000
2023-12-31,388397000000,0.0638,10.3769,375532000000
2023-09-30,108686000000,5.6362,12.5979,489683000000
2023-06-30,48486000000,-0.257,7.7379,341389000000
2023-03-31,103419000000,1.3764,15.3096,732709000000
2022-12-31,365099000000,2.4196,7.0215,357100000000
2022-09-30,-23443000000,0.8612,-2.1177,-120399000000
2022-06-30,65257000000,1.3066,0.3864,9870000000
2022-03-31,-274764000000,-1.1184,-7.3799,-411687000000
2021-12-31,-257192000000,-3.035,-4.7835,-268477000000
2021-09-30,-168910000000,-1.804,-4.5165,-263959000000
2021-06-30,-212862000000,-2.7259,-3.5002,-218491000000
2021-03-31,-129705000000,-2.4041,-1.5865,-103654000000
2020-12-31,126385000000,2.8416,2.1424,120593000000
2020-09-30,210090000000,4.1148,3.7418,201653000000
2020-06-30,123337000000,12.9648,0.8142,37241000000
2020-03-31,92378000000,-0.5018,-2.6764,-171276000000
2019-12-31,-68628000000,0.7972,-1.1533,-77457000000
2019-09-30,-67449000000,0.8116,-0.7086,-51892000000
2019-06-30,8832000000,1.0859,-3.5224,-218378000000
2019-03-31,185433000000,7.5192,-1.7757,-109091000000
2018-12-31,-338360000000,-1.4053,-5.9871,-344294000000
2018-09-30,-362079000000,-2.6803,-7.1862,-408386000000
2018-06-30,-118095000000,0.5387,-0.0495,-9569000000
2018-03-31,-48725000000,0.7576,0.2111,1973000000
2017-12-31,-140673000000,0.2673,-2.5576,-149103000000
2017-09-30,-98384000000,0.3432,-2.559,-149910000000
2017-06-30,-256026000000,-0.9099,-5.692,-320106000000
2017-03-31,-200970000000,-0.9784,-5.3672,-295708000000
2016-12-31,-191993000000,-1.5351,-3.5768,-196757000000
2016-09-30,-149795000000,-1.5084,-1.5664,-91503000000
2016-06-30,-134049000000,-1.6362,0.2611,6094000000
