date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-02,979261279089.6,7.3748,0.0528,11.7329,9.6497,8.1374,0.0499,0.9617,0.1444,2.3047,1.6648,0.9964,0.9451,0.4051,1.2737,0.9920,0.8108
2026-06-01,975096521430.75,7.3435,0.0491,11.7329,9.6570,8.1385,0.0501,0.9576,0.1399,2.3047,1.6656,0.9970,0.9411,0.3977,1.2737,0.9920,0.8108
2026-05-29,968758846732.5,7.2957,0.0425,11.7329,9.6614,8.1437,0.0505,0.9513,0.1327,2.3047,1.6677,0.9970,0.9350,0.3904,1.2737,0.9915,0.8108
2026-05-28,950107975477.65,7.1553,0.0313,11.7329,9.6619,8.1454,0.0515,0.9330,0.1155,2.3047,1.6677,0.9977,0.9170,0.3588,1.2737,0.9918,0.8108
2026-05-27,964594089073.65,7.2644,0.0380,11.7329,9.6625,8.1469,0.0507,0.9472,0.1287,2.3047,1.6677,0.9979,0.9310,0.3845,1.2737,0.9920,0.8108
2026-05-26,982701731068.65,7.4008,0.0553,11.7329,9.6630,8.1526,0.0498,0.9650,0.1485,2.3047,1.6677,0.9980,0.9485,0.4154,1.2737,0.9920,0.8108
2026-05-25,981796348968.9,7.3939,0.0549,11.7329,9.6703,8.1544,0.0498,0.9641,0.1465,2.3047,1.6677,0.9980,0.9476,0.4134,1.2737,0.9920,0.8108
2026-05-22,972018222291.6,7.3203,0.0437,11.7329,9.6763,8.1565,0.0503,0.9545,0.1344,2.3047,1.6677,0.9982,0.9381,0.3937,1.2737,0.9915,0.8108
2026-05-21,973466833651.2,7.3312,0.0445,11.7329,9.6803,8.1581,0.0502,0.9560,0.1361,2.3047,1.6689,0.9983,0.9395,0.3967,1.2737,0.9918,0.8108
2026-05-20,979804508349.45,7.3789,0.0512,11.7329,9.6844,8.1632,0.0499,0.9622,0.1427,2.3047,1.6701,0.9987,0.9457,0.4072,1.2737,0.9920,0.8108
2026-05-19,986504335887.6,7.4294,0.0586,11.7329,9.6857,8.1680,0.0496,0.9688,0.1539,2.3047,1.6719,0.9988,0.9521,0.4262,1.2737,0.9920,0.8108
2026-05-18,993928469105.55,7.4853,0.0685,11.7329,9.6878,8.1682,0.0492,0.9761,0.1687,2.3047,1.6725,0.9992,0.9593,0.4476,1.2737,0.9920,0.8108
2026-05-15,1004974130722.5,7.5685,0.0853,11.7329,9.6979,8.1709,0.0486,0.9869,0.1822,2.3047,1.6724,0.9995,0.9699,0.4670,1.2737,0.9915,0.8108
2026-05-14,1030324829515.5,7.7594,0.1266,11.7329,9.6993,8.1710,0.0475,1.0118,0.2078,2.3047,1.6725,0.9997,0.9944,0.5027,1.2737,0.9918,0.8108
2026-05-13,1050967541389.8,7.9149,0.1555,11.7329,9.7008,8.1756,0.0465,1.0321,0.2323,2.3047,1.6725,0.9997,1.0143,0.5243,1.2737,0.9915,0.8108
2026-05-12,1075593934503.0,8.1003,0.1894,11.7329,9.7043,8.1776,0.0455,1.0563,0.2719,2.3047,1.6725,0.9997,1.0381,0.5479,1.2737,0.9911,0.8108
2026-05-11,1088269283899.5,8.1958,0.2038,11.7329,9.7052,8.1814,0.0449,1.0687,0.2896,2.3047,1.6725,0.9997,1.0503,0.5635,1.2737,0.9908,0.8108
2026-05-08,1087544978219.7,8.1903,0.2024,11.7329,9.7258,8.1814,0.0450,1.0680,0.2890,2.3047,1.6724,0.9997,1.0496,0.5631,1.2737,0.9906,0.8108
2026-05-07,1087182825379.8,8.1876,0.2021,11.7329,9.7287,8.1814,0.0450,1.0676,0.2882,2.3047,1.6725,0.9997,1.0493,0.5629,1.2737,0.9900,0.8108
2026-05-06,1074869628823.2,8.0949,0.1881,11.7329,9.7316,8.1814,0.0455,1.0555,0.2698,2.3047,1.6725,0.9997,1.0374,0.5487,1.2737,0.9893,0.8108
2026-04-30,1075050705243.15,8.0962,0.1879,11.7329,9.7368,8.1837,0.0455,1.0557,0.2703,2.3047,1.6732,0.9997,1.0376,0.5496,1.2737,0.9890,0.8108
