date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.1735,0.1285,0.0181
2025-12-31,0.1698,0.1273,0.0185
2025-09-30,0.1758,0.1234,0.0188
2025-06-30,0.1628,0.1205,0.0177
2025-03-31,0.1566,0.1102,0.0166
2024-12-31,0.1585,0.1149,0.0179
2024-09-30,0.1605,0.1154,0.0177
2024-06-30,0.1291,0.1021,0.0147
2024-03-31,0.1059,0.0865,0.0122
2023-12-31,0.1112,0.0862,0.0123
2023-09-30,0.1194,0.0802,0.0128
2023-06-30,0.1262,0.0808,0.0141
2023-03-31,0.131,0.0782,0.0151
2022-12-31,0.1082,0.0554,0.0122
2022-09-30,0.1106,0.0557,0.0124
2022-06-30,0.1029,0.0529,0.0117
2022-03-31,0.1076,0.056,0.0127
2021-12-31,0.1219,0.0627,0.0149
2021-09-30,0.1312,0.066,0.0156
2021-06-30,0.1342,0.065,0.0159
2021-03-31,0.1223,0.0587,0.0149
2020-12-31,0.1255,0.06,0.0154
2020-09-30,0.1313,0.0604,0.0156
2020-06-30,0.1433,0.066,0.0167
2020-03-31,0.1753,0.0803,0.0206
2019-12-31,0.1681,0.0736,0.0198
2019-09-30,0.1788,0.0767,0.0207
2019-06-30,0.1709,0.0716,0.0192
2019-03-31,0.1294,0.0556,0.0152
2018-12-31,0.1249,0.052,0.0147
2018-09-30,0.1178,0.0481,0.0137
2018-06-30,0.1211,0.0484,0.014
2018-03-31,0.1194,0.05,0.0145
2017-12-31,0.1087,0.0469,0.0137
2017-09-30,0.1059,0.0462,0.0133
2017-06-30,0.0962,0.0422,0.0121
2017-03-31,0.0893,0.0414,0.0119
2016-12-31,0.0908,0.046,0.0126
2016-09-30,0.0892,0.0439,0.0123
2016-06-30,0.0985,0.0498,0.0135
