date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,211256000000,0.1115,0.33,86291000000
2025-12-31,761049000000,0.0188,1.3,338906000000
2025-09-30,573702000000,0.0082,1,257360000000
2025-06-30,394273000000,0.0215,0.65,162076000000
2025-03-31,190070000000,-0.054,0.33,83351000000
2024-12-31,750151000000,-0.0254,1.31,335577000000
2024-09-30,569022000000,-0.033,1.01,255776000000
2024-06-30,385965000000,-0.0357,0.66,164326000000
2024-03-31,200928000000,-0.0297,0.35,86817000000
2023-12-31,769736000000,-0.0179,1.31,332653000000
2023-09-30,588440000000,-0.0127,1.02,255454000000
2023-06-30,400255000000,-0.0059,0.67,167344000000
2023-03-31,207076000000,0.0096,0.35,88743000000
2022-12-31,822473000000,-0.0022,1.28,323861000000
2022-09-30,630539000000,0.0098,0.99,247282000000
2022-06-30,435970000000,0.0472,0.65,161642000000
2022-03-31,232230000000,0.0725,0.35,88741000000
2021-12-31,824246000000,0.0905,1.19,302513000000
2021-09-30,624405000000,0.0927,0.93,232153000000
2021-06-30,416332000000,0.07,0.61,153300000000
2021-03-31,216523000000,0.034,0.33,83115000000
2020-12-31,755858000000,0.0712,1.06,271050000000
2020-09-30,571435000000,0.0589,0.82,205832000000
2020-06-30,389109000000,0.0765,0.55,137626000000
2020-03-31,209395000000,0.1194,0.32,80855000000
2019-12-31,705629000000,0.0709,1.05,266733000000
2019-09-30,539635000000,0.0766,0.9,225344000000
2019-06-30,361471000000,0.0608,0.62,154190000000
2019-03-31,187066000000,0.0331,0.31,76916000000
2018-12-31,658891000000,0.0599,1,254655000000
2018-09-30,500047000000,0.0594,0.86,214108000000
2018-06-30,339903000000,0.0609,0.59,147027000000
2018-03-31,183221000000,0.0727,0.3,73815000000
2017-12-31,621659000000,0.0274,0.96,242264000000
2017-09-30,471994000000,-0.0012,0.8,201242000000
2017-06-30,320388000000,-0.0374,0.55,138339000000
2017-03-31,170798000000,-0.0912,0.28,70012000000
2016-12-31,605090000000,-0.0002,0.92,231460000000
2016-09-30,472572000000,0.0332,0.78,193835000000
2016-06-30,332852000000,0.0701,0.53,133410000000
